External ID,Item,Item Internal ID,Customer,Customer Internal ID,Invoice#,Cust. PO#,Job Name,Memo#,OLD Dt.,Invoice Dt.,old Due Dt.,Due Dt.,Balance Due,Account ,Account Internal ID,Old Data,Bin ID,Serial/Lot number
OPENINV10002,Item (Revenue/COGS),40391,AFP 103 Corp,440,37373,,Doubletree Miami Airport,Doubletree Miami Airport37373Doubletree Miami Airport,10-08-2024,10-08-2024,10-08-2024,10-08-2024,432.03,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00002
OPENINV10003,Item (Revenue/COGS),40391,AFP 108 Corp.,2601,37255/3,AFP108-2024-GV00,Double tree Rochester,AFP108-2024-GV00Double tree Rochester37255/3AFP108-2024-GV00Double tree Rochester,11-14-2024,11/14/2024,11-14-2024,11/14/2024,432.35,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00003
OPENINV10004,Item (Revenue/COGS),40391,"Ascent Hospitality Courtyard - Meridian, MS",2670,38710/2,,,38710/2,06-30-2025,06/30/2025,06-30-2025,06/30/2025,3040,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00004
OPENINV10005,Item (Revenue/COGS),40391,"Ascent Hospitality Courtyard - Meridian, MS",2670,38710/3,,,38710/3,06-30-2025,06/30/2025,06-30-2025,06/30/2025,7349,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00005
OPENINV10006,Item (Revenue/COGS),40391,Ascent Hospitality Management Co,459,39083,,,39083,06-30-2025,06/30/2025,06-30-2025,06/30/2025,9750,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00006
OPENINV10007,Item (Revenue/COGS),40391,Ascent Hospitality Management Co,459,39025,,,39025,06-30-2025,06/30/2025,07-30-2025,06/30/2025,6600,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00007
OPENINV10008,Item (Revenue/COGS),40391,Ascent Hospitality Management Co,459,39025/2,,,39025/2,06-30-2025,06/30/2025,07-30-2025,06/30/2025,663,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00008
OPENINV10009,Item (Revenue/COGS),40391,Ascent hospitality Towneplace West Lafayette IN,2705,36899,,GR CASEGOODS & CASEGOOD FABRICS,GR CASEGOODS & CASEGOOD FABRICS36899GR CASEGOODS & CASEGOOD FABRICS,08-31-2024,08/31/2024,08-31-2024,08/31/2024,80957.73,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00009
OPENINV10010,Item (Revenue/COGS),40391,Ascent hospitality Towneplace West Lafayette IN,2705,36919/5,,PA FINISHES,PA FINISHES36919/5PA FINISHES,09-25-2024,09/25/2024,09-25-2024,09/25/2024,1869.47,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00010
OPENINV10011,Item (Revenue/COGS),40391,Ascent hospitality Towneplace West Lafayette IN,2705,36900,,GR MILLWORKS,GR MILLWORKS36900GR MILLWORKS,09-30-2024,09/30/2024,09-30-2024,09/30/2024,234579.74,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00011
OPENINV10012,Item (Revenue/COGS),40391,Ascent hospitality Towneplace West Lafayette IN,2705,36902,,GR WINDOW TREATMENT,GR WINDOW TREATMENT36902GR WINDOW TREATMENT,09-30-2024,09/30/2024,09-30-2024,09/30/2024,53688.36,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00012
OPENINV10013,Item (Revenue/COGS),40391,Ascent hospitality Towneplace West Lafayette IN,2705,36915,,PA WINDOW TREATMENT,PA WINDOW TREATMENT36915PA WINDOW TREATMENT,09-30-2024,09/30/2024,09-30-2024,09/30/2024,13012.85,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00013
OPENINV10014,Item (Revenue/COGS),40391,Ascent hospitality Towneplace West Lafayette IN,2705,36919/6,,PA FINISHES,PA FINISHES36919/6PA FINISHES,10-01-2024,10-01-2024,10-01-2024,10-01-2024,6691.76,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00014
