External ID,Item,Item Internal ID,Customer,cust internal id,inv created,Invoice#,Cust. PO#,Job Name,Memo#,Invoice Dt.,Due Dt.,Balance Due,Account,Account Internal ID,Line description,Bin ID,Serial/Lot number
OPENINV10280,Item (Revenue/COGS),40391,001 Customer Deposits/Dummy Customer,3308,#N/A,43983,,,43983,01/31/2024,01/31/2024,9868.79,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00051
OPENINV10281,Item (Revenue/COGS),40391,001 Customer Deposits/Dummy Customer,3308,#N/A,44348,,,44348,04/30/2024,04/30/2024,5700,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00052
OPENINV10282,Item (Revenue/COGS),40391,AAA Hospitality - Embassy Suites Las Colinas TX,3309,#N/A,33396,,,33396,05/24/2023,05/24/2023,6365.1,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00053
OPENINV10283,Item (Revenue/COGS),40391,AAA Hospitality - Embassy Suites Las Colinas TX,3309,#N/A,35203,,,35203,10/03/2023,10-03-2023,43.88,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00054
OPENINV10284,Item (Revenue/COGS),40391,AAA Hospitality - Embassy Suites Las Colinas TX,3309,#N/A,33050,,ESLC - Corridor Lobby Carpet,33050ESLC - Corridor Lobby Carpet,10/05/2023,10-05-2023,44076.56,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00055
OPENINV10285,Item (Revenue/COGS),40391,AAA Hospitality - Embassy Suites Las Colinas TX,3309,#N/A,33396/2,,,33396/2,10/05/2023,10-05-2023,36008.56,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00056
OPENINV10286,Item (Revenue/COGS),40391,AAA Hospitality - Embassy Suites Las Colinas TX,3309,#N/A,36933,,ATTIC STOCK MATERIAL,36933ATTIC STOCK MATERIAL,02/19/2025,02/19/2025,3661.7,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00057
OPENINV10287,Item (Revenue/COGS),40391,"AAA Hotel Management, LLC",2380,#N/A,33645,,Embassy Suites - Irving Additional Trim PCS,33645Embassy Suites - Irving Additional Trim PCS,03/23/2023,03/23/2023,4667.95,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00058
OPENINV10288,Item (Revenue/COGS),40391,"AAA Hotel Management, Inc.",3310,#N/A,33145/12,,TILES,33145/12TILES,04/11/2023,04-11-2023,3723.97,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00059
OPENINV10289,Item (Revenue/COGS),40391,"AAA Hotel Management, Inc.",3310,#N/A,33133,,WINDOW TREATMENT,33133WINDOW TREATMENT,04/12/2023,04-12-2023,6873.43,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00060
