External ID,Customers,,Not Present,Email,Subsidiary
NEWCUST001,001 Customer Deposits/Dummy Customer,3308,#N/A,abc@granitivicentia.com,
NEWCUST002,AAA Hospitality - Embassy Suites Las Colinas TX,3309,#N/A,abc@granitivicentia.com,
NEWCUST003,"AAA Hotel Management, Inc.",3310,#N/A,abc@granitivicentia.com,
NEWCUST004,"Angles Contractor, INC./Carlton Apartments",3311,#N/A,abc@granitivicentia.com,
NEWCUST005,APD Construction - The Place,3312,#N/A,abc@granitivicentia.com,
NEWCUST006,Ascent Home2 Montgomery,N/A,#N/A,abc@granitivicentia.com,
NEWCUST007,Ascent Hospitality Element Carmel Indiana,3314,#N/A,abc@granitivicentia.com,
NEWCUST008,"Ascent Hospitality Hampton Inn & Suites  Montgomery-South Airport,AL",3315,#N/A,abc@granitivicentia.com,
NEWCUST009,Ascent hospitality Home2 Suites Fairburn GA,3316,#N/A,abc@granitivicentia.com,
NEWCUST010,Ascent hospitality Home2 West Lafayette IN,3317,#N/A,abc@granitivicentia.com,
NEWCUST011,Ascent Hospitality- Autograph Huntsville,3318,#N/A,abc@granitivicentia.com,
NEWCUST012,Ascent hospitality/Fairfield Inn & Suites,3319,#N/A,abc@granitivicentia.com,
NEWCUST013,Ascent Residence inn Montgomery,3320,#N/A,abc@granitivicentia.com,
NEWCUST014,"Brighter Vision Group, LP",3321,#N/A,abc@granitivicentia.com,
NEWCUST015,CAMBRIA NASHVILLE,3322,#N/A,abc@granitivicentia.com,
NEWCUST016,CANDLEWOOD EASTRIDGE TN,3323,#N/A,abc@granitivicentia.com,
NEWCUST017,"Candlewood Suites -Columbus,Oh-Kautilya group",3324,#N/A,abc@granitivicentia.com,
NEWCUST018,"Comfort Inn, Rebrand, Princeton IL",3325,#N/A,abc@granitivicentia.com,
NEWCUST019,COURY HOSPITALITY (TRIBUTE SEAHAUS),3326,#N/A,abc@granitivicentia.com,
NEWCUST020,Daniel Van Dyke Construction Inc,3327,#N/A,abc@granitivicentia.com,
NEWCUST021,Daren R Snider Construction,3328,#N/A,abc@granitivicentia.com,
NEWCUST022,"ECHO SUITES  /MCP Development, Inc",3329,#N/A,abc@granitivicentia.com,
NEWCUST023,"ELEMENT FORTSMITH, ARKANSAS",3330,#N/A,abc@granitivicentia.com,
NEWCUST024,Fairfield Denver,3331,#N/A,abc@granitivicentia.com,
NEWCUST025,"Fairfield Inn - Jeffersonville, OH",3332,#N/A,abc@granitivicentia.com,
NEWCUST026,Fairfield Inn Gadsden AL,3333,#N/A,abc@granitivicentia.com,
NEWCUST027,"Fairfield Inn GV HEADQUARTERS, HOUSTON",3334,#N/A,abc@granitivicentia.com,
NEWCUST028,Fairfield Townplace East Hartford,3335,#N/A,abc@granitivicentia.com,
NEWCUST029,"Hampton Inn & Suites  Enterprise,AL",3336,#N/A,abc@granitivicentia.com,
NEWCUST030,Hampton Inn Katy TX,3337,#N/A,abc@granitivicentia.com,
NEWCUST031,Hampton Inn Nashville,3338,#N/A,abc@granitivicentia.com,
NEWCUST032,HAMPTON INN PEARLAND,3339,#N/A,abc@granitivicentia.com,
NEWCUST033,Hampton Inn Rosenberg,#N/A,#N/A,abc@granitivicentia.com,
NEWCUST034,Hawthorn Suites.,3341,#N/A,abc@granitivicentia.com,
NEWCUST035,HILTON WARWICK,3342,#N/A,abc@granitivicentia.com,
NEWCUST036,"Holiday Inn Express - Zion, IL",3343,#N/A,abc@granitivicentia.com,
NEWCUST037,Holiday Inn Pauls Valley - Pete Patel,3344,#N/A,abc@granitivicentia.com,
NEWCUST038,Home 2 Suites Phoenix AZ,3345,#N/A,abc@granitivicentia.com,
NEWCUST039,"Hometown Inn & Suites, Memphis TN",3346,#N/A,abc@granitivicentia.com,
NEWCUST040,Homewood Suites by Hilton,3347,#N/A,abc@granitivicentia.com,
NEWCUST041,Hotel Beacon NYC,3348,#N/A,abc@granitivicentia.com,
NEWCUST042,"Hotel Tops USA/La Quinta Albany, GA",3349,#N/A,abc@granitivicentia.com,
NEWCUST043,Innovativo Design,3350,#N/A,abc@granitivicentia.com,
NEWCUST044,"Jay Sun Hospitality LLC / La Quinta La Habra,CA",3351,#N/A,abc@granitivicentia.com,
NEWCUST045,JERRY OSBOURNE ASSOCIATES HAMPTOM INN HAZARD KY,3352,#N/A,abc@granitivicentia.com,
NEWCUST046,Kimpton Monaco Baltimore,3353,#N/A,abc@granitivicentia.com,
NEWCUST047,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,#N/A,abc@granitivicentia.com,
NEWCUST048,"La Quinta - Chelsea,AL",3355,#N/A,abc@granitivicentia.com,
NEWCUST049,La Quinta by Wyndham,3356,#N/A,abc@granitivicentia.com,
NEWCUST050,La Quinta by Wyndham Dallas DFW Airport N,3357,#N/A,abc@granitivicentia.com,
NEWCUST051,"La Quinta Hawthorn - Miamisburg, OH",3358,#N/A,abc@granitivicentia.com,
NEWCUST052,"La Quinta Inn- Galveston, TX",3359,#N/A,abc@granitivicentia.com,
NEWCUST053,LA QUINTA SHONTO AZ,3360,#N/A,abc@granitivicentia.com,
NEWCUST054,"La Quinta, Anaheim CA",3361,#N/A,abc@granitivicentia.com,
NEWCUST055,"La Quinta, Huntsville AL",3362,#N/A,abc@granitivicentia.com,
NEWCUST056,Lansdowne Resort & Spa,3363,#N/A,abc@granitivicentia.com,
NEWCUST057,Laquinta Homewood Alabama,3364,#N/A,abc@granitivicentia.com,
