Error,External ID,Item,Item Internal ID,Customer,Customer Internal ID,Invoice#,Cust. PO#,Job Name,Memo#,OLD Dt.,Invoice Dt.,old Due Dt.,Due Dt.,Balance Due,Account ,Account Internal ID,Old Data,Bin ID,Serial/Lot number
Invalid subsidiary reference key 3 for entity 2601.,OPENINV10003,Item (Revenue/COGS),40391,AFP 108 Corp.,2601,37255/3,AFP108-2024-GV00,Double tree Rochester,AFP108-2024-GV00Double tree Rochester37255/3AFP108-2024-GV00Double tree Rochester,11-14-2024,11/14/2024,11-14-2024,11/14/2024,432.35,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00003
Inventory items must have a positive amount.,OPENINV10122,Item (Revenue/COGS),40391,BMK Construction LLC,474,35912/4,,Ulana Ward Village - Block F,Ulana Ward Village - Block F35912/4Ulana Ward Village - Block F,11-18-2024,11/18/2024,11-18-2024,11/18/2024,-2.64,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00122
Inventory items must have a positive amount.,OPENINV10125,Item (Revenue/COGS),40391,DFW Joseph Investments LLC,1708,,,,,12-19-2024,12/19/2024,12-19-2024,12/19/2024,-14072.5,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00125
Inventory items must have a positive amount.,OPENINV10126,Item (Revenue/COGS),40391,DFW Joseph Investments LLC,1708,,,,,01-24-2025,01/24/2025,01-24-2025,01/24/2025,-14072.5,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00126
Inventory items must have a positive amount.,OPENINV10129,Item (Revenue/COGS),40391,DFW Joseph Investments LLC,1708,37051/6,,GR ARTWORK/ MIRROR/ ACCESSORIES,GR ARTWORK/ MIRROR/ ACCESSORIES37051/6GR ARTWORK/ MIRROR/ ACCESSORIES,06-30-2025,06/30/2025,06-30-2025,06/30/2025,-15990,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00129
Inventory items must have a positive amount.,OPENINV10140,Item (Revenue/COGS),40391,DFW Joseph Investments LLC,1708,37066/2,,PA WINDOW TREATMENT,PA WINDOW TREATMENT37066/2PA WINDOW TREATMENT,06-30-2025,06/30/2025,06-30-2025,06/30/2025,-1623.75,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00140
Inventory items must have a positive amount.,OPENINV10149,Item (Revenue/COGS),40391,Econo Lodge Augusta GA,526,34641/5,,Project Name: Econo Lodge Augusta GA,Project Name: Econo Lodge Augusta GA34641/5Project Name: Econo Lodge Augusta GA,02-29-2024,02/29/2024,02-29-2024,02/29/2024,-10852.51,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00149
"The transaction date is not within an open accounting period. One or more fields on this transaction can trigger inventory costing calculations in a closed period. Click Go Back, then do one of the following:<li>Change the transaction date to a date within an open accounting period.</li><li>Cancel edits that affect the General Ledger if this is an existing transaction.</li>",OPENINV10151,Item (Revenue/COGS),40391,Grand Sierra Resort & Casino,546,30580/6,346604,LOFT 2 SUITES,346604LOFT 2 SUITES30580/6346604LOFT 2 SUITES,12-31-2021,12/31/2021,12-31-2021,12/31/2021,16549.85,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00151
"The transaction date is not within an open accounting period. One or more fields on this transaction can trigger inventory costing calculations in a closed period. Click Go Back, then do one of the following:<li>Change the transaction date to a date within an open accounting period.</li><li>Cancel edits that affect the General Ledger if this is an existing transaction.</li>",OPENINV10152,Item (Revenue/COGS),40391,Grand Sierra Resort & Casino,546,30582/8,347362,IMPERIAL_QUEEN CONN. SUITES,347362IMPERIAL_QUEEN CONN. SUITES30582/8347362IMPERIAL_QUEEN CONN. SUITES,12-31-2021,12/31/2021,12-31-2021,12/31/2021,31625.67,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00152
Inventory items must have a positive amount.,OPENINV10183,Item (Revenue/COGS),40391,Hawthorne Suites- Alpine WY,2710,38182/2,,,38182/2,11-19-2024,11/19/2024,11-19-2024,11/19/2024,-6482.21,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00183
