External ID,Item Internal ID,cust internal id,Invoice#,Cust. PO#,Job Name,Memo#,Invoice Dt.,Due Dt.,Balance Due,Account,Account Internal ID,Line description,Bin ID,Serial/Lot number
OPENINV10495,40391,2804,34358,,GUEST ROOMS ARTWORK/MIRROR,34358GUEST ROOMS ARTWORK/MIRROR,03/18/2025,03/18/2025,22311.76,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00715
OPENINV10496,40391,2804,34357,,GUEST ROOMS LIGHTING,34357GUEST ROOMS LIGHTING,03/19/2025,03/19/2025,19694.75,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00716
OPENINV10497,40391,2804,34363/4,,GUEST ROOMS BATH,34363/4GUEST ROOMS BATH,03/24/2025,03/24/2025,3321.44,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00717
OPENINV10498,40391,2804,34364/2,,GUEST ROOMS FINISHES,34364/2GUEST ROOMS FINISHES,03/24/2025,03/24/2025,24094.14,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00718
OPENINV10499,40391,2804,34364/6,,GUEST ROOMS FINISHES,34364/6GUEST ROOMS FINISHES,04/21/2025,04/21/2025,20281.24,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00719
OPENINV10500,40391,2804,34356,,GUEST ROOMS SEATING,34356GUEST ROOMS SEATING,04/23/2025,04/23/2025,7630.5,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00720
OPENINV10501,40391,2804,34363/7,,GUEST ROOMS BATH,34363/7GUEST ROOMS BATH,04/25/2025,04/25/2025,18872.76,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00721
OPENINV10502,40391,2804,34363/8,,GUEST ROOMS BATH,34363/8GUEST ROOMS BATH,05/12/2025,05-12-2025,350,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00722
OPENINV10503,40391,2804,34358/2,,GUEST ROOMS ARTWORK/MIRROR,34358/2GUEST ROOMS ARTWORK/MIRROR,05/27/2025,05/27/2025,75.54,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00723
OPENINV10504,40391,2804,34364/7,,GUEST ROOMS FINISHES,34364/7GUEST ROOMS FINISHES,05/27/2025,05/27/2025,8498,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00724
OPENINV10505,40391,2804,34356/2,,GUEST ROOMS SEATING,34356/2GUEST ROOMS SEATING,06/30/2025,06/30/2025,5762.22,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00725
OPENINV10506,40391,2804,34357/2,,GUEST ROOMS LIGHTING,34357/2GUEST ROOMS LIGHTING,06/30/2025,06/30/2025,261.6,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00726
OPENINV10507,40391,2804,34364/8,,GUEST ROOMS FINISHES,34364/8GUEST ROOMS FINISHES,06/30/2025,06/30/2025,17160.14,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00727
OPENINV10987,40391,692,30574,,201 79th street New York Tile - Truck #12 - West Shipment 2,30574201 79th street New York Tile - Truck #12 - West Shipment 2,12/29/2021,12/29/2021,1168.97,A11001,950,Import SPS data by Invoice in NetSuite,17,INV01207
OPENINV10003,40391,3510,37255/3,AFP108-2024-GV00,Double tree Rochester,AFP108-2024-GV00Double tree Rochester37255/3AFP108-2024-GV00Double tree Rochester,11/14/2024,11/14/2024,432.35,A11001,950,Import SPS data by Invoice in NetSuite,17,INV00003
