External ID,SL.NO,Date, Acc ID,Credit Acc,Invoice#,Location,Type,Memo,Party,Entity ID,Debit,Credit
ACC_REG-33252/3,1,01/01/2024,974,,33252/3,GV,Invoice,Import of sales discount from SPS,LaQuinta Yakima WA,2619,14850.00,
ACC_REG-33252/3,1.5,01/01/2024,950,950,33252/3,GV,Invoice,Import of sales discount from SPS,LaQuinta Yakima WA,2619,,14850.00
ACC_REG-34063/2,2,01/01/2024,974,,34063/2,GV,Invoice,Import of sales discount from SPS,Laquinta Homewood Alabama,3364,9946.71,
ACC_REG-34063/2,2.5,01/01/2024,950,950,34063/2,GV,Invoice,Import of sales discount from SPS,Laquinta Homewood Alabama,3364,,9946.71
ACC_REG-34803/3,3,01/03/2024,974,,34803/3,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,2031.68,
ACC_REG-34803/3,3.5,01/03/2024,950,950,34803/3,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,,2031.68
ACC_REG-34585,4,01/09/2024,974,,34585,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,7993.66,
ACC_REG-34585,4.5,01/09/2024,950,950,34585,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,,7993.66
ACC_REG-34586,5,01/09/2024,974,,34586,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,2277.17,
ACC_REG-34586,5.5,01/09/2024,950,950,34586,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,,2277.17
ACC_REG-34587,6,01/09/2024,974,,34587,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,3955.40,
ACC_REG-34587,6.5,01/09/2024,950,950,34587,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,,3955.40
ACC_REG-34598,7,01/09/2024,974,,34598,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,700.97,
ACC_REG-34598,7.5,01/09/2024,950,950,34598,GV,Invoice,Import of sales discount from SPS,CANDLEWOOD EASTRIDGE TN,3323,,700.97
ACC_REG-34794/3,8,01/09/2024,974,,34794/3,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,4158.87,
ACC_REG-34794/3,8.5,01/09/2024,950,950,34794/3,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,,4158.87
ACC_REG-34796/2,9,01/09/2024,974,,34796/2,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,1430.01,
ACC_REG-34796/2,9.5,01/09/2024,950,950,34796/2,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,,1430.01
ACC_REG-34805,10,01/09/2024,974,,34805,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,393.77,
ACC_REG-34805,10.5,01/09/2024,950,950,34805,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,,393.77
ACC_REG-34807,11,01/09/2024,974,,34807,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,597.46,
ACC_REG-34807,11.5,01/09/2024,950,950,34807,GV,Invoice,Import of sales discount from SPS,La Quinta by Wyndham Dallas DFW Airport N,3357,,597.46
ACC_REG-34966/2,12,01/09/2024,974,,34966/2,GV,Invoice,Import of sales discount from SPS,LaQuinta Inn & Suites Oxford AL,2752,8911.58,
ACC_REG-34966/2,12.5,01/09/2024,950,950,34966/2,GV,Invoice,Import of sales discount from SPS,LaQuinta Inn & Suites Oxford AL,2752,,8911.58
ACC_REG-35599/2,13,01/09/2024,974,,35599/2,GV,Invoice,Import of sales discount from SPS,Ascent Hospitality Element Carmel Indiana,3314,11382.77,
ACC_REG-35599/2,13.5,01/09/2024,950,950,35599/2,GV,Invoice,Import of sales discount from SPS,Ascent Hospitality Element Carmel Indiana,3314,,11382.77
