External ID,Party,Gmail
CUSTOMER_50001,HOCKLEY VALLEY INN RESORT,"	abc@granitivicentia.com"
CUSTOMER_50002,LaQuinta - Round Rock TX - Savan Patel,"	abc@granitivicentia.com"
CUSTOMER_50003,Central States Tile Inc.,"	abc@granitivicentia.com"
CUSTOMER_50004,Americas Best Value Inn Gulfport,"	abc@granitivicentia.com"
CUSTOMER_50005,"NCM, Inc./Hampton Inn Sacramento","	abc@granitivicentia.com"
CUSTOMER_50006,Nor Rehman,"	abc@granitivicentia.com"
CUSTOMER_50007,RAMADA INN,"	abc@granitivicentia.com"
CUSTOMER_50008,HILTON GARDENS- HOUSTON,"	abc@granitivicentia.com"
CUSTOMER_50009,LaQuinta - Columbia SC - Ashok Patel,"	abc@granitivicentia.com"
CUSTOMER_50010,TTS,"	abc@granitivicentia.com"
CUSTOMER_50011,"La Quinta - Tampa Bay, FL (Airport)","	abc@granitivicentia.com"
CUSTOMER_50012,Newcrest - Courtyard By Marriott Chicago OHare,"	abc@granitivicentia.com"
CUSTOMER_50013,COLORADO HOSPITALITY SERVICES DELTA THORNTON NORTHGLEN,"	abc@granitivicentia.com"
CUSTOMER_50014,Wood Haven Lake Active Senior Living,"	abc@granitivicentia.com"
CUSTOMER_50015,STARR CONSTRUCTION,"	abc@granitivicentia.com"
CUSTOMER_50016,Designers Expo,"	abc@granitivicentia.com"
CUSTOMER_50017,Comfort Inn Somerset KY,"	abc@granitivicentia.com"
CUSTOMER_50018,Ascent Hospitality/Springhill suites Gulfport MS,"	abc@granitivicentia.com"
