External ID,No,Account#,Account ID,Account #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt,
AUGCOGS-24BL100703,1011,A51001 - Freight - Out - Expense (New),981,,08-01-2025,"Jasfer Industry Co., Limited",137,24BL100703,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",2250,,
AUGCOGS-24BL100703,1011.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-01-2025,"Jasfer Industry Co., Limited",137,24BL100703,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,2250,
AUGCOGS-24JS100701,1012,A51001 - Freight - Out - Expense (New),981,,08-01-2025,"Jasfer Industry Co., Limited",137,24JS100701,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",2301.5,,
AUGCOGS-24JS100701,1012.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-01-2025,"Jasfer Industry Co., Limited",137,24JS100701,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,2301.5,
AUGCOGS-SR431,1013,A51001 - Freight - Out - Expense (New),981,,08-01-2025,Richwood Hospitality Co. LTD,1285,SR431,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,4201.6,,
AUGCOGS-SR431,1013.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-01-2025,Richwood Hospitality Co. LTD,1285,SR431,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,4201.6,
AUGCOGS-SR151-10,1014,A51001 - Freight - Out - Expense (New),981,,08-01-2025,Richwood Hospitality Co. LTD,1285,SR151-10,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,51252.06,,
AUGCOGS-SR151-10,1014.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-01-2025,Richwood Hospitality Co. LTD,1285,SR151-10,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,51252.06,
AUGCOGS-14036,1015,A51001 - Freight - Out - Expense (New),981,,08-01-2025,Atlas Concorde,1232,14036,Atlas Concorde - Aug  material cost transferred from sps,200,,
AUGCOGS-14036,1015.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-01-2025,Atlas Concorde,1232,14036,Atlas Concorde - Aug  material cost transferred from sps,,200,
AUGCOGS-SR393-8P3,1017,A51001 - Freight - Out - Expense (New),981,,08-02-2025,Richwood Hospitality Co. LTD,1285,SR393-8P3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,1851.94,,
AUGCOGS-SR393-8P3,1017.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-02-2025,Richwood Hospitality Co. LTD,1285,SR393-8P3,Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,1851.94,
"AUGCOGS-SR273-33,ctnr1.2,GV002-8,GV038",1018,A51001 - Freight - Out - Expense (New),981,,08-04-2025,Richwood Hospitality Co. LTD,1285,"SR273-33,ctnr1.2,GV002-8,GV038",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,0,,
"AUGCOGS-SR273-33,ctnr1.2,GV002-8,GV038",1018.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-04-2025,Richwood Hospitality Co. LTD,1285,"SR273-33,ctnr1.2,GV002-8,GV038",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,0,
"AUGCOGS-SR307-2,cntr1,2",1019,A51001 - Freight - Out - Expense (New),981,,08-04-2025,Richwood Hospitality Co. LTD,1285,"SR307-2,cntr1,2",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,669,,
"AUGCOGS-SR307-2,cntr1,2",1019.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-04-2025,Richwood Hospitality Co. LTD,1285,"SR307-2,cntr1,2",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,669,
"AUGCOGS-SR307-2,cntr4,5,6",1020,A51001 - Freight - Out - Expense (New),981,,08-04-2025,Richwood Hospitality Co. LTD,1285,"SR307-2,cntr4,5,6",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,904,,
"AUGCOGS-SR307-2,cntr4,5,6",1020.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-04-2025,Richwood Hospitality Co. LTD,1285,"SR307-2,cntr4,5,6",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,904,
"AUGCOGS-SR307-2,cntr3",1021,A51001 - Freight - Out - Expense (New),981,,08-04-2025,Richwood Hospitality Co. LTD,1285,"SR307-2,cntr3",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,334.5,,
"AUGCOGS-SR307-2,cntr3",1021.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-04-2025,Richwood Hospitality Co. LTD,1285,"SR307-2,cntr3",Richwood Hospitality Co. LTD - Aug  material cost transferred from sps,,334.5,
AUGCOGS-GV2025002,1022,A51001 - Freight - Out - Expense (New),981,,08-04-2025,"Cambodian Zulite Stone Co., Ltd.",1237,GV2025002,"Cambodian Zulite Stone Co., Ltd. - Aug  material cost transferred from sps",314.5,,
AUGCOGS-GV2025002,1022.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-04-2025,"Cambodian Zulite Stone Co., Ltd.",1237,GV2025002,"Cambodian Zulite Stone Co., Ltd. - Aug  material cost transferred from sps",,314.5,
AUGCOGS-SR173-5B2,1023,A51001 - Freight - Out - Expense (New),981,,08-05-2025,HARMONY HOSPITALITY CO LTD,2517,SR173-5B2,HARMONY HOSPITALITY CO LTD - Aug  material cost transferred from sps,193,,
AUGCOGS-SR173-5B2,1023.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-05-2025,HARMONY HOSPITALITY CO LTD,2517,SR173-5B2,HARMONY HOSPITALITY CO LTD - Aug  material cost transferred from sps,,193,
AUGCOGS-7302/VE,1024,A51001 - Freight - Out - Expense (New),981,,08-06-2025,MIRAGE GRANITO CERAMICO USA INC,1956,7302/VE,MIRAGE GRANITO CERAMICO USA INC - Aug  material cost transferred from sps,2075,,
AUGCOGS-7302/VE,1024.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08-06-2025,MIRAGE GRANITO CERAMICO USA INC,1956,7302/VE,MIRAGE GRANITO CERAMICO USA INC - Aug  material cost transferred from sps,,2075,
