External ID,S.no,Debit,Account ID,Credit ,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-15341/VE,1,A51001 - Freight - Out - Expense (New),981,,08/25/2025,MirageGranitoCeramico S.p.A,173,15341/VE,MirageGranitoCeramico S.p.A - Aug  material cost transferred from sps,3582.92,
AUGCOGS-15341/VE,1.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,Mirage Granito Ceramico S.p.A.,173,15341/VE,Mirage Granito Ceramico S.p.A. - Aug  material cost transferred from sps,,3582.92
AUGCOGS-15364/VE,2,A51001 - Freight - Out - Expense (New),981,,08/25/2025,Mirage Granito Ceramico S.p.A.,173,15364/VE,Mirage Granito Ceramico S.p.A. - Aug  material cost transferred from sps,3584,
AUGCOGS-15364/VE,2.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,Mirage Granito Ceramico S.p.A.,173,15364/VE,Mirage Granito Ceramico S.p.A. - Aug  material cost transferred from sps,,3584
AUGCOGS-SR307-2,3,A51001 - Freight - Out - Expense (New),981,,08/25/2025,RICHWOOD HOSPITALITY CO LTD,1285,SR307-2,RICHWOOD HOSPITALITY CO LTD - Aug  material cost transferred from sps,4950,
AUGCOGS-SR307-2,3.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,RICHWOOD HOSPITALITY CO LTD,1285,SR307-2,RICHWOOD HOSPITALITY CO LTD - Aug  material cost transferred from sps,,4950
AUGCOGS-26803/VE,4,A51001 - Freight - Out - Expense (New),981,,08/25/2025,ATLAS CONCORDE S.p.A,1232,26803/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,4697,
AUGCOGS-26803/VE,4.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,ATLAS CONCORDE S.p.A,1232,26803/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,,4697
AUGCOGS-4864/VE,5,A51001 - Freight - Out - Expense (New),981,,08/25/2025,CERAMICA REFIN SPA -ITALY,1238,4864/VE,CERAMICA REFIN SPA -ITALY - Aug  material cost transferred from sps,5512,
AUGCOGS-4864/VE,5.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,CERAMICA REFIN SPA -ITALY,1238,4864/VE,CERAMICA REFIN SPA -ITALY - Aug  material cost transferred from sps,,5512
AUGCOGS-19542/VE,6,A51001 - Freight - Out - Expense (New),981,,08/25/2025,Mirage Granito Ceramico S.p.A.,173,19542/VE,Mirage Granito Ceramico S.p.A. - Aug  material cost transferred from sps,14982.4,
AUGCOGS-19542/VE,6.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,Mirage Granito Ceramico S.p.A.,173,19542/VE,Mirage Granito Ceramico S.p.A. - Aug  material cost transferred from sps,,14982.4
AUGCOGS-22487/VE,7,A51001 - Freight - Out - Expense (New),981,,08/25/2025,ATLAS CONCORDE S.p.A,1232,22487/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,9704.79,
AUGCOGS-22487/VE,7.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,ATLAS CONCORDE S.p.A,1232,22487/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,,9704.79
AUGCOGS-20698/VE,8,A51001 - Freight - Out - Expense (New),981,,08/25/2025,ATLAS CONCORDE S.p.A,1232,20698/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,4602,
AUGCOGS-20698/VE,8.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,ATLAS CONCORDE S.p.A,1232,20698/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,,4602
AUGCOGS-14086/VE,9,A51001 - Freight - Out - Expense (New),981,,08/25/2025,ATLAS CONCORDE S.p.A,1232,14086/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,14309.02,
AUGCOGS-14086/VE,9.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/25/2025,ATLAS CONCORDE S.p.A,1232,14086/VE,ATLAS CONCORDE S.p.A - Aug  material cost transferred from sps,,14309.02
AUGCOGS-24JS101606,10,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24JS101606,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",135,
AUGCOGS-24JS101606,10.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24JS101606,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,135
AUGCOGS-24JS101101,11,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24JS101101,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",198,
AUGCOGS-24JS101101,11.5,,966,A20001 - Accounts Payable Suppliers & Vendors (New),08/26/2025,"Jasfer Industry Co., Limited",137,24JS101101,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",,198
AUGCOGS-24JSF10049,12,A51001 - Freight - Out - Expense (New),981,,08/26/2025,"Jasfer Industry Co., Limited",137,24JSF10049,"Jasfer Industry Co., Limited - Aug  material cost transferred from sps",199,
