External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-38259,18,A50001 - Cost Of Goods Sold (New),977,,08/11/2025,HOME2 SOMERSET,3526,38259,HOME2 SOMERSET - Aug  material cost transferred from sps,365.65,
AUGCOGS-38259,18.5,,953,A12001 - Inventory (New),08/11/2025,HOME2 SOMERSET,3526,38259,HOME2 SOMERSET - Aug  material cost transferred from sps,,365.65
AUGCOGS-38260,19,A50001 - Cost Of Goods Sold (New),977,,08/11/2025,HOME2 SOMERSET,3526,38260,HOME2 SOMERSET - Aug  material cost transferred from sps,6467.32,
AUGCOGS-38260,19.5,,953,A12001 - Inventory (New),08/11/2025,HOME2 SOMERSET,3526,38260,HOME2 SOMERSET - Aug  material cost transferred from sps,,6467.32
AUGCOGS-38251/3,36,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38251/3,HOME2 SOMERSET - Aug  material cost transferred from sps,7343.21,
AUGCOGS-38251/3,36.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38251/3,HOME2 SOMERSET - Aug  material cost transferred from sps,,7343.21
AUGCOGS-38251/5,37,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38251/5,HOME2 SOMERSET - Aug  material cost transferred from sps,493.75,
AUGCOGS-38251/5,37.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38251/5,HOME2 SOMERSET - Aug  material cost transferred from sps,,493.75
AUGCOGS-38252/2,38,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38252/2,HOME2 SOMERSET - Aug  material cost transferred from sps,6729.76,
AUGCOGS-38252/2,38.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38252/2,HOME2 SOMERSET - Aug  material cost transferred from sps,,6729.76
AUGCOGS-38253/2,39,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38253/2,HOME2 SOMERSET - Aug  material cost transferred from sps,17550.43,
AUGCOGS-38253/2,39.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38253/2,HOME2 SOMERSET - Aug  material cost transferred from sps,,17550.43
AUGCOGS-38256,40,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38256,HOME2 SOMERSET - Aug  material cost transferred from sps,4568.02,
AUGCOGS-38256,40.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38256,HOME2 SOMERSET - Aug  material cost transferred from sps,,4568.02
AUGCOGS-38257,41,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38257,HOME2 SOMERSET - Aug  material cost transferred from sps,2555.48,
AUGCOGS-38257,41.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38257,HOME2 SOMERSET - Aug  material cost transferred from sps,,2555.48
AUGCOGS-38268,42,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38268,HOME2 SOMERSET - Aug  material cost transferred from sps,427.87,
AUGCOGS-38268,42.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38268,HOME2 SOMERSET - Aug  material cost transferred from sps,,427.87
AUGCOGS-38375,44,A50001 - Cost Of Goods Sold (New),977,,08/12/2025,HOME2 SOMERSET,3526,38375,HOME2 SOMERSET - Aug  material cost transferred from sps,682.09,
AUGCOGS-38375,44.5,,953,A12001 - Inventory (New),08/12/2025,HOME2 SOMERSET,3526,38375,HOME2 SOMERSET - Aug  material cost transferred from sps,,682.09
