External ID,No,Debit Acc,Account Internal ID,Credit Acc #,Date,Entity,Entity ID,Invoice #,Memo,Debit Amt,Credit Amt
AUGCOGS-37684/3,1,A50001 - Cost Of Goods Sold (New),977,,08/01/2025,Ascent Residence inn Montgomery,3320,37684/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,45093.10,
AUGCOGS-37684/3,1.5,,953,A12001 - Inventory (New),08/01/2025,Ascent Residence inn Montgomery,3320,37684/3,Ascent Residence inn Montgomery - Aug  material cost transferred from sps,,45093.10
AUGCOGS-41188101,2,A50001 - Cost Of Goods Sold (New),977,,08/01/2025,MDC Interior Solutions,1267,41188101,MDC Interior Solutions - Aug  material cost transferred from sps,113.40,
AUGCOGS-41188101,2.5,,953,A12001 - Inventory (New),08/01/2025,MDC Interior Solutions,1267,41188101,MDC Interior Solutions - Aug  material cost transferred from sps,,113.40
AUGCOGS-35804/4,3,A50001 - Cost Of Goods Sold (New),977,,08/04/2025,Fairfield Townplace East Hartford,3335,35804/4,Fairfield Townplace East Hartford - Aug  material cost transferred from sps,21564.59,
AUGCOGS-35804/4,3.5,,953,A12001 - Inventory (New),08/04/2025,Fairfield Townplace East Hartford,3335,35804/4,Fairfield Townplace East Hartford - Aug  material cost transferred from sps,,21564.59
AUGCOGS-38633,4,A50001 - Cost Of Goods Sold (New),977,,08/04/2025,Classic American Homes & Renovations,2708,38633,Classic American Homes & Renovations - Aug  material cost transferred from sps,996.55,
AUGCOGS-38633,4.5,,953,A12001 - Inventory (New),08/04/2025,Classic American Homes & Renovations,2708,38633,Classic American Homes & Renovations - Aug  material cost transferred from sps,,996.55
AUGCOGS-38235/6,5,A50001 - Cost Of Goods Sold (New),977,,08/05/2025,Hampton Inn Nashville,3338,38235/6,Hampton Inn Nashville - Aug  material cost transferred from sps,14077.81,
AUGCOGS-38235/6,5.5,,953,A12001 - Inventory (New),08/05/2025,Hampton Inn Nashville,3338,38235/6,Hampton Inn Nashville - Aug  material cost transferred from sps,,14077.81
AUGCOGS-38299/3,6,A50001 - Cost Of Goods Sold (New),977,,08/05/2025,"Chesterfield Hospitality, Inc.",1558,38299/3,"Chesterfield Hospitality, Inc. - Aug  material cost transferred from sps",11730.06,
AUGCOGS-38299/3,6.5,,953,A12001 - Inventory (New),08/05/2025,"Chesterfield Hospitality, Inc.",1558,38299/3,"Chesterfield Hospitality, Inc. - Aug  material cost transferred from sps",,11730.06
