EXTERNALID,Entity,EMAIL
CUST2020,HOME2 SOMERSET,abc@granitivicentia.com
CUST2021,Fyffe Construction CO/ LaQuinta Manchester,abc@granitivicentia.com
CUST2022,CAPITOL HOTEL NASHVILLE/Dan,abc@granitivicentia.com
CUST2023,Marriott Fairfield Harrisburg PA,abc@granitivicentia.com
CUST2024,"LA QUINTA MODEL ROOM / GV HEADQUARTERS, HOUSTON",abc@granitivicentia.com
CUST2025,LAQUINTA YUMA AZ,abc@granitivicentia.com
CUST2026,"Courtyard Navy Yard, Philadelphia",abc@granitivicentia.com
CUST2027,CORNER STONE FLOORING COMPANIES,abc@granitivicentia.com
CUST2028,La Quinta -Madison WI -Savan Patel,abc@granitivicentia.com
CUST2029,Nandas Holding Ltd.c/o Sunray Group,abc@granitivicentia.com
CUST2030,Acoya South Bay,abc@granitivicentia.com
CUST2031,EXPOSED DESIGN GROUP,abc@granitivicentia.com
CUST2032,CCMH Metro Center LLC,abc@granitivicentia.com
CUST2033,THE TD GROUP,abc@granitivicentia.com
CUST2034,Layered Dimensions Interior Design,abc@granitivicentia.com
CUST2035,La Quinta Brookshire TX,abc@granitivicentia.com
CUST2036,"Krushiker Hospitality Group, Inc/ Homewood Suites- Fayetteville, AR",abc@granitivicentia.com
CUST2037,Wyndham Garden Newark,abc@granitivicentia.com
CUST2038,LaQuinta - Stafford - TX,abc@granitivicentia.com
CUST2039,335 8th Avenue,abc@granitivicentia.com
CUST2040,CANDLEWOOD - PERRYSBERG,abc@granitivicentia.com
CUST2041,Pinnacle Hospitality Partners / Hilton Garden inn Nashville,abc@granitivicentia.com
CUST2042,Best Western Premiere / Colorado Hospitality,abc@granitivicentia.com
CUST2043,Fairfield Inn - Indianapolis,abc@granitivicentia.com
CUST2044,"Lynden Hospitality 2, LLC",abc@granitivicentia.com
CUST2045,"Ritzway Group, LLC / Sheraton Columbus",abc@granitivicentia.com
CUST2046,AUTOGRAPH TRILOGY HUNTSVILLE AL,abc@granitivicentia.com
CUST2047,AJA Investments LLC/ Wyndham Lake Charles,abc@granitivicentia.com
CUST2048,UPNEXT HOSPITALITY - STAYBRIDGE,abc@granitivicentia.com
CUST2049,SUBLIME CUSTOM STONE,abc@granitivicentia.com
CUST2050,Ramada Plaza Resort & Suites Orlando/ MIC Hotel Corp,abc@granitivicentia.com
CUST2051,Body Harmony (Anthony Buck),abc@granitivicentia.com
CUST2052,Mitch Cox Construction,abc@granitivicentia.com
CUST2053,ISLAMIC EDUCATION CENTER,abc@granitivicentia.com
CUST2054,"TOWNEPLACE SUITES, DALLAS",abc@granitivicentia.com
CUST2055,Wingate Sheboygan WI - 01954,abc@granitivicentia.com
CUST2056,HSI Design Group,abc@granitivicentia.com
CUST2057,Tommy Wong,abc@granitivicentia.com
CUST2058,Link Floors,abc@granitivicentia.com
CUST2059,Didier Nader,abc@granitivicentia.com
CUST2060,Specialty Tile Products Inc.,abc@granitivicentia.com
CUST2061,Days Inn in Georgetown,abc@granitivicentia.com
CUST2062,Davaco - Chilies Restroom remodel Woodlands. TX,abc@granitivicentia.com
CUST2063,Hampton 801 Walnut,abc@granitivicentia.com
CUST2064,Steve Hari/ Best Western TN,abc@granitivicentia.com
