External ID,S.no,Debit,Account ID,Debit Internal ID,Credit,Credit Internal ID,Date,Customer,Entity ID,Invoice#,Memo,Description,Debit AMT,Credit AMT
EXTERNAL - SR350-9PA,153,A51001 - Freight - Out - Expense (New),981,981,,,7/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR350-9PA,HARMONY HOSPITALITY CO LTD - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,3318.50,
EXTERNAL - SR350-9PA,153.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR350-9PA,HARMONY HOSPITALITY CO LTD - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,3318.50
EXTERNAL - SR350-9S,154,A51001 - Freight - Out - Expense (New),981,981,,,7/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR350-9S,HARMONY HOSPITALITY CO LTD - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,3885.00,
EXTERNAL - SR350-9S,154.5,,966,,A20001 - Accounts Payable Suppliers & Vendors (New),966,7/21/2025,HARMONY HOSPITALITY CO LTD,2517,SR350-9S,HARMONY HOSPITALITY CO LTD - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,3885.00
EXTERNAL - 24JSF11024,155,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11024,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,1054.00,
EXTERNAL - 24JSF11024,155.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11024,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,1054.00
EXTERNAL - 24BL123005,156,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,24BL123005,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,87.05,
EXTERNAL - 24BL123005,156.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,24BL123005,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,87.05
EXTERNAL - 202505104,157,A12001 - Inventory (New),953,953,,,7/22/2025,An Cuong Wood-Working,1542,202505104,An Cuong Wood-Working - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,150.00,
EXTERNAL - 202505104,157.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,An Cuong Wood-Working,1542,202505104,An Cuong Wood-Working - Import July 25 cogs for freight from SPS to Netsuite,Import July 25 cogs for freight from SPS to Netsuite,,150.00
EXTERNAL - 24JSF11060,158,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11060,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,916.44,
EXTERNAL - 24JSF11060,158.5,,981,,A51001 - Freight - Out - Expense (New),981,7/22/2025,"Jasfer Industry Co., Limited",137,24JSF11060,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,,916.44
EXTERNAL - 25BL011605,159,A12001 - Inventory (New),953,953,,,7/22/2025,"Jasfer Industry Co., Limited",137,25BL011605,"Jasfer Industry Co., Limited - Import July 25 cogs for freight from SPS to Netsuite",Import July 25 cogs for freight from SPS to Netsuite,56.86,
