EXTERNAL ID,S.no,Debit,Acount ID,Credit,Credit Internal ID,Date,Customer,Entity ID,Invoice#,Memo,Description,Debit Amt,Credit Amt 
EXTERNAL - 33555,3,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,La Quinta Inn & Suites - Seatac Airport - Seattle WA,2328,33555,La Quinta Inn & Suites- Seatac Airport- Seattle WAImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,10748.91,
EXTERNAL - 33555,3.5,,953,A12001 - Inventory (New),953,07/01/2025,La Quinta Inn & Suites - Seatac Airport - Seattle WA,2328,33555,La Quinta Inn & Suites- Seatac Airport- Seattle WAImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,10748.91
EXTERNAL - 36783/5,43,A50001 - Cost Of Goods Sold (New),977,,,07/11/2025,Ascent Home2 Montgomery,2571,36783/5,Ascent Home2 MontgomeryImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,6123.55,
EXTERNAL - 36783/5,43.5,,953,A12001 - Inventory (New),953,07/11/2025,Ascent Home2 Montgomery,2571,36783/5,Ascent Home2 MontgomeryImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,6123.55
EXTERNAL - 37090/2,59,A50001 - Cost Of Goods Sold (New),977,,,7/23/2025,Ascent Home2 Montgomery,2571,37090/2,Ascent Home2 MontgomeryImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,32.18,
EXTERNAL - 37090/2,59.5,,953,A12001 - Inventory (New),953,7/23/2025,Ascent Home2 Montgomery,2571,37090/2,Ascent Home2 MontgomeryImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,32.18
EXTERNAL - 34035/3,71,A50001 - Cost Of Goods Sold (New),977,,,7/30/2025,Hampton Inn Rosenberg,2520,34035/3,Hampton Inn RosenbergImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,1323.43,
EXTERNAL - 34035/3,71.5,,953,A12001 - Inventory (New),953,7/30/2025,Hampton Inn Rosenberg,2520,34035/3,Hampton Inn RosenbergImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,1323.43
EXTERNAL - 37977/5,80,A50001 - Cost Of Goods Sold (New),977,,,7/30/2025,Hampton Inn Rosenberg,2520,37977/5,Hampton Inn RosenbergImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,1059.45,
EXTERNAL - 37977/5,80.5,,953,A12001 - Inventory (New),953,7/30/2025,Hampton Inn Rosenberg,2520,37977/5,Hampton Inn RosenbergImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,1059.45
EXTERNAL - S5239097.001,108,A50001 - Cost Of Goods Sold (New),977,,,7/31/2025,Fasco Fasteners & Supply,105,S5239097.001,Fasco Fasteners and SupplyImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,90.48,
EXTERNAL - S5239097.001,108.5,,953,A12001 - Inventory (New),953,7/31/2025,Fasco Fasteners & Supply,105,S5239097.001,Fasco Fasteners and SupplyImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,90.48
EXTERNAL - S5245695,109,A50001 - Cost Of Goods Sold (New),977,,,7/31/2025,NEFCO Corporation,2197,S5245695,NEFCOImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,62.34,
EXTERNAL - S5245695,109.5,,953,A12001 - Inventory (New),953,7/31/2025,NEFCO Corporation,2197,S5245695,NEFCOImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,62.34
EXTERNAL - S5248719.001,111,A50001 - Cost Of Goods Sold (New),977,,,7/31/2025,NEFCO Corporation,2197,S5248719.001,NEFCOImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,128.39,
EXTERNAL - S5248719.001,111.5,,953,A12001 - Inventory (New),953,7/31/2025,NEFCO Corporation,2197,S5248719.001,NEFCOImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,128.39
