External ID,S.no,Debit,Acount ID,Credit,Credit Internal ID,Date,Customer,Entity ID,Invoice#,Memo,Description,Debit Amt,Credit Amt
EXTERNAL-33984,6,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,CANDLEWOOD LAFAYETTE,3409,33984,CANDLEWOOD LAFAYETTEImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,345.00,
EXTERNAL-33984,6.5,,953,A12001 - Inventory (New),953,07/01/2025,CANDLEWOOD LAFAYETTE,3409,33984,CANDLEWOOD LAFAYETTEImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,345.00
EXTERNAL-34076,7,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,LaQuinta - Naples - FL - Raj Mukkirla,3410,34076,LaQuinta - Naples - FL - Raj MukkirlaImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,6083.65,
EXTERNAL-34076,7.5,,953,A12001 - Inventory (New),953,07/01/2025,LaQuinta - Naples - FL - Raj Mukkirla,3410,34076,LaQuinta - Naples - FL - Raj MukkirlaImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,6083.65
EXTERNAL-37217,16,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,Continental Inns of America La Quinta Inn,3509,37217,Continental Inns of America La Quinta InnImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,127.00,
EXTERNAL-37217,16.5,,953,A12001 - Inventory (New),953,07/01/2025,Continental Inns of America La Quinta Inn,3509,37217,Continental Inns of America La Quinta InnImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,127.00
EXTERNAL-38187,32,A50001 - Cost Of Goods Sold (New),977,,,07/08/2025,LQ Hawthorne Leavenworth,3412,38187,LQ Hawthorne LeavenworthImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,17439.66,
EXTERNAL-38187,32.5,,953,A12001 - Inventory (New),953,07/08/2025,LQ Hawthorne Leavenworth,3412,38187,LQ Hawthorne LeavenworthImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,17439.66
EXTERNAL-38196,33,A50001 - Cost Of Goods Sold (New),977,,,07/08/2025,LQ Hawthorne Leavenworth,3412,38196,LQ Hawthorne LeavenworthImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,22343.02,
EXTERNAL-38196,33.5,,953,A12001 - Inventory (New),953,07/08/2025,LQ Hawthorne Leavenworth,3412,38196,LQ Hawthorne LeavenworthImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,22343.02
EXTERNAL-38525/2,41,A50001 - Cost Of Goods Sold (New),977,,,07/10/2025,Interior Dezyn,3413,38525/2,Interior DezynImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,2004.76,
EXTERNAL-38525/2,41.5,,953,A12001 - Inventory (New),953,07/10/2025,Interior Dezyn,3413,38525/2,Interior DezynImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,2004.76
