EXTERNAL ID,S.no,Debit,Acount ID,Credit,Credit Internal ID,Date,Customer,Entity ID,Invoice#,Memo,Description,Debit Amt,Credit Amt,0
EXTERNAL -33495/7,2,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,Magnolia LXR Dallas TX -,3370,33495/7,Magnolia LXR Dallas TX -Import July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,3554.96,,
EXTERNAL -33495/7,2.5,,953,A12001 - Inventory (New),953,07/01/2025,Magnolia LXR Dallas TX -,3370,33495/7,Magnolia LXR Dallas TX -Import July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,3554.96,
EXTERNAL -33565/10,4,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,LA QUINTA ORLANDO,2678,33565/10,LA QUINTA ORLANDOImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,893.18,,
EXTERNAL -33565/10,4.5,,953,A12001 - Inventory (New),953,07/01/2025,LA QUINTA ORLANDO,2678,33565/10,LA QUINTA ORLANDOImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,893.18,
EXTERNAL -33722/5,5,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,LaQuinta/Hawthone - Knoxville TN - AMit,3367,33722/5,LaQuinta/Hawthone - Knoxville TN - AMitImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,848.00,,
EXTERNAL -33722/5,5.5,,953,A12001 - Inventory (New),953,07/01/2025,LaQuinta/Hawthone - Knoxville TN - AMit,3367,33722/5,LaQuinta/Hawthone - Knoxville TN - AMitImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,848.00,
EXTERNAL -34086/8,8,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,Magnolia LXR Dallas TX -,3370,34086/8,Magnolia LXR Dallas TX -Import July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,10311.03,,
EXTERNAL -34086/8,8.5,,953,A12001 - Inventory (New),953,07/01/2025,Magnolia LXR Dallas TX -,3370,34086/8,Magnolia LXR Dallas TX -Import July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,10311.03,
EXTERNAL -34113/2,9,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,"La Quinta, Anaheim CA",3361,34113/2,"La Quinta, Anaheim CAImport July 25 cogs for materials from SPS to Netsuite",Import July 25 cogs for materials from SPS to Netsuite,980.95,,
EXTERNAL -34113/2,9.5,,953,A12001 - Inventory (New),953,07/01/2025,"La Quinta, Anaheim CA",3361,34113/2,"La Quinta, Anaheim CAImport July 25 cogs for materials from SPS to Netsuite",Import July 25 cogs for materials from SPS to Netsuite,,980.95,
EXTERNAL -34289/3,10,A50001 - Cost Of Goods Sold (New),977,,,07/01/2025,LaQuinta Yakima WA,2619,34289/3,LaQuinta Yakima WAImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,541.70,,
EXTERNAL -34289/3,10.5,,953,A12001 - Inventory (New),953,07/01/2025,LaQuinta Yakima WA,2619,34289/3,LaQuinta Yakima WAImport July 25 cogs for materials from SPS to Netsuite,Import July 25 cogs for materials from SPS to Netsuite,,541.70,
