External ID,Sl No.,Debit,Account ID,Credit ,Date,Invoice #,Vendor,Vendor ID,Decription,Debit Amt,Credit Amt
AUGCUSTOM-41279,1,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/25/2025,41279,"WOW USA, Inc.",2367,Aug 25 customs clerarence in netsuite,17342.00,
AUGCUSTOM-41279,1.5,,979,A50003 - Customs Clearance (New),08/25/2025,41279,"WOW USA, Inc.",2367,Aug 25 customs clerarence in netsuite,,17342.00
AUGCUSTOM-20250414,2,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,20250414,An Cuong Wood-Working,1542,Aug 25 customs clerarence in netsuite,3785.09,
AUGCUSTOM-20250414,2.5,,979,A50003 - Customs Clearance (New),08/26/2025,20250414,An Cuong Wood-Working,1542,Aug 25 customs clerarence in netsuite,,3785.09
AUGCUSTOM-14086/VE,3,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,14086/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,4162.00,
AUGCUSTOM-14086/VE,3.5,,979,A50003 - Customs Clearance (New),08/26/2025,14086/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,,4162.00
AUGCUSTOM-14086/VE,4,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,14086/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,4528.02,
AUGCUSTOM-14086/VE,4.5,,979,A50003 - Customs Clearance (New),08/26/2025,14086/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,,4528.02
AUGCUSTOM-14086/VE,5,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,14086/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,3271.00,
AUGCUSTOM-14086/VE,5.5,,979,A50003 - Customs Clearance (New),08/26/2025,14086/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,,3271.00
AUGCUSTOM-19542/VE,6,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,19542/VE,MirageGranitoCeramico S.p.A,173,Aug 25 customs clerarence in netsuite,10500.40,
AUGCUSTOM-19542/VE,6.5,,979,A50003 - Customs Clearance (New),08/26/2025,19542/VE,MirageGranitoCeramico S.p.A,173,Aug 25 customs clerarence in netsuite,,10500.40
AUGCUSTOM-22487/VE,7,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,22487/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,2527.18,
AUGCUSTOM-22487/VE,7.5,,979,A50003 - Customs Clearance (New),08/26/2025,22487/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,,2527.18
AUGCUSTOM-22487/VE,8,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,22487/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,2527.00,
AUGCUSTOM-22487/VE,8.5,,979,A50003 - Customs Clearance (New),08/26/2025,22487/VE,Atlas Concorde,1232,Aug 25 customs clerarence in netsuite,,2527.00
AUGCUSTOM-22532306-E,9,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,669.00,
AUGCUSTOM-22532306-E,9.5,,979,A50003 - Customs Clearance (New),08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,,669.00
AUGCUSTOM-22532306-E,10,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,670.00,
AUGCUSTOM-22532306-E,10.5,,979,A50003 - Customs Clearance (New),08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,,670.00
AUGCUSTOM-22532306-E,11,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,670.00,
AUGCUSTOM-22532306-E,11.5,,979,A50003 - Customs Clearance (New),08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,,670.00
AUGCUSTOM-22532306-E,12,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,669.86,
AUGCUSTOM-22532306-E,12.5,,979,A50003 - Customs Clearance (New),08/25/2025,22532306-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,,669.86
AUGCUSTOM-22532939-E,13,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,22532939-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,108.55,
AUGCUSTOM-22532939-E,13.5,,979,A50003 - Customs Clearance (New),08/26/2025,22532939-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,,108.55
AUGCUSTOM-22533263-E,14,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,22533263-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,1825.62,
AUGCUSTOM-22533263-E,14.5,,979,A50003 - Customs Clearance (New),08/26/2025,22533263-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,,1825.62
AUGCUSTOM-22533263-E,15,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,22533263-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,1825.00,
AUGCUSTOM-22533263-E,15.5,,979,A50003 - Customs Clearance (New),08/26/2025,22533263-E,Fama Sofas S.L.U,1248,Aug 25 customs clerarence in netsuite,,1825.00
AUGCUSTOM-E/201,16,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/25/2025,E/201,Natucer Ceramica Natural,1276,Aug 25 customs clerarence in netsuite,17342.16,
AUGCUSTOM-E/201,16.5,,979,A50003 - Customs Clearance (New),08/25/2025,E/201,Natucer Ceramica Natural,1276,Aug 25 customs clerarence in netsuite,,17342.16
AUGCUSTOM-EXP2024000000498,17,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,EXP2024000000498,Papatya,1333,Aug 25 customs clerarence in netsuite,78.08,
AUGCUSTOM-EXP2024000000498,17.5,,979,A50003 - Customs Clearance (New),08/26/2025,EXP2024000000498,Papatya,1333,Aug 25 customs clerarence in netsuite,,78.08
AUGCUSTOM-FT 1/36203,18,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,FT 1/36203,JMSMILL,1955,Aug 25 customs clerarence in netsuite,3625.00,
AUGCUSTOM-FT 1/36203,18.5,,979,A50003 - Customs Clearance (New),08/26/2025,FT 1/36203,JMSMILL,1955,Aug 25 customs clerarence in netsuite,,3625.00
AUGCUSTOM-FT 1/36203,19,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,FT 1/36203,JMSMILL,1955,Aug 25 customs clerarence in netsuite,3624.25,
AUGCUSTOM-FT 1/36203,19.5,,979,A50003 - Customs Clearance (New),08/26/2025,FT 1/36203,JMSMILL,1955,Aug 25 customs clerarence in netsuite,,3624.25
AUGCUSTOM-GV2025008,20,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/25/2025,GV2025008,"Cambodian Zulite Stone Co., Ltd.",1237,Aug 25 customs clerarence in netsuite,2599.95,
AUGCUSTOM-GV2025008,20.5,,979,A50003 - Customs Clearance (New),08/25/2025,GV2025008,"Cambodian Zulite Stone Co., Ltd.",1237,Aug 25 customs clerarence in netsuite,,2599.95
AUGCUSTOM-GV2025014,21,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,GV2025014,"Cambodian Zulite Stone Co., Ltd.",1237,Aug 25 customs clerarence in netsuite,804.23,
AUGCUSTOM-GV2025014,21.5,,979,A50003 - Customs Clearance (New),08/26/2025,GV2025014,"Cambodian Zulite Stone Co., Ltd.",1237,Aug 25 customs clerarence in netsuite,,804.23
AUGCUSTOM-INV-HE.05-02-03-25,22,A20001 - Accounts Payable Suppliers & Vendors (New),966,,08/26/2025,INV-HE.05-02-03-25,AMY Building Material Investments,1331,Aug 25 customs clerarence in netsuite,3290.39,
AUGCUSTOM-INV-HE.05-02-03-25,22.5,,979,A50003 - Customs Clearance (New),08/26/2025,INV-HE.05-02-03-25,AMY Building Material Investments,1331,Aug 25 customs clerarence in netsuite,,3290.39
