External ID,SL NO.,Debit Account#, Acc ID,Credit Account #,Date,Invoice #,Vendor,Vendor ID,Decription,Debit Amt,Credit Amt
"CUSTOM-2024-FE-0000421, 12",1,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,"2024-FE-0000421, 12",GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
"CUSTOM-2024-FE-0000421, 12",1.5,,979,A50003 - Customs Clearance (New),07/31/2025,"2024-FE-0000421, 12",GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
CUSTOM-2025-FE-0000020,2,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000020,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
CUSTOM-2025-FE-0000020,2.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000020,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
CUSTOM-22530781-E,3,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,22530781-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",240.45,
CUSTOM-22530781-E,3.5,,979,A50003 - Customs Clearance (New),07/31/2025,22530781-E,Fama Sofas S.L.U,1248,"customs clearence, July 25 in SPS",,240.45
CUSTOM-2025-FE-0000019,4,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000019,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
CUSTOM-2025-FE-0000019,4.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000019,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
CUSTOM-2025-FE-0000021,5,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000021,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",13.00,
CUSTOM-2025-FE-0000021,5.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000021,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,13.00
CUSTOM-2025-FE-0000013,6,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000013,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
CUSTOM-2025-FE-0000013,6.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000013,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
CUSTOM-2025-FE-0000014,7,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000014,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
CUSTOM-2025-FE-0000014,7.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000014,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
CUSTOM-2025-FE-0000015,8,A20001 - Accounts Payable Suppliers & Vendors (New),966,,07/31/2025,2025-FE-0000015,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",12.00,
CUSTOM-2025-FE-0000015,8.5,,979,A50003 - Customs Clearance (New),07/31/2025,2025-FE-0000015,GIBAM SHOPS SPA,1253,"customs clearence, July 25 in SPS",,12.00
