Customer,ID,Invoice#,Cust. PO#,Job Name,Invoice Dt.,Due Dt.,Balance Due,Account ,Subsidiary,Subsidiary ID
AAA Hospitality - Embassy Suites Las Colinas TX,#N/A,33396,,,05-24-2023,05-24-2023,"$6,365.10",A11001,Graniti Vicentia LLC,3
AAA Hospitality - Embassy Suites Las Colinas TX,#N/A,35203,,,10-03-2023,10-03-2023,$43.88,A11001,Graniti Vicentia LLC,3
AAA Hospitality - Embassy Suites Las Colinas TX,#N/A,33050,,ESLC - Corridor Lobby Carpet,10-05-2023,10-05-2023,"$44,076.56",A11001,Graniti Vicentia LLC,3
AAA Hospitality - Embassy Suites Las Colinas TX,#N/A,33396/2,,,10-05-2023,10-05-2023,"$36,008.56",A11001,Graniti Vicentia LLC,3
AAA Hospitality - Embassy Suites Las Colinas TX,#N/A,36933,,ATTIC STOCK MATERIAL,02-19-2025,02-19-2025,"$3,661.70",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33645,,Embassy Suites - Irving Additional Trim PCS,03-23-2023,03-23-2023,"$4,667.95",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33145/12,,TILES,04-11-2023,04-11-2023,"$3,723.97",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33133,,WINDOW TREATMENT,04-12-2023,04-12-2023,"$6,873.43",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33145/11,,TILES,05-24-2023,05-24-2023,"$3,048.15",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33142/2,,BEDDDING,06-01-2023,06-01-2023,"$1,568.36",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,34575,,,06-05-2023,06-05-2023,"$3,826.46",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33131/7,,LIGHTING,06-19-2023,06-19-2023,"$8,287.09",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33132/2,,ARTWORK & MIRRORS,07-06-2023,07-06-2023,"$2,029.69",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33132/6,,ARTWORK & MIRRORS,07-06-2023,07-06-2023,"$3,066.88",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33148/5,,WALLCOVERING,07-06-2023,07-06-2023,"$6,858.70",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,34869,,,08-03-2023,08-03-2023,"$6,727.66",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,34944,,,08-16-2023,08-16-2023,"$1,306.00",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33129/24,,SEATING,09-29-2023,09-29-2023,"$16,044.70",A11001,Graniti Vicentia LLC,3
"AAA Hotel Management, Inc.",#N/A,33130/22,,CASEGOODS,09-30-2023,09-30-2023,"$26,388.67",A11001,Graniti Vicentia LLC,3
AFP 103 Corp,#N/A,37373,,Doubletree Miami Airport,10-08-2024,10-08-2024,$432.03,A11001,Graniti Vicentia LLC,3
AFP 108 Corp.,#N/A,37255/3,AFP108-2024-GV00,Double tree Rochester,11-14-2024,11-14-2024,$432.35,A11001,Graniti Vicentia LLC,3
"Angles Contractor, INC./Carlton Apartments",440,33760,,,04-30-2024,04-30-2024,"$1,03,222.57",A11001,Graniti Vicentia LLC,3
"Angles Contractor, INC./Carlton Apartments",2601,33760/2,,,08-31-2024,08-31-2024,"$43,296.04",A11001,Graniti Vicentia LLC,3
