External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Account ID
NSOPENBALBILL429,40391,cogs,36045,137,"Jasfer Industry Co., Limited",01/11/2024,"$8,044.97",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL430,40391,cogs,23BDL05029,137,"Jasfer Industry Co., Limited",01/11/2024,$809.99,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL431,40391,cogs,24JS011901 - PI,137,"Jasfer Industry Co., Limited",02/01/2024,$416.12,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL432,40391,cogs,23JSF04044,137,"Jasfer Industry Co., Limited",02/01/2024,$340.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL433,40391,cogs,23BL092801,137,"Jasfer Industry Co., Limited",02/03/2024,"$1,048.65",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL434,40391,cogs,PrePayment  -,137,"Jasfer Industry Co., Limited",03/07/2024,"-$8,873.01",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL435,40391,cogs,20240307  -PI,137,"Jasfer Industry Co., Limited",03/07/2024,"$7,367.40",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL436,40391,cogs,24JSF03035 - PI,137,"Jasfer Industry Co., Limited",03/22/2024,"$1,516.94",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL437,40391,cogs,23JS120407,137,"Jasfer Industry Co., Limited",04/08/2024,$200.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL438,40391,cogs,23JSF11005,137,"Jasfer Industry Co., Limited",04/10/2024,$38.95,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL439,40391,cogs,24JSF01009,137,"Jasfer Industry Co., Limited",04/10/2024,$565.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL440,40391,cogs,23RT120101,137,"Jasfer Industry Co., Limited",04/17/2024,"$16,184.27",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL441,40391,cogs,24JSF03029,137,"Jasfer Industry Co., Limited",04/19/2024,"$6,330.48",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL442,40391,cogs,W-0429,137,"Jasfer Industry Co., Limited",04/29/2024,"-$1,089.48",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL443,40391,cogs,24JSF04107 (R002),137,"Jasfer Industry Co., Limited",05/06/2024,"$1,217.60",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL444,40391,cogs,24JSF04108-A (R002) - PI,137,"Jasfer Industry Co., Limited",05/06/2024,"$22,837.50",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL445,40391,cogs,24JSF04108-B (R002) - PI,137,"Jasfer Industry Co., Limited",05/06/2024,"$5,887.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL446,40391,cogs,24JSF04108-C (R002),137,"Jasfer Industry Co., Limited",05/06/2024,"$1,218.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
NSOPENBALBILL447,40391,cogs,24JSF04106-A (R002),137,"Jasfer Industry Co., Limited",05/08/2024,"$13,398.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,966
