External ID,Item internal Id,sold (COGS),Invoice #/Rerence No.,Vendor ID,Vendor,Invoice date,Amount,Subsidiary Id,Subsidiary,Memo,Account
NSOPENBALBILL753,40391,cogs,S021295,1270,Modular Shower Walls,05-23-25,$161.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL754,40391,cogs,S021470,1270,Modular Shower Walls,06-27-25,"$22,737.33",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL755,40391,cogs,S021471,1270,Modular Shower Walls,06-27-25,"$15,360.60",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL756,40391,cogs,1374e7d1-71a0-443a-bf70-5277a700ce9a,1270,Modular Shower Walls,06-30-25,"$6,066.70",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL757,40391,cogs,b0d91988-30ee-432a-8a79-2bb9d511fec8,1270,Modular Shower Walls,06-30-25,"$19,511.21",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL758,40391,cogs,6282024,1271,Modular Vanity tops & Bases,06-28-24,$353.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL759,40391,cogs,824013041 - PF,1971,Momentum Group,11-06-2024,-$44.04,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL760,40391,cogs,W-0403,1971,Momentum Group,04-03-2025,"-$16,583.29",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL761,40391,cogs,PrePayment  - PO1258/NetSuite,1971,Momentum Group,04-09-2025,"-$1,146.53",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL762,40391,cogs,W-0513,1971,Momentum Group,05-13-25,-$532.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL763,40391,cogs,W-0604,1971,Momentum Group,06-04-2025,-$578.51,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL764,40391,cogs,W-0609,1971,Momentum Group,06-09-2025,-$533.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL765,40391,cogs,PrePayment  - PO45773/NetSuite,2411,Monster displays,04-22-25,"-$2,668.07",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL766,40391,cogs,PrePayment  - PO60080/NetSuite,2411,Monster displays,05-11-2025,"-$1,104.19",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL767,40391,cogs,1118352890-IN,2497,"MS International, Inc.",06-20-25,$689.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL768,40391,cogs,W11262024,1274,Muraspec Decorative Solutions Limited/Barclays,11-26-24,"-$8,993.46",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL769,40392,freight,110514,176,"MW Logistics, LLC",03-17-25,$250.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL770,40391,cogs,PrePayment  - PO60620/NetSuite,1275,National Wallcovering,04-19-24,"-$3,986.78",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL771,40391,cogs,E/301,1276,Natucer Ceramica,05-08-2024,$0.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL772,40391,cogs,37810B,1276,Natucer Ceramica,11-07-2024,-$0.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL773,40391,cogs,E/201,1276,Natucer Ceramica,03-24-25,"$2,397.60",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL774,40392,freight,USN323264,183,OCEAN NETWORK EXPRESS,12-06-2024,$330.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL776,40391,cogs,W-0606,2558,PADRON FLOORING & DESIGN CENTER,06-06-2025,"-$3,410.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL777,40391,cogs,4,1280,Pantarei,01-23-24,"$2,023.67",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL778,40391,cogs,6,1280,Pantarei,02-07-2024,"$4,339.51",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL779,40391,cogs,"W-0207 $234,289.27",1280,Pantarei,02-07-2024,"-$52,670.48",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL780,40391,cogs,"W-0215 $140,370.71",1280,Pantarei,02-15-24,"-$6,000.00",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL781,40391,cogs,10,1280,Pantarei,02-16-24,$552.85,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL782,40391,cogs,19,1280,Pantarei,04-04-2024,$996.61,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL783,40391,cogs,30,1280,Pantarei,05-28-24,"$1,154.98",3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL784,40391,cogs,26,1280,Pantarei,05-30-24,$859.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
