External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,Serial/lot
NSOPENBALBILL330,#N/A,40391,cogs,W-0617,2517,,HARMONY HOSPITALITY CO LTD,06/17/2025,-28020.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20032,CW-001,17,1743
NSOPENBALBILL333,#N/A,40391,cogs,W-0623,2517,,HARMONY HOSPITALITY CO LTD,06/23/2025,-69985.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20035,CW-002,17,1744
NSOPENBALBILL336,#N/A,40391,cogs,851642-2071,2943,HD Expo,"HD EXPO/Hunter Hotel Investment Conference,",06/20/2025,34757.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20038,CW-003,17,1745
NSOPENBALBILL337,#N/A,40391,cogs,DO24-00152,2039,HEBEIVI,HEBEI VINCENTAA SCULPTURE ENGINEER CO LTD,05/20/2025,22000.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20039,CW-004,17,1746
NSOPENBALBILL338,#N/A,40391,cogs,W-0612,2157,,Hilltop Stones Inc.,06/12/2025,-10557.02,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20040,CW-005,17,1747
NSOPENBALBILL339,#N/A,40391,cogs,11569,2464,,HJ sink,06/16/2025,-9900.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20041,CW-006,17,1748
NSOPENBALBILL351,#N/A,40391,cogs,25069285668,130,,Hotel Engine,06/02/2025,151.77,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20053,CW-007,17,1749
NSOPENBALBILL352,#N/A,40391,cogs,25069285680,130,,Hotel Engine,06/02/2025,225.49,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20054,CW-008,17,1750
NSOPENBALBILL353,#N/A,40391,cogs,W-0521,2468,,Indus Trade & Technology,05/21/2025,-1248.37,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20055,CW-009,17,1751
NSOPENBALBILL418,#N/A,40391,cogs,22JS010701,137,,"Jasfer Industry Co., Limited",05/26/2022,1032.65,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20120,CW-010,17,1752
