External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,serial/lot number,Location 
NSOPENBALBILL014,#N/A,40391,cogs,W-0616,1331,AMY Building Material Investments,"AMY  ACT CO., LTD",06/16/2025,-582308.23,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-001,17,1660,2
NSOPENBALBILL015,#N/A,40391,cogs,W-1113,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,11/13/2024,-37177.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-002,17,1661,2
NSOPENBALBILL016,#N/A,40391,cogs,20241150,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,11/21/2024,1558.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-003,17,1662,2
NSOPENBALBILL017,#N/A,40391,cogs,W-1217,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,12/17/2024,-104330.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-004,17,1663,2
NSOPENBALBILL018,#N/A,40391,cogs,W-1224,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,12/24/2024,-291613.46,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-005,17,1664,2
NSOPENBALBILL019,#N/A,40391,cogs,20250108,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,01/02/2025,3020.68,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-006,17,1665,2
NSOPENBALBILL020,#N/A,40391,cogs,20250137,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,01/14/2025,1583.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-007,17,1666,2
NSOPENBALBILL021,#N/A,40391,cogs,20250229,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,02/13/2025,400.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-008,17,1667,2
NSOPENBALBILL022,#N/A,40391,cogs,PP  - PO43452/SPS,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,02/18/2025,-400.00,3,Graniti Vicentia LLC,PP  - PO43452/SPS (Import SPS data by Invoice in Netsuite),A20001,CW-009,17,1668,2
NSOPENBALBILL023,#N/A,40391,cogs,W-0303,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,03/03/2025,-29.81,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-010,17,1669,2
NSOPENBALBILL024,#N/A,40391,cogs,20250349,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,03/13/2025,951.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-011,17,1670,2
NSOPENBALBILL025,#N/A,40391,cogs,20250416,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,04/03/2025,0.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-012,17,1671,2
NSOPENBALBILL026,#N/A,40391,cogs,202505104,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,05/26/2025,496.46,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-013,17,1672,2
NSOPENBALBILL027,#N/A,40391,cogs,W-0527,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,05/27/2025,-136706.65,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-014,17,1673,2
NSOPENBALBILL028,#N/A,40391,cogs,W-0602,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06/02/2025,-4720.51,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-015,17,1674,2
NSOPENBALBILL029,#N/A,40391,cogs,W-0620,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06/20/2025,-189696.39,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-016,17,1675,2
NSOPENBALBILL030,#N/A,40391,cogs,42961-invoice,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06/30/2025,6773.28,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-017,17,1676,2
NSOPENBALBILL033,#N/A,40391,cogs,PP  - PO1267/NS,1966,ARTLINE,ARTLINE GROUP,04/16/2025,-2154.81,3,Graniti Vicentia LLC,PP  - PO1267/NS (Import SPS data by Invoice in Netsuite),A20001,CW-018,17,1677,2
NSOPENBALBILL034,#N/A,40391,cogs,2840,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,01/01/2024,-1860.64,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-019,17,1678,2
NSOPENBALBILL035,#N/A,40391,cogs,54701/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,01/01/2025,0.96,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-020,17,1679,2
NSOPENBALBILL036,#N/A,40391,cogs,9197/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,02/20/2025,28916.23,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-021,17,1680,2
NSOPENBALBILL037,#N/A,40391,cogs,9662/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,02/21/2025,13591.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-022,17,1681,2
NSOPENBALBILL038,#N/A,40391,cogs,10039/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,02/25/2025,18403.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-023,17,1682,2
NSOPENBALBILL039,#N/A,40391,cogs,12285/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,03/06/2025,29145.60,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-024,17,1683,2
NSOPENBALBILL040,#N/A,40391,cogs,14086/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,03/14/2025,4860.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-025,17,1684,2
NSOPENBALBILL041,#N/A,40391,cogs,16430/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,03/26/2025,21990.33,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-026,17,1685,2
NSOPENBALBILL042,#N/A,40391,cogs,19718/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,04/10/2025,18392.67,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-027,17,1686,2
NSOPENBALBILL043,#N/A,40391,cogs,19814/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,04/10/2025,18392.67,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-028,17,1687,2
NSOPENBALBILL044,#N/A,40391,cogs,19839/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,04/10/2025,18392.67,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-029,17,1688,2
NSOPENBALBILL045,#N/A,40391,cogs,20698/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,04/15/2025,22120.70,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-030,17,1689,2
NSOPENBALBILL046,#N/A,40391,cogs,21629/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,04/18/2025,8409.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-031,17,1690,2
NSOPENBALBILL047,#N/A,40391,cogs,22487/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,04/24/2025,18593.28,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-032,17,1691,2
NSOPENBALBILL048,#N/A,40391,cogs,29975/VE,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,05/29/2025,2536.92,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-033,17,1692,2
NSOPENBALBILL049,#N/A,40391,cogs,8674,1232,Atlas Concorde,ATLAS CONCORDE USA,03/19/2025,63.17,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-034,17,1693,2
NSOPENBALBILL050,#N/A,40391,cogs,9266,1232,Atlas Concorde,ATLAS CONCORDE USA,03/26/2025,17915.98,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-035,17,1694,2
NSOPENBALBILL051,#N/A,40391,cogs,10344,1232,Atlas Concorde,ATLAS CONCORDE USA,04/04/2025,879.33,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-036,17,1695,2
NSOPENBALBILL061,#N/A,40391,cogs,W-0409,1233,,"Beijing Topli Decorative Materials Co., LTD",04/09/2025,-29627.25,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-037,17,1696,2
NSOPENBALBILL083,#N/A,40391,cogs,31/VE,1238,Ceramica Refin SPA,CERAMICA REFIN SPA -ITALY,01/08/2025,596.17,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-038,17,1697,2
NSOPENBALBILL084,#N/A,40391,cogs,4864/VE,1238,Ceramica Refin SPA,CERAMICA REFIN SPA -ITALY,04/15/2025,23922.18,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-039,17,1698,2
NSOPENBALBILL085,#N/A,40391,cogs,39430,1540,CM Hospitality Carpets,CM Hospitality,01/02/2025,175.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-040,17,1699,2
NSOPENBALBILL086,#N/A,40391,cogs,W-0529,2506,Daltile,Dal Tile,05/29/2025,-22712.79,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-041,17,1700,2
NSOPENBALBILL087,#N/A,40391,cogs,32988 - Invoice,1243,Durkan Patterned Carpet,Durkan Carpet,06/30/2025,23564.84,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-042,17,1701,2
