External ID,Item ID,Item,Invoice ID/Reference ,Length,Vendor ID,Vendor Name,Date,New date,Amount,Subsidiary Id,Subsidiary,Memo,Account
NSOPENBALBILL678,40392,freight,SZPECM146501,12,1944,Koby Singletary,02-24-25,2/24/2025,325.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL679,40392,freight,SZPECY797601,12,1944,Koby Singletary,02-24-25,2/24/2025,325.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL680,40392,freight,SZPM04241100,12,1944,Koby Singletary,02-24-25,2/24/2025,49.44,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL681,40392,freight,SZPM58410300,12,1944,Koby Singletary,02-24-25,2/24/2025,92.88,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL682,40392,freight,SZPM73195300,12,1944,Koby Singletary,02-24-25,2/24/2025,325.08,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL683,40392,freight,USW2520549D01,13,1944,Koby Singletary,02-25-25,2/25/2025,282.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL707,40392,freight,20230515015,11,172,Midstream & Terminal,05-15-23,5/15/2023,33750.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL769,40392,freight,110514,6,176,"MW Logistics, LLC",03-17-25,3/17/2025,250.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL774,40392,freight,USN323264,9,183,OCEAN NETWORK EXPRESS,12-06-2024,12/06/2024,330.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL775,40392,freight,12/18/2024,10,1946,Orient Overseas Container line LTD / OOCL (USA) INC.,12-18-24,12/18/2024,-210.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL803,40392,freight,25040097,8,191,Paycargo,06-02-2025,06/02/2025,51.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL873,40392,freight,14298381,8,233,SUNTECK TRANSPORT,01-14-25,1/14/2025,5150.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL874,40392,freight,100000384743M,13,233,SUNTECK TRANSPORT,01-31-25,1/31/2025,68.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL875,40392,freight,14518920,8,233,SUNTECK TRANSPORT,03-19-25,3/19/2025,0.10,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL876,40392,freight,14544120,8,233,SUNTECK TRANSPORT,04-04-2025,04/04/2025,668.50,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL882,40392,freight,0614834-1,9,253,U.S. CUSTOMS AND BORDER PROTECTION,02-03-2025,02/03/2025,217.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL883,40392,freight,0616589-9,9,253,U.S. CUSTOMS AND BORDER PROTECTION,02-10-2025,02/10/2025,2051.66,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
