External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account
NSOPENBALBILL065,#N/A,40392,freight,6216845811,72,"C.H. Robinson Worldwide, Inc",02/04/2025,2985.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL066,#N/A,40392,freight,6220209006,72,"C.H. Robinson Worldwide, Inc",04/03/2025,0.01,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL067,#N/A,40392,freight,6220721434,72,"C.H. Robinson Worldwide, Inc",04/17/2025,2.07,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL354,#N/A,40392,freight,GE/028223/2024,133,INTERGLOBO(FREIGHT),10/23/2024,15125.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL355,#N/A,40392,freight,GE/029931/2024,133,INTERGLOBO(FREIGHT),11/11/2024,4675.85,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL356,#N/A,40392,freight,GE/000126/2025,133,INTERGLOBO(FREIGHT),01/02/2025,13236.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL357,#N/A,40392,freight,GE/000127/2025,133,INTERGLOBO(FREIGHT),01/02/2025,4582.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL358,#N/A,40392,freight,ICB/000170/2025,133,INTERGLOBO(FREIGHT),01/03/2025,950.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL359,#N/A,40392,freight,RLN00012/2025,133,INTERGLOBO(FREIGHT),01/03/2025,9350.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL360,#N/A,40392,freight,ICB/000313/2025,133,INTERGLOBO(FREIGHT),01/06/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL361,#N/A,40392,freight,ICB/000351/2025,133,INTERGLOBO(FREIGHT),01/06/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL362,#N/A,40392,freight,ICB/000352/2025,133,INTERGLOBO(FREIGHT),01/06/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL363,#N/A,40392,freight,GE/000665/2025,133,INTERGLOBO(FREIGHT),01/08/2025,21385.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL364,#N/A,40392,freight,GE/000694/2025,133,INTERGLOBO(FREIGHT),01/08/2025,8019.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL365,#N/A,40392,freight,ICB/000515/2025,133,INTERGLOBO(FREIGHT),01/10/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL366,#N/A,40392,freight,GE/001153/2025,133,INTERGLOBO(FREIGHT),01/13/2025,3587.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL367,#N/A,40392,freight,GE/001157/2025,133,INTERGLOBO(FREIGHT),01/13/2025,4547.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL368,#N/A,40392,freight,GE/001164/2025,133,INTERGLOBO(FREIGHT),01/13/2025,12561.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL369,#N/A,40392,freight,GE/001166/2025,133,INTERGLOBO(FREIGHT),01/13/2025,12561.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL370,#N/A,40392,freight,GE/002002/2025,133,INTERGLOBO(FREIGHT),01/17/2025,5112.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL371,#N/A,40392,freight,ICB/001106/2025,133,INTERGLOBO(FREIGHT),01/17/2025,100.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
NSOPENBALBILL372,#N/A,40392,freight,GE/002502/2025,133,INTERGLOBO(FREIGHT),01/22/2025,3937.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001
