External ID,Item ID,Item,Invoice ID/Reference,Length,Vendor ID,Vendor Name,Date,New Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Location,Bin,Bin ID,SERIAL/LOT NUMBER
NSOPENVENCREDIT001,40391,cogs,W-0409,6,1233,"Beijing Topli Decorative Materials Co., LTD",04-09-2025,04/09/2025,29627.25,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1018
NSOPENVENCREDIT002,40391,cogs,W-0530,6,2660,F.B. STONES S.R.L.,05/30/2025,5/30/2025,19276.89,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1038
NSOPENVENCREDIT003,40391,cogs,W-0509,6,1253,GIBAM SHOPS SPA,05-09-2025,05/09/2025,139822.21,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1213
NSOPENVENCREDIT004,40391,cogs,GV TRANSFER,11,122,GV Facades LLC,01-09-2025,01/09/2025,245.41,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1214
NSOPENVENCREDIT005,40391,cogs,W-0617,6,2517,HARMONY HOSPITALITY CO LTD,06/17/2025,6/17/2025,28020.20,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1223
NSOPENVENCREDIT006,40391,cogs,W-0623,6,2517,HARMONY HOSPITALITY CO LTD,06/23/2025,6/23/2025,69985.30,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1226
NSOPENVENCREDIT007,40391,cogs,W-0612,6,2157,Hilltop Stones Inc.,06-12-2025,06/12/2025,10557.02,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1229
NSOPENVENCREDIT008,40391,cogs,11569,5,2464,HJ sink,06/16/2025,6/16/2025,9900.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1230
NSOPENVENCREDIT009,40391,cogs,W-0521,6,2468,Indus Trade & Technology,05/21/2025,5/21/2025,1248.37,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1244
NSOPENVENCREDIT010,40391,cogs,PrePayment  -,13,137,"Jasfer Industry Co., Limited",03-07-2024,03/07/2024,8873.01,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1261
NSOPENVENCREDIT011,40391,cogs,W-0429,6,137,"Jasfer Industry Co., Limited",04/29/2024,4/29/2024,1089.48,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1269
NSOPENVENCREDIT012,40391,cogs,W-0618 105602.53,16,137,"Jasfer Industry Co., Limited",06/18/2024,6/18/2024,13149.33,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1277
NSOPENVENCREDIT013,40391,cogs,24JS010303 23GBCI392,20,137,"Jasfer Industry Co., Limited",06/26/2024,6/26/2024,3160.00,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1279
NSOPENVENCREDIT014,40391,cogs,W-1008,6,137,"Jasfer Industry Co., Limited",10-08-2024,10/08/2024,1069.62,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1313
NSOPENVENCREDIT015,40391,cogs,W-1104,6,137,"Jasfer Industry Co., Limited",11-04-2024,11/04/2024,4361.42,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1326
NSOPENVENCREDIT016,40391,cogs,5642,4,137,"Jasfer Industry Co., Limited",11/21/2024,11/21/2024,427.39,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,2,CW-001,17,1332
