,,,,,,,July revenue,
,Debit,Credit ,Date,Invoice,Customer,Description,Debit,Credit
S.no,Account#,Account #,,,,,,
1,A11001 - Accounts Receivable (New),,01-07-2025,33495/7,Magnolia LXR Dallas TX -,July 25 Product revenue in SPS,"$1,382.35",
1.5,,A40001 - Sales Income (New),01-07-2025,33495/7,Magnolia LXR Dallas TX -,July 25 Product revenue in SPS,,"$1,382.35"
2,A11001 - Accounts Receivable (New),,01-07-2025,33555,La Quinta Inn & Suites- Seatac Airport- Seattle WA,July 25 Product revenue in SPS,"$15,931.58",
2.5,,A40001 - Sales Income (New),01-07-2025,33555,La Quinta Inn & Suites- Seatac Airport- Seattle WA,July 25 Product revenue in SPS,,"$15,931.58"
3,A11001 - Accounts Receivable (New),,01-07-2025,33565/10,LA QUINTA ORLANDO,July 25 Product revenue in SPS,"$1,222.00",
3.5,,A40001 - Sales Income (New),01-07-2025,33565/10,LA QUINTA ORLANDO,July 25 Product revenue in SPS,,"$1,222.00"
4,A11001 - Accounts Receivable (New),,01-07-2025,33722/5,LaQuinta/Hawthone - Knoxville TN - AMit,July 25 Product revenue in SPS,$0.00,
4.5,,A40001 - Sales Income (New),01-07-2025,33722/5,LaQuinta/Hawthone - Knoxville TN - AMit,July 25 Product revenue in SPS,,$0.00
5,A11001 - Accounts Receivable (New),,01-07-2025,33984,CANDLEWOOD LAFAYETTE,July 25 Product revenue in SPS,$0.00,
5.5,,A40001 - Sales Income (New),01-07-2025,33984,CANDLEWOOD LAFAYETTE,July 25 Product revenue in SPS,,$0.00
6,A11001 - Accounts Receivable (New),,01-07-2025,34076,LaQuinta - Naples - FL - Raj Mukkirla,July 25 Product revenue in SPS,$0.00,
6.5,,A40001 - Sales Income (New),01-07-2025,34076,LaQuinta - Naples - FL - Raj Mukkirla,July 25 Product revenue in SPS,,$0.00
7,A11001 - Accounts Receivable (New),,01-07-2025,34086/8,Magnolia LXR Dallas TX -,July 25 Product revenue in SPS,$0.00,
7.5,,A40001 - Sales Income (New),01-07-2025,34086/8,Magnolia LXR Dallas TX -,July 25 Product revenue in SPS,,$0.00
8,A11001 - Accounts Receivable (New),,01-07-2025,34113/2,"La Quinta, Anaheim CA",July 25 Product revenue in SPS,$545.00,
8.5,,A40001 - Sales Income (New),01-07-2025,34113/2,"La Quinta, Anaheim CA",July 25 Product revenue in SPS,,$545.00
9,A11001 - Accounts Receivable (New),,01-07-2025,34289/3,LaQuinta Yakima WA,July 25 Product revenue in SPS,$453.12,
9.5,,A40001 - Sales Income (New),01-07-2025,34289/3,LaQuinta Yakima WA,July 25 Product revenue in SPS,,$453.12
10,A11001 - Accounts Receivable (New),,01-07-2025,34967,LaQuinta Inn & Suites Oxford AL,July 25 Product revenue in SPS,"$3,736.32",
10.5,,A40001 - Sales Income (New),01-07-2025,34967,LaQuinta Inn & Suites Oxford AL,July 25 Product revenue in SPS,,"$3,736.32"
11,A11001 - Accounts Receivable (New),,01-07-2025,35518,Hampton Downtown Montgomery,July 25 Product revenue in SPS,"$35,954.48",
11.5,,A40001 - Sales Income (New),01-07-2025,35518,Hampton Downtown Montgomery,July 25 Product revenue in SPS,,"$35,954.48"
12,A11001 - Accounts Receivable (New),,01-07-2025,36158,Graniti Vicentia,July 25 Product revenue in SPS,$0.00,
12.5,,A40001 - Sales Income (New),01-07-2025,36158,Graniti Vicentia,July 25 Product revenue in SPS,,$0.00
13,A11001 - Accounts Receivable (New),,01-07-2025,36159/4,Graniti Vicentia,July 25 Product revenue in SPS,$0.00,
13.5,,A40001 - Sales Income (New),01-07-2025,36159/4,Graniti Vicentia,July 25 Product revenue in SPS,,$0.00
14,A11001 - Accounts Receivable (New),,01-07-2025,36221,CANDLEWOOD EASTRIDGE TN,July 25 Product revenue in SPS,$0.00,
14.5,,A40001 - Sales Income (New),01-07-2025,36221,CANDLEWOOD EASTRIDGE TN,July 25 Product revenue in SPS,,$0.00
15,A11001 - Accounts Receivable (New),,01-07-2025,37217,Continental Inns of America La Quinta Inn,July 25 Product revenue in SPS,$100.00,
15.5,,A40001 - Sales Income (New),01-07-2025,37217,Continental Inns of America La Quinta Inn,July 25 Product revenue in SPS,,$100.00
16,A11001 - Accounts Receivable (New),,01-07-2025,37579/3,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$30,424.63",
16.5,,A40001 - Sales Income (New),01-07-2025,37579/3,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$30,424.63"
17,A11001 - Accounts Receivable (New),,01-07-2025,37759/3,"ELEMENT FORTSMITH, ARKANSAS",July 25 Product revenue in SPS,"$2,591.05",
17.5,,A40001 - Sales Income (New),01-07-2025,37759/3,"ELEMENT FORTSMITH, ARKANSAS",July 25 Product revenue in SPS,,"$2,591.05"
18,A11001 - Accounts Receivable (New),,01-07-2025,37959/2,Monsoon Flower LLC,July 25 Product revenue in SPS,"$7,846.31",
18.5,,A40001 - Sales Income (New),01-07-2025,37959/2,Monsoon Flower LLC,July 25 Product revenue in SPS,,"$7,846.31"
19,A11001 - Accounts Receivable (New),,01-07-2025,38130,"Pitt-Cran Hospitality, LLC/ Wingate Cranberry",July 25 Product revenue in SPS,"$1,166.85",
19.5,,A40001 - Sales Income (New),01-07-2025,38130,"Pitt-Cran Hospitality, LLC/ Wingate Cranberry",July 25 Product revenue in SPS,,"$1,166.85"
20,A11001 - Accounts Receivable (New),,07-07-2025,35796/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$6,661.53",
20.5,,A40001 - Sales Income (New),07-07-2025,35796/2,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$6,661.53"
21,A11001 - Accounts Receivable (New),,07-07-2025,35807,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$3,871.21",
21.5,,A40001 - Sales Income (New),07-07-2025,35807,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$3,871.21"
22,A11001 - Accounts Receivable (New),,07-07-2025,35808,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$10,157.98",
22.5,,A40001 - Sales Income (New),07-07-2025,35808,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,,"$10,157.98"
23,A11001 - Accounts Receivable (New),,07-07-2025,35812,Fairfield Townplace East Hartford,July 25 Product revenue in SPS,"$34,749.29",
