Error,External ID,Not uploaded,Item ID,Item,Invoice ID/Reference,Vendor ID,Netsuite Name,Vendor Name,Date,Amount,Subsidiary Id,Subsidiary,Memo,Account,Bin,Bin ID,serial/lot number,Location 
Inventory items must have a positive amount.,NSOPENBALBILL014,#N/A,40391,cogs,W-0616,1331,AMY Building Material Investments,"AMY  ACT CO., LTD",06/16/2025,-582308.23,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-001,17,1660,2
Inventory items must have a positive amount.,NSOPENBALBILL015,#N/A,40391,cogs,W-1113,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,11/13/2024,-37177.86,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-002,17,1661,2
Inventory items must have a positive amount.,NSOPENBALBILL017,#N/A,40391,cogs,W-1217,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,12/17/2024,-104330.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-004,17,1663,2
Inventory items must have a positive amount.,NSOPENBALBILL018,#N/A,40391,cogs,W-1224,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,12/24/2024,-291613.46,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-005,17,1664,2
Inventory items must have a positive amount.,NSOPENBALBILL022,#N/A,40391,cogs,PP  - PO43452/SPS,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,02/18/2025,-400.00,3,Graniti Vicentia LLC,PP  - PO43452/SPS (Import SPS data by Invoice in Netsuite),A20001,CW-009,17,1668,2
Inventory items must have a positive amount.,NSOPENBALBILL023,#N/A,40391,cogs,W-0303,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,03/03/2025,-29.81,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-010,17,1669,2
Inventory items must have a positive amount.,NSOPENBALBILL027,#N/A,40391,cogs,W-0527,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,05/27/2025,-136706.65,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-014,17,1673,2
Inventory items must have a positive amount.,NSOPENBALBILL028,#N/A,40391,cogs,W-0602,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06/02/2025,-4720.51,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-015,17,1674,2
Inventory items must have a positive amount.,NSOPENBALBILL029,#N/A,40391,cogs,W-0620,1542,An Cuong Wood-Working,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06/20/2025,-189696.39,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-016,17,1675,2
Inventory items must have a positive amount.,NSOPENBALBILL033,#N/A,40391,cogs,PP  - PO1267/NS,1966,ARTLINE,ARTLINE GROUP,04/16/2025,-2154.81,3,Graniti Vicentia LLC,PP  - PO1267/NS (Import SPS data by Invoice in Netsuite),A20001,CW-018,17,1677,2
Inventory items must have a positive amount.,NSOPENBALBILL034,#N/A,40391,cogs,2840,1232,Atlas Concorde,ATLAS CONCORDE S.p.A,01/01/2024,-1860.64,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-019,17,1678,2
Inventory items must have a positive amount.,NSOPENBALBILL061,#N/A,40391,cogs,W-0409,1233,,"Beijing Topli Decorative Materials Co., LTD",04/09/2025,-29627.25,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-037,17,1696,2
Inventory items must have a positive amount.,NSOPENBALBILL086,#N/A,40391,cogs,W-0529,2506,Daltile,Dal Tile,05/29/2025,-22712.79,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-041,17,1700,2
Inventory items must have a positive amount.,NSOPENBALBILL091,#N/A,40391,cogs,W-0530,2660,,F.B. STONES S.R.L.,05/30/2025,-19276.89,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-043,17,1702,2
Inventory items must have a positive amount.,NSOPENBALBILL092,#N/A,40391,cogs,1416,1247,"Fabricut, Inc.",Fabricut Contract /S.Harris,06/05/2025,-640.36,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-044,17,1703,2
Inventory items must have a positive amount.,NSOPENBALBILL293,#N/A,40391,cogs,W-0509,1253,,GIBAM SHOPS SPA,05/09/2025,-139822.21,3,Graniti Vicentia LLC,Import SPS data by Invoice in NetSuite,A20001,CW-073,17,1732,2
