External ID,Sl no,Debit Acc,DEBIT ACC ID/BANK ACC ID,Credit Account,CREDIT ACC ID,Days,Customer,Entity Internal ID,Date,Advance Ref#,Debit Amt,Credit Amt,Memo,Description
CUST_DEPOSIT-1001,1,A21001,968,20020,,314,A-1 Clackamas LLC,1721,05/14/2025,SO# 38902,,222392.98,Customer Deposits,
CUST_DEPOSIT-1001,1.5,A10003,616,20020,616,314,A-1 Clackamas LLC,1721,05/14/2025,SO# 38902,222392.98,,Customer Deposits,
CUST_DEPOSIT-1002,2,A21001,968,20020,,435,A-1 Clackamas LLC,1721,01/13/2025,SO# 37670,,230660.8,Customer Deposits,
CUST_DEPOSIT-1002,2.5,A10003,616,20020,616,435,A-1 Clackamas LLC,1721,01/13/2025,SO# 37670,230660.8,,Customer Deposits,
CUST_DEPOSIT-1003,3,A21001,968,20020,,398,AAA Hospitality - Embassy Suites Las Colinas TX,3309,02/19/2025,SO#36933,,3661.7,Customer Deposits,
CUST_DEPOSIT-1003,3.5,A10003,616,20020,616,398,AAA Hospitality - Embassy Suites Las Colinas TX,3309,02/19/2025,SO#36933,3661.7,,Customer Deposits,
CUST_DEPOSIT-1004,4,A21001,968,20020,,372,AAA Hotel Company,433,03/17/2025,SO# 39062,,177.83,Customer Deposits,
CUST_DEPOSIT-1004,4.5,A10003,616,20020,616,372,AAA Hotel Company,433,03/17/2025,SO# 39062,177.83,,Customer Deposits,
CUST_DEPOSIT-1005,5,A21001,968,20020,,379,AAA Hotel Company/ Home2Suties Springdale OH,2164,03/10/2025,SO# 38965,,3243.16,Customer Deposits,
CUST_DEPOSIT-1005,5.5,A10003,616,20020,616,379,AAA Hotel Company/ Home2Suties Springdale OH,2164,03/10/2025,SO# 38965,3243.16,,Customer Deposits,
CUST_DEPOSIT-1006,6,A21001,968,20020,,278,"AAA Hotel Management, LLC",2380,06/19/2025,SO#38787,,21599.99,Customer Deposits,
CUST_DEPOSIT-1006,6.5,A10003,616,20020,616,278,"AAA Hotel Management, LLC",2380,06/19/2025,SO#38787,21599.99,,Customer Deposits,
CUST_DEPOSIT-1007,7,A21001,968,20020,,592,AFP 108 Corp.,3510,08/09/2024,SO# 37369,,527.92,Customer Deposits,
CUST_DEPOSIT-1007,7.5,A10003,616,20020,616,592,AFP 108 Corp.,3510,08/09/2024,SO# 37369,527.92,,Customer Deposits,
CUST_DEPOSIT-1008,8,A21001,968,20020,,606,AFP 108 Corp.,3510,07/26/2024,SO# 37255,,1085.97,Customer Deposits,
CUST_DEPOSIT-1008,8.5,A10003,616,20020,616,606,AFP 108 Corp.,3510,07/26/2024,SO# 37255,1085.97,,Customer Deposits,
CUST_DEPOSIT-1009,9,A21001,968,20020,,602,AFP 108 Corp.,3510,07/30/2024,SO# 37255,,44.55,Customer Deposits,
CUST_DEPOSIT-1009,9.5,A10003,616,20020,616,602,AFP 108 Corp.,3510,07/30/2024,SO# 37255,44.55,,Customer Deposits,
CUST_DEPOSIT-10010,10,A21001,968,20020,,286,"Airsan Investments, LLC",2566,06/11/2025,SO# 39005,,4874.4,Customer Deposits,
CUST_DEPOSIT-10010,10.5,A10003,616,20020,616,286,"Airsan Investments, LLC",2566,06/11/2025,SO# 39005,4874.4,,Customer Deposits,
CUST_DEPOSIT-10011,11,A21001,968,20020,,425,AJA Investments LLC/ Wyndham Lake Charles,3553,01/23/2025,SO# 37989,,29496.35,Customer Deposits,
CUST_DEPOSIT-10011,11.5,A10003,616,20020,616,425,AJA Investments LLC/ Wyndham Lake Charles,3553,01/23/2025,SO# 37989,29496.35,,Customer Deposits,
CUST_DEPOSIT-10012,12,A21001,968,20020,,315,ALPHA REMODELING,2386,05/13/2025,SO# 38873,,821.88,Customer Deposits,
CUST_DEPOSIT-10012,12.5,A10003,616,20020,616,315,ALPHA REMODELING,2386,05/13/2025,SO# 38873,821.88,,Customer Deposits,
CUST_DEPOSIT-10013,13,A21001,968,20020,,344,ALPHA REMODELING,2386,04/14/2025,SO# 38818,,862.01,Customer Deposits,
CUST_DEPOSIT-10013,13.5,A10003,616,20020,616,344,ALPHA REMODELING,2386,04/14/2025,SO# 38818,862.01,,Customer Deposits,
CUST_DEPOSIT-10014,14,A21001,968,20020,,463,AMANDA WHATLEY DESIGNS,2692,12/16/2024,SO# 38276,,10659.06,Customer Deposits,
CUST_DEPOSIT-10014,14.5,A10003,616,20020,616,463,AMANDA WHATLEY DESIGNS,2692,12/16/2024,SO# 38276,10659.06,,Customer Deposits,
CUST_DEPOSIT-10015,15,A21001,968,20020,,558,American Pride Hotel LLC,444,09/12/2024,SO# 37671,,226000.53,Customer Deposits,
CUST_DEPOSIT-10015,15.5,A10003,616,20020,616,558,American Pride Hotel LLC,444,09/12/2024,SO# 37671,226000.53,,Customer Deposits,
CUST_DEPOSIT-10016,16,A21001,968,20020,,343,American Stone Co of Texas LP,2387,04/15/2025,SO# 38824,,687.5,Customer Deposits,
CUST_DEPOSIT-10016,16.5,A10003,616,20020,616,343,American Stone Co of Texas LP,2387,04/15/2025,SO# 38824,687.5,,Customer Deposits,
CUST_DEPOSIT-10017,17,A21001,968,20020,,399,Andrea Wexler,2598,02/18/2025,SO# 38697,,84.61,Customer Deposits,4248
CUST_DEPOSIT-10017,17.5,A10003,616,20020,616,399,Andrea Wexler,2598,02/18/2025,SO# 38697,84.61,,Customer Deposits,4248
CUST_DEPOSIT-10018,18,A21001,968,20020,,314,Anish Patel,2413,05/14/2025,SO# 38942,,557.32,Customer Deposits,
CUST_DEPOSIT-10018,18.5,A10003,616,20020,616,314,Anish Patel,2413,05/14/2025,SO# 38942,557.32,,Customer Deposits,
CUST_DEPOSIT-10019,19,A21001,968,20020,,365,Apex Imaging Services,452,03/24/2025,SO# 38916,,740.29,Customer Deposits,
CUST_DEPOSIT-10019,19.5,A10003,616,20020,616,365,Apex Imaging Services,452,03/24/2025,SO# 38916,740.29,,Customer Deposits,
CUST_DEPOSIT-10020,20,A21001,968,20020,,337,Apple Investments LLC,453,04/21/2025,SO# 38985,,2780.99,Customer Deposits,
CUST_DEPOSIT-10020,20.5,A10003,616,20020,616,337,Apple Investments LLC,453,04/21/2025,SO# 38985,2780.99,,Customer Deposits,
CUST_DEPOSIT-10021,21,A21001,968,20020,,316,AQUATERRA OUTDOORS,454,05/12/2025,SO# 38874,,2963.43,Customer Deposits,
CUST_DEPOSIT-10021,21.5,A10003,616,20020,616,316,AQUATERRA OUTDOORS,454,05/12/2025,SO# 38874,2963.43,,Customer Deposits,
CUST_DEPOSIT-10022,22,A21001,968,20020,,400,AQUATERRA OUTDOORS,454,02/17/2025,SO# 38701,,2824.75,Customer Deposits,
