External ID,Account,Number,Account Internal ID,Description,Debit Amount,Credit Amount,Date
India_TB_1001,A30001- GRANITI VICENTIA LLC SHARE HOLDER,A30001,1189,Trial Balance GV India 2025,,4985000,12/31/2025
India_TB_1001,A30002 - KATRAGADDA RAVI KUMAR SHARE HOLDER (new),A30002,1239,Trial Balance GV India 2025,,7500,12/31/2025
India_TB_1001,A30003 - MUPPA NAGESWARA RAO SHARE HOLDER (new),A30003,1240,Trial Balance GV India 2025,,7500,12/31/2025
India_TB_1001,A30021,A30021,971,Trial Balance GV India 2025,,17488935.61,12/31/2025
India_TB_1001,A23921 -CREDIT CARD HDFC VISA 9961 (new),A23921,1242,Trial Balance GV India 2025,,8297.48,12/31/2025
India_TB_1001,A20001,A20001,966,Trial Balance GV India 2025,,812266.7,12/31/2025
India_TB_1001,A22100 Other current liabilities (Other current liabilities),A22100,1302,Trial Balance GV India 2025,,739501.3,12/31/2025
India_TB_1001,A22021 -AUDIT FEE PAYABLE (new),A22021,1244,Trial Balance GV India 2025,,216000,12/31/2025
India_TB_1001,A22022 -INCOME TAX PYABLE new),A22022,1245,Trial Balance GV India 2025,,2587801.93,12/31/2025
India_TB_1001,A22001,A22001,1315,Trial Balance GV India 2025,,802225,12/31/2025
India_TB_1001,A16002 - Computer & elec (all items to the right),A16002,961,Trial Balance GV India 2025,7465922.3,,12/31/2025
India_TB_1001,A16021 - Accumulated Depreciation,A16021,922,Trial Balance GV India 2025,,4819338.08,12/31/2025
India_TB_1001,A11001 (why is the balance a credit )?,A11001,950,Trial Balance GV India 2025,,14851560.41,12/31/2025
India_TB_1001,A10001,A10023,1317,Trial Balance GV India 2025,286039.1,,12/31/2025
India_TB_1001,A10021 -HDFC CURRENT ACCOUNT (new),A10021,1246,Trial Balance GV India 2025,7387350.82,,12/31/2025
India_TB_1001,A13101 -Deferreed Tax Asset (Net ) (new),A13101,1255,Trial Balance GV India 2025,152223,,12/31/2025
India_TB_1001,A15101 -Eswari exports rent deposit (new),A15101,1248,Trial Balance GV India 2025,9900000,,12/31/2025
India_TB_1001,A15102 -Padma Katrgadda rent deposit (new),A15102,1249,Trial Balance GV India 2025,5500000,,12/31/2025
India_TB_1001,A15103 -Ravi Katragadda rent deposit (new),A15103,1250,Trial Balance GV India 2025,5500000,,12/31/2025
India_TB_1001,A13151 - Gst Refund 23-24 (new),A13151,1252,Trial Balance GV India 2025,9657822.48,,12/31/2025
