Invoice #,Customer,Invoice date,Amount
6814,911 Trucking LLC,06-09-2025,3370
6836,911 Trucking LLC,06-16-2025,650
6862,911 Trucking LLC,06-22-2025,1300
6863,911 Trucking LLC,06-22-2025,4950
6873,911 Trucking LLC,06-30-2025,650
20250630,"AGM Tools, Inc.",06-30-2025,67216.35
IN-21463,All America Forwarding Inc,06-03-2025,974.5
KV20230519P01,Aluguard,01-30-2024,1126.66
KV20230920P01,Aluguard,02-14-2024,25293.62
KV20230922P1,Aluguard,02-14-2024,6737.68
KV20231207P02,Aluguard,02-14-2024,723.7
KV20240508P01,Aluguard,06-01-2024,1043
KV20231220P01,Aluguard,02-12-2025,1.19
W-0616,"AMY  ACT CO., LTD",06-16-2025,-582308.23
W-1113,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,11-13-2024,-37177.86
20241150,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,11-21-2024,1558
W-1217,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,12-17-2024,-104330.36
W-1224,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,12-24-2024,-291613.46
20250108,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,01-02-2025,3020.68
20250137,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,01-14-2025,1583
20250229,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,02-13-2025,400
PrePayment  - PO43452/SPS,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,02-18-2025,-400
W-0303,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,03-03-2025,-29.81
20250349,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,03-13-2025,951
20250416,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,04-03-2025,0.2
202505104,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,05-26-2025,496.46
W-0527,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,05-27-2025,-136706.65
W-0602,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06-02-2025,-4720.51
W-0620,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06-20-2025,-189696.39
42961-invoice,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,06-30-2025,6773.28
1/2025,ANIDRIDEDESIGN,03-09-2025,45000
43422-Invoice,"Art is Love, LLC / Interia Hospitality",06-30-2025,8.4
PrePayment  - PO1267/NetSuite,ARTLINE GROUP,04-16-2025,-2154.81
2840,ATLAS CONCORDE S.p.A,01-01-2024,-1860.64
