External ID,Item,Item ID,Party Name,Vendor ID,Invoice #,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Subsidiary,Account,BIN ,BIN ID,LOCATION,serial/lot number
OPENVENBILL45807,cogs,40391,"Jasfer Industry Co., Limited",137,45807,5,05/25/2025,05/25/2025,-25858.15,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10401
OPENVENBILL22JS010701,cogs,40391,"Jasfer Industry Co., Limited",137,22JS010701,10,05-26-2022,05/26/2022,1032.65,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10402
OPENVENBILL23JSF10001,cogs,40391,"Jasfer Industry Co., Limited",137,23JSF10001,10,11-01-2023,11/01/2023,3464.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10403
OPENVENBILL23JSF08019,cogs,40391,"Jasfer Industry Co., Limited",137,23JSF08019,10,12-11-2023,12/11/2023,400.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10404
OPENVENBILL34188 - PI,cogs,40391,"Jasfer Industry Co., Limited",137,34188 - PI,10,01-01-2024,01/01/2024,224.28,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10407
OPENVENBILL35261 - PI,cogs,40391,"Jasfer Industry Co., Limited",137,35261 - PI,10,01-01-2024,01/01/2024,3709.62,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10408
OPENVENBILL35455 - PI,cogs,40391,"Jasfer Industry Co., Limited",137,35455 - PI,10,01-01-2024,01/01/2024,1350.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10409
OPENVENBILL35950 - PI,cogs,40391,"Jasfer Industry Co., Limited",137,35950 - PI,10,01-01-2024,01/01/2024,300.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10410
OPENVENBILL23JSF08031,cogs,40391,"Jasfer Industry Co., Limited",137,23JSF08031,10,01-05-2024,01/05/2024,2000.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10411
OPENVENBILL23JSF11029,cogs,40391,"Jasfer Industry Co., Limited",137,23JSF11029,10,01-08-2024,01/08/2024,2359.04,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10413
OPENVENBILL36045,cogs,40391,"Jasfer Industry Co., Limited",137,36045,5,01-11-2024,01/11/2024,8044.97,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10414
OPENVENBILL23BDL05029,cogs,40391,"Jasfer Industry Co., Limited",137,23BDL05029,10,01-11-2024,01/11/2024,809.99,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10415
OPENVENBILL24JS011901 - PI,cogs,40391,"Jasfer Industry Co., Limited",137,24JS011901 - PI,15,02-01-2024,02/01/2024,416.12,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10416
OPENVENBILL23JSF04044,cogs,40391,"Jasfer Industry Co., Limited",137,23JSF04044,10,02-01-2024,02/01/2024,340.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10417
OPENVENBILL20240307 -PI,cogs,40391,"Jasfer Industry Co., Limited",137,20240307 -PI,12,03-07-2024,03/07/2024,7367.40,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10420
OPENVENBILL24JSF03035 - PI,cogs,40391,"Jasfer Industry Co., Limited",137,24JSF03035 - PI,15,03-22-2024,03/22/2024,1516.94,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10421
OPENVENBILL23JS120407,cogs,40391,"Jasfer Industry Co., Limited",137,23JS120407,10,04-08-2024,04/08/2024,200.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10422
