External ID,Item,Item ID,Party Name,Vendor ID,Invoice #,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Subsidiary,Account,BIN ,BIN ID,LOCATION,serial/lot number
OPENVENBILLW-1113,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-1113,6,11-13-2024,11/13/2024,3069.8,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10174
OPENVENBILLW-1217,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-1217,6,12-17-2024,12/17/2024,2993.47,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10176
OPENVENBILLW-1224,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-1224,6,12-24-2024,12/24/2024,5098.98,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10178
OPENVENBILLPrePayment - PO43452/SPS,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,PrePayment - PO43452/SPS,24,02-18-2025,02/18/2025,400,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10180
OPENVENBILLW-0303,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-0303,6,03-03-2025,03/03/2025,29.81,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10182
OPENVENBILLW-0602,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-0602,6,06-02-2025,06/02/2025,3982.65,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10185
OPENVENBILLPrePayment - PO1267/NetSuite,cogs,40391,ARTLINE GROUP,1966,PrePayment - PO1267/NetSuite,28,04-16-2025,04/16/2025,2154.81,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10187
OPENVENBILL2840,cogs,40391,ATLAS CONCORDE S.p.A,1232,2840,4,01-01-2024,01/01/2024,1860.64,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10189
OPENVENBILLW-0409,cogs,40391,"Beijing Topli Decorative Materials Co., LTD",1233,W-0409,6,04-09-2025,04/09/2025,1564.74,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10191
OPENVENBILL1416,cogs,40391,Fabricut Contract /S.Harris,1247,1416,4,06-05-2025,06/05/2025,640.36,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10193
OPENVENBILL23541211,cogs,40391,GranitiFiandre S.p. A.,1254,23541211,8,19-12-2023,12/19/2023,45314.69,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10195
OPENVENBILLW-0509,cogs,40391,GIBAM SHOPS SPA,1253,W-0509,6,05-09-2025,05/09/2025,236.67,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10197
OPENVENBILLGV TRANSFER,cogs,40391,GV Facades LLC,122,GV TRANSFER,11,01-09-2025,01/09/2025,245.41,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10199
OPENVENBILLW-0612,cogs,40391,Hilltop Stones Inc.,2157,W-0612,6,06-12-2025,06/12/2025,10557.02,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10201
OPENVENBILL11569,cogs,40391,HJ sink,2464,11569,5,06-16-2025,06/16/2025,9900,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10207
OPENVENBILLW-0521,cogs,40391,Indus Trade & Technology,2468,W-0521,6,05-21-2025,05/21/2025,1248.37,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10209
