External ID,Item,Item ID,Party Name,Vendor ID,Invoice #,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Subsidiary,Account,BIN ,BIN ID,LOCATION,serial/lot number
OPENVENBILLKV20230519P01,cogs,40391,Aluguard,48,KV20230519P01,13,01-30-2024,01/30/2024,1126.66,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10002
OPENVENBILLKV20230922P1,cogs,40391,Aluguard,48,KV20230922P1,12,02-14-2024,02/14/2024,6737.68,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10004
OPENVENBILLKV20231207P02,cogs,40391,Aluguard,48,KV20231207P02,13,02-14-2024,02/14/2024,723.70,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10005
OPENVENBILLKV20240508P01,cogs,40391,Aluguard,48,KV20240508P01,13,06-01-2024,06/01/2024,1043.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10006
OPENVENBILLW-1113,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-1113,6,11-13-2024,11/13/2024,-3069.80,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10009
OPENVENBILL20241150,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,20241150,8,11-21-2024,11/21/2024,1558.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10010
OPENVENBILLW-1217,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-1217,6,12-17-2024,12/17/2024,-2993.47,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10011
OPENVENBILLW-1224,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-1224,6,12-24-2024,12/24/2024,-5098.98,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10012
OPENVENBILL20250108,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,20250108,8,01-02-2025,01/02/2025,3020.68,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10013
OPENVENBILL20250137,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,20250137,8,01-14-2025,01/14/2025,1583.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10014
OPENVENBILL20250229,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,20250229,8,02-13-2025,02/13/2025,400.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10015
OPENVENBILLPrePayment - PO43452/SPS,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,PrePayment - PO43452/SPS,24,02-18-2025,02/18/2025,-400.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10016
OPENVENBILLW-0303,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-0303,6,03-03-2025,03/03/2025,-29.81,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10017
OPENVENBILL20250349,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,20250349,8,03-13-2025,03/13/2025,951.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10018
OPENVENBILL202505104,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,202505104,9,05-26-2025,05/26/2025,496.46,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10019
OPENVENBILLW-0602,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,W-0602,6,06-02-2025,06/02/2025,-3982.65,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10021
OPENVENBILL42961-invoice,cogs,40391,AN CUONG WOOD -WORKING JOINT STOCK COMPANY,1542,42961-invoice,13,06-30-2025,06/30/2025,6773.28,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10025
OPENVENBILL45658,cogs,40391,ANIDRIDEDESIGN,52,1-2025,5,03-09-2025,03/09/2025,45000.00,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10026
OPENVENBILL43422-Invoice,cogs,40391,"Art is Love, LLC / Interia Hospitality",2359,43422-Invoice,13,06-30-2025,06/30/2025,8.40,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10027
OPENVENBILLPrePayment - PO1267/NetSuite,cogs,40391,ARTLINE GROUP,1966,PrePayment - PO1267/NetSuite,28,04-16-2025,04/16/2025,-2154.81,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10028
OPENVENBILL2840,cogs,40391,ATLAS CONCORDE S.p.A,1232,2840,4,01-01-2024,01/01/2024,-1860.64,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10029
OPENVENBILL9662/VE,cogs,40391,ATLAS CONCORDE S.p.A,1232,9662/VE,7,02-21-2025,02/21/2025,13591.44,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10033
