External ID,Item,Item ID,Party Name,Vendor ID,Invoice #,Length,Invoice Date,Amount,Memo,Subsidiary Id,Subsidiary,Account
OPENVENCR_20001,Freight,40392,MAERSK LINE,161,VENCR_20001,24,03/14/2025,1050,duplicate payment/credit--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20002,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20002,9,03/24/2025,40.64,3/24/2025--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20003,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20003,9,03/24/2025,2.62,3/24/2025--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20004,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20004,9,03/24/2025,55.33,3/24/2025--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20005,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20005,9,03/24/2025,5312.29,3/24/2025--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20006,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20006,21,03/24/2025,415.04,0587015-5 & 0587016-3--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20007,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20007,10,03/24/2025,32.71,0618535-01--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20008,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20008,13,03/24/2025,32.71,EKH-0898744-1--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20009,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20009,21,03/24/2025,209.03,0587014-8 & 0587023-9--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENCR_20010,freight,40392,U.S. CUSTOMS AND BORDER PROTECTION,253,VENCR_20010,10,06/24/2025,48626.44,06/24/2025--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
