External Bill,Item,Item ID,Vendor,Vendor ID,inv,Invoice Ref,old date,new Date,Amount,Memo,subsidiary,Account,AP Internal ID,Bin,Bin ID,LOCATION,Serial Lot
OPENVENBILL_30200,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,25336/VE,BILL_30200,08-01-2024,01-08-2024,1092.61,25336/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00001
OPENVENBILL_30201,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,25336/VE,BILL_30201,08-01-2024,01-08-2024,1697.58,25336/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00002
OPENVENBILL_30202,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,48449/VE,BILL_30202,12-04-2024,04-12-2024,1174.08,48449/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00003
OPENVENBILL_30203,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,48449/VE,BILL_30203,12-04-2024,04-12-2024,3769.29,48449/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00004
OPENVENBILL_30204,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,48449/VE,BILL_30204,12-04-2024,04-12-2024,5333.33,48449/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00005
OPENVENBILL_30205,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,266/VE,BILL_30205,01-08-2025,08-01-2025,346.32,266/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00006
OPENVENBILL_30206,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,266/VE,BILL_30206,01-08-2025,08-01-2025,6350.4,266/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00007
OPENVENBILL_30207,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,266/VE,BILL_30207,01-08-2025,08-01-2025,371.07,266/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00008
OPENVENBILL_30208,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,266/VE,BILL_30208,01-08-2025,08-01-2025,6649.38,266/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00009
OPENVENBILL_30209,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,1200/VE,BILL_30209,01-14-2025,01/14/2025,2627.34,1200/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00010
OPENVENBILL_30210,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,1200/VE,BILL_30210,01-14-2025,01/14/2025,9132.48,1200/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00011
OPENVENBILL_30211,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,1200/VE,BILL_30211,01-14-2025,01/14/2025,3529.98,1200/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00012
OPENVENBILL_30212,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,1200/VE,BILL_30212,01-14-2025,01/14/2025,4233.6,1200/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00013
OPENVENBILL_30213,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,7130/VE,BILL_30213,02-21-2025,2/21/2025,15762.6,7130/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00014
OPENVENBILL_30214,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,7130/VE,BILL_30214,02-21-2025,2/21/2025,1247.4,7130/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00015
OPENVENBILL_30215,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,15341/VE,BILL_30215,04-10-2025,10-04-2025,3175.2,15341/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00016
OPENVENBILL_30216,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,15341/VE,BILL_30216,04-10-2025,10-04-2025,9525.6,15341/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00017
OPENVENBILL_30217,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,15341/VE,BILL_30217,04-10-2025,10-04-2025,636.85,15341/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00018
OPENVENBILL_30218,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,21576/VE,BILL_30218,05-19-2025,5/19/2025,3880.8,21576/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00019
OPENVENBILL_30219,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,21576/VE,BILL_30219,05-19-2025,5/19/2025,2646,21576/VE - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00020
OPENVENBILL_30220,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,20250630,BILL_30220,06-30-2025,6/30/2025,456.5,20250630 - Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00021
OPENVENBILL45453/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,45453/VE,45453/VE,11-12-2024,12-11-2024,924.6,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00022
OPENVENBILL6262/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,6262/VE,6262/VE,02-18-2025,02/18/2025,924.49,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00023
OPENVENBILL7302/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,7302/VE,7302/VE,02-24-2025,02/24/2025,12700.8,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00024
OPENVENBILL8906/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,8906/VE,8906/VE,03-05-2025,05-03-2025,106.92,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00025
OPENVENBILL9937/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,9937/VE,9937/VE,03-12-2025,12-03-2025,2482.32,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00026
OPENVENBILL15364/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,15364/VE,15364/VE,04-10-2025,10-04-2025,12171.6,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00027
OPENVENBILL19542/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,19542/VE,19542/VE,05-08-2025,08-05-2025,2116.8,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00028
OPENVENBILL24874/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,24874/VE,24874/VE,06-05-2025,05-06-2025,13230,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00029
OPENVENBILL24905/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,24905/VE,24905/VE,06-05-2025,05-06-2025,13230,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00030
OPENVENBILL24802/VE,cogs,40391,MIRAGE GRANITO CERAMICO USA INC,173,24802/VE,24802/VE,06-05-2025,05-06-2025,8467.2,Import SPS data by Invoice in NetSuite,3,A20001,966,CW-001,17,2,BILL00031
