External ID,Item,Item ID,Party Name,vendor ID,Invoice #,OLD,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Account,BIN,BIN ID,LOCATION,serial/lot number
OPENVENBILL_30001,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30001,23JSF10033,10,12-29-2023,12/29/2023,176.55,23JSF10033 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10405
OPENVENBILL_30002,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30002,24JSF03048,10,01-01-2024,01/01/2024,2845.09,24JSF03048 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10406
OPENVENBILL_30003,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30003,23JSF10033,10,01-05-2024,01/05/2024,2371.67,23JSF10033 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10412
OPENVENBILL_30004,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30004,23BL092801,10,02-03-2024,02/03/2024,653.75,23BL092801 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10418
OPENVENBILL_30005,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30005,23RT120101,10,04-17-2024,4/17/2024,1364.53,23RT120101 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10425
OPENVENBILL_30006,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30006,23BL092801,10,04-19-2024,4/19/2024,394.90,23BL092801 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10426
OPENVENBILL_30007,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30007,24JSF05019,10,06-07-2024,06/07/2024,1936.44,24JSF05019 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10438
OPENVENBILL_30008,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30008,24JSF06012,10,07-02-2024,07/02/2024,1200.03,24JSF06012 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10450
OPENVENBILL_30009,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30009,24JSF05010,10,08-01-2024,08/01/2024,566.67,24JSF05010 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10455
OPENVENBILL_30010,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30010,24JSF05040,10,08-01-2024,08/01/2024,2600.00,24JSF05040 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10456
OPENVENBILL_30011,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30011,24JSF06012,10,08-01-2024,08/01/2024,90.00,24JSF06012 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10457
OPENVENBILL_30012,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30012,24JSF07027,10,08-01-2024,08/01/2024,1642.09,24JSF07027 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10458
OPENVENBILL_30013,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30013,24JSF06012,10,08-06-2024,08/06/2024,14121.04,24JSF06012 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10460
OPENVENBILL_30014,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30014,24JSF06012,10,08-10-2024,08/10/2024,6391.83,24JSF06012 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10465
OPENVENBILL_30015,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30015,24BL060401,10,10-01-2024,10/01/2024,23680.22,24BL060401 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10478
OPENVENBILL_30016,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30016,24RT052801,10,10-01-2024,10/01/2024,3798.45,24RT052801 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10480
OPENVENBILL_30017,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30017,24JSF03048,10,10-12-2024,10/12/2024,995.00,24JSF03048 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10490
OPENVENBILL_30018,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30018,24JSF05010,10,10-12-2024,10/12/2024,1000.00,24JSF05010 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10491
OPENVENBILL_30019,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30019,24JSF07075,10,10-12-2024,10/12/2024,3499.13,24JSF07075 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10494
OPENVENBILL_30020,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30020,24JSF08065,10,10-18-2024,10/18/2024,1807.03,24JSF08065 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10497
OPENVENBILL_30021,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30021,24JSF08065,10,10-18-2024,10/18/2024,28841.64,24JSF08065 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10498
OPENVENBILL_30022,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30022,24JSF05019,10,10-25-2024,10/25/2024,500.00,24JSF05019 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10499
OPENVENBILL_30023,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30023,24BL060401,10,11-01-2024,11/01/2024,200.00,24BL060401 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10505
OPENVENBILL_30024,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30024,23RT120101,10,11-01-2024,11/01/2024,2642.29,23RT120101 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10506
OPENVENBILL_30025,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30025,23RT120101,10,11-01-2024,11/01/2024,3300.00,23RT120101 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10507
OPENVENBILL_30026,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30026,23RT120101,10,11-01-2024,11/01/2024,8877.45,23RT120101 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10508
OPENVENBILL_30027,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30027,23JSF10033,10,11-12-2024,11/12/2024,100.00,23JSF10033 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10513
OPENVENBILL_30028,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30028,24JSF07027,10,11-14-2024,11/14/2024,4203.11,24JSF07027 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10516
OPENVENBILL_30029,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30029,24JSF07027,10,11-14-2024,11/14/2024,21524.89,24JSF07027 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10517
OPENVENBILL_30030,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30030,24JSF08023,10,11-23-2024,11/23/2024,224.97,24JSF08023 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10525
OPENVENBILL_30031,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30031,24RT052801,10,12-16-2024,12/16/2024,3430.94,24RT052801 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10533
OPENVENBILL_30032,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30032,24JSF07075,10,12-31-2024,12/31/2024,100.00,24JSF07075 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10543
OPENVENBILL_30033,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30033,24JSF08023,10,01-01-2025,01/01/2025,7442.95,24JSF08023 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10545
OPENVENBILL_30034,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30034,24JSF08029,10,01-01-2025,01/01/2025,1490.92,24JSF08029 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10546
OPENVENBILL_30035,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30035,24JSF08029,10,01-01-2025,01/01/2025,3284.41,24JSF08029 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10547
OPENVENBILL_30036,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30036,24JS110401,10,01-08-2025,01/08/2025,5200.00,24JS110401 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10551
OPENVENBILL_30037,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30037,24JSF08070,10,01-13-2025,1/13/2025,1157.93,24JSF08070 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10554
OPENVENBILL_30038,cogs,40391,"Jasfer Industry Co., Limited",137,BILL_30038,24JSF08070,10,01-13-2025,1/13/2025,2150.22,24JSF08070 - Import SPS data by Invoice in NetSuite,3,A20001,CW-001,17,2,10555
