External ID,Item,Item ID,Party Name,Vendor ID,Invoice #,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Subsidiary,Account,BIN ,BIN ID,LOCATION,serial/lot number
OPENVENBILL45807,cogs,40391,"Jasfer Industry Co., Limited",137,45807,5,05/25/2025,05/25/2025,25858.15,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10321
OPENVENBILL24JS010303 23GBCI392,cogs,40391,"Jasfer Industry Co., Limited",137,24JS010303 23GBCI392,20,06-26-2024,06/26/2024,3160,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10323
OPENVENBILLPrePayment - PO34677/SPS,cogs,40391,"Jasfer Industry Co., Limited",137,PrePayment - PO34677/SPS,24,06-30-2024,06/30/2024,799.2,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10325
OPENVENBILLPrePayment - PO38987/SPS,cogs,40391,"Jasfer Industry Co., Limited",137,PrePayment - PO38987/SPS,24,07-02-2024,07/02/2024,13009.33,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10330
OPENVENBILL5642,cogs,40391,"Jasfer Industry Co., Limited",137,5642,4,11-21-2024,11/21/2024,427.39,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10337
OPENVENBILLW-1204,cogs,40391,"Jasfer Industry Co., Limited",137,W-1204,6,12-04-2024,12/04/2024,1466.25,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10346
OPENVENBILLW-0103,cogs,40391,"Jasfer Industry Co., Limited",137,W-0103,6,01-03-2025,01/03/2025,1061.27,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10358
OPENVENBILLW-0109,cogs,40391,"Jasfer Industry Co., Limited",137,W-0109,6,01-09-2025,01/09/2025,228.07,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10373
OPENVENBILLW-0117,cogs,40391,"Jasfer Industry Co., Limited",137,W-0117,6,01-17-2025,01/17/2025,8140.67,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10381
OPENVENBILLW-0124,cogs,40391,"Jasfer Industry Co., Limited",137,W-0124,6,01-24-2025,01/24/2025,26290.3,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10386
OPENVENBILLW-0625,cogs,40391,Kronos USA,2563,W-0625,6,06-25-2025,06/25/2025,18135,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10388
OPENVENBILLW-0220,cogs,40391,MASOMEX GLOBAL,1266,W-0220,6,02-20-2025,02/20/2025,1951.83,Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10390
