External ID,Item,Item ID,Party Name,vendor ID,Invoice #,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Subsidiary,Account,BIN,BIN ID,LOCATION,serial/lot number
VENDOR_CR_30001,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30001,12,03-07-2024,03/07/2024,8186.00,PrePayment - - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10299
VENDOR_CR_30002,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30002,6,04-29-2024,04/29/2024,157.17,W-0429 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10301
VENDOR_CR_30003,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30003,6,05-29-2024,05/29/2024,8690.33,W-0529 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10303
VENDOR_CR_30004,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30004,17,06-18-2024,06/18/2024,12170.74,W-0618 $105602.53 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10305
VENDOR_CR_30005,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30005,17,06-18-2024,06/18/2024,317.56,W-0618 $105602.53 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10307
VENDOR_CR_30006,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30006,17,06-18-2024,06/18/2024,211.45,W-0618 $105602.53 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10309
VENDOR_CR_30007,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30007,17,06-18-2024,06/18/2024,181.59,W-0618 $105602.53 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10311
VENDOR_CR_30008,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30008,17,06-18-2024,06/18/2024,159.59,W-0618 $105602.53 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10313
VENDOR_CR_30009,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30009,17,06-18-2024,06/18/2024,108.40,W-0618 $105602.53 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10019
VENDOR_CR_30010,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30010,12,07-17-2024,07/17/2024,687.01,PrePayment - - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10025
