External ID,Item,Item ID,Party Name,Vendor ID,Invoice #,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Subsidiary,Account,BIN ,BIN ID,LOCATION,serial/lot number
OPENVENBILL42930/ 241115USA-919 / JXLU4315557,cogs,40391,"Beijing Topli Decorative Materials Co., LTD",1233,42930/241115USA-919,34,02-11-2025,02/11/2025,-2059.45,Import SPS data by Invoice in NetSuite---42930/ 241115USA-919 / JXLU4315557,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10072
"OPENVENBILL554, 555, 556, 557, 558, 559, 566",cogs,40391,GIBAM SHOPS SPA,1253,"554, 555, 556, 557, 558, 559",33,12-31-2023,12/31/2023,48064.52,"Import SPS data by Invoice in NetSuite---554, 555, 556, 557, 558, 559, 566",3,Graniti Vicentia LLC,A20001,CW-001,17,2,10183
"OPENVENBILL202, 203, 204, 205, 206, 207, 22",cogs,40391,GIBAM SHOPS SPA,1253,"202, 203, 204, 205, 206, 207",32,06-28-2024,06/28/2024,6802.52,"Import SPS data by Invoice in NetSuite---202, 203, 204, 205, 206, 207, 22",3,Graniti Vicentia LLC,A20001,CW-001,17,2,10220
"OPENVENBILL321, 323, 324, 332, 334, 336, 338",cogs,40391,GIBAM SHOPS SPA,1253,"321, 323, 324, 332, 334, 336",33,10-03-2024,10/03/2024,91946.63,"Import SPS data by Invoice in NetSuite---321, 323, 324, 332, 334, 336, 338",3,Graniti Vicentia LLC,A20001,CW-001,17,2,10258
"OPENVENBILL433, 434, 435, 436, 437, 445, 446, 448, 450,453 , 454",cogs,40391,GIBAM SHOPS SPA,1253,"433, 434, 435, 436, 437, 445",53,12-12-2024,12/12/2024,167677.56,"Import SPS data by Invoice in NetSuite---433, 434, 435, 436, 437, 445, 446, 448, 450,453 , 454",3,Graniti Vicentia LLC,A20001,CW-001,17,2,10292
OPENVENBILLWhitaker 04-29-2024 to 05-05-2024,cogs,40391,GV Facades LLC,122,04-29-2024 to 05-05-2024,33,05-06-2024,05/06/2024,2903.02,Import SPS data by Invoice in NetSuite---Whitaker 04-29-2024 to 05-05-2024,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10329
OPENVENBILLLQ Memphis Window Treatment 05-27-2024 to 06-02-2024,cogs,40391,GV Facades LLC,122,05-27-2024 to 06-02-2024,52,06-03-2024,06/03/2024,5204.46,Import SPS data by Invoice in NetSuite---LQ Memphis Window Treatment 05-27-2024 to 06-02-2024,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10331
OPENVENBILLThe Eden 05-27-2024 to 06-02-2024,cogs,40391,GV Facades LLC,122,05-27-2024 to 06-02-2024,33,06-03-2024,06/03/2024,4552.02,Import SPS data by Invoice in NetSuite---The Eden 05-27-2024 to 06-02-2024,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10332
OPENVENBILLTribute-Element Carmel IN FF&E 05-27-2024 to 06-02-2024,cogs,40391,GV Facades LLC,122,IN FF&E 05-27-2024 to 06,55,06-03-2024,06/03/2024,7040.00,Import SPS data by Invoice in NetSuite---Tribute-Element Carmel IN FF&E 05-27-2024 to 06-02-2024,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10333
OPENVENBILLWyndham Kingman AZ 05-27-2024 to 06-02-2024,cogs,40391,GV Facades LLC,122,AZ 05-27-2024 to 06-02,43,06-03-2024,06/03/2024,13844.95,Import SPS data by Invoice in NetSuite---Wyndham Kingman AZ 05-27-2024 to 06-02-2024,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10334
OPENVENBILLResidence Inn Fort Smith 08-19-2024 to 08-25-2024,cogs,40391,GV Facades LLC,122,08-19-2024 to 08-25-2024,49,08-26-2024,08/26/2024,2250.72,Import SPS data by Invoice in NetSuite---Residence Inn Fort Smith 08-19-2024 to 08-25-2024,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10335
OPENVENBILLLas Vegas Trade Show 1074 05-05-2025 to 05-11-2025,cogs,40391,GV Facades LLC,122,1074 05-05-2025 to 05-11-2025,50,05-12-2025,05/12/2025,4462.72,Import SPS data by Invoice in NetSuite---Las Vegas Trade Show 1074 05-05-2025 to 05-11-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10339
OPENVENBILLJonathan Ramirez HWY6 05-19-2025 to 05-25-2025,cogs,40391,GV Facades LLC,122,6 05-19-2025 to 05-25-2025,46,05-27-2025,05/27/2025,3517.30,Import SPS data by Invoice in NetSuite---Jonathan Ramirez HWY6 05-19-2025 to 05-25-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10340
OPENVENBILL335 8th St NY 05-26-2025 to 06-01-2025,cogs,40391,GV Facades LLC,122, 05-26-2025 to 06-01-2025,38,06-02-2025,06/02/2025,371.50,Import SPS data by Invoice in NetSuite---335 8th St NY 05-26-2025 to 06-01-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10341
OPENVENBILL1430 Lincoln BLVD L.A 06-23-2025 to 06-29-2025,cogs,40391,GV Facades LLC,122,06-23-2025 to 06-29-2025,46,06-30-2025,06/30/2025,6990.00,Import SPS data by Invoice in NetSuite---1430 Lincoln BLVD L.A 06-23-2025 to 06-29-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10342
OPENVENBILLHWY6 Fab Shop 06-23-2025 to 06-29-2025,cogs,40391,GV Facades LLC,122,06-23-2025 to 06-29-2025,38,06-30-2025,06/30/2025,3654.00,Import SPS data by Invoice in NetSuite---HWY6 Fab Shop 06-23-2025 to 06-29-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10343
OPENVENBILLSahara Las Vegas 06-23-2025 to 06-29-2025,cogs,40391,GV Facades LLC,122,06-23-2025 to 06-29-2025,41,06-30-2025,06/30/2025,41155.78,Import SPS data by Invoice in NetSuite---Sahara Las Vegas 06-23-2025 to 06-29-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10344
OPENVENBILLUrban Atelier Group LLC 06-23-2025 to 06-29-2025,cogs,40391,GV Facades LLC,122,06-23-2025 to 06-29-2025,48,06-30-2025,06/30/2025,5919.78,Import SPS data by Invoice in NetSuite---Urban Atelier Group LLC 06-23-2025 to 06-29-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10345
OPENVENBILL1374e7d1-71a0-443a-bf70-5277a700ce9a,cogs,40391,Modular Shower Walls,1270,BILL001_06/30/2025,36,06-30-2025,06/30/2025,6066.70,Import SPS data by Invoice in NetSuite---1374e7d1-71a0-443a-bf70-5277a700ce9a,3,Graniti Vicentia LLC,A20001,CW-001,17,2,11019
OPENVENBILLb0d91988-30ee-432a-8a79-2bb9d511fec8,cogs,40391,Modular Shower Walls,1270,BILL002_06/30/2025,36,06-30-2025,06/30/2025,19511.21,Import SPS data by Invoice in NetSuite---b0d91988-30ee-432a-8a79-2bb9d511fec8,3,Graniti Vicentia LLC,A20001,CW-001,17,2,11020
"OPENVENBILLZB202405009USA, ZB202407028USA,ZB202405043USA",cogs,40391,ZBOM Cabinets Crop.,1297,"ZB202405009USA, ZB202407028USA",45,10-01-2024,10/01/2024,2518.16,"Import SPS data by Invoice in NetSuite---ZB202405009USA, ZB202407028USA,ZB202405043USA",3,Graniti Vicentia LLC,A20001,CW-001,17,2,11293
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OPENVENBILLHWY6 Fab Shop 06-23-2025 to 06-29-2025,cogs,40391,GV Facades LLC,122,Fab Shop 06-23-2025,38,06-30-2025,06/30/2025,3654.00,Import SPS data by Invoice in NetSuite---HWY6 Fab Shop 06-23-2025 to 06-29-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10343
OPENVENBILLSahara Las Vegas 06-23-2025 to 06-29-2025,cogs,40391,GV Facades LLC,122,Sahara Las Vegas 06-23-2025,41,06-30-2025,06/30/2025,41155.78,Import SPS data by Invoice in NetSuite---Sahara Las Vegas 06-23-2025 to 06-29-2025,3,Graniti Vicentia LLC,A20001,CW-001,17,2,10344
