External ID,Item ,Item ID,Date,Transaction#,Invoice#,Location,Location ID,Subsidiary ID,Type,Description,Memo,Party,Vendor ID,Debit,Credit Amount,Balance,SPS,NetSuite,Serial lot no.,Bin id
BILL-43919,Item (Revenue/COGS),40391,07/01/2025,43919,SR412-2,GV,2,3,SupplierInvoice,Imports from SPS ,SR412-2-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,6784.96,"($20,74,629.47)",Yes,No,BILLJULY2025,17
BILL-46779D,Item (Revenue/COGS),40391,07/01/2025,46779D,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,46332.04,"($21,20,961.51)",Yes,No,BILLJULY2025,17
BILL-46779E,Item (Revenue/COGS),40391,07/01/2025,46779E,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,39383.34,"($21,60,344.85)",Yes,No,BILLJULY2025,17
BILL-46779F,Item (Revenue/COGS),40391,07/01/2025,46779F,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,47598.07,"($22,07,942.92)",Yes,No,BILLJULY2025,17
BILL-44418F,Item (Revenue/COGS),40391,07/02/2025,44418F,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,3626,"($22,11,568.92)",Yes,No,BILLJULY2025,17
BILL-44418G,Item (Revenue/COGS),40391,07/02/2025,44418G,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,2254,"($22,13,822.92)",Yes,No,BILLJULY2025,17
BILL-44418H,Item (Revenue/COGS),40391,07/02/2025,44418H,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,57720.97,"($22,71,543.89)",Yes,No,BILLJULY2025,17
BILL-44698,Item (Revenue/COGS),40391,07/02/2025,44698,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,51958.22,"($23,23,502.11)",Yes,No,BILLJULY2025,17
BILL-44698C,Item (Revenue/COGS),40391,07/02/2025,44698C,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,51764.04,"($23,75,266.15)",Yes,No,BILLJULY2025,17
BILL-44698D,Item (Revenue/COGS),40391,07/02/2025,44698D,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,51958.22,"($24,27,224.37)",Yes,No,BILLJULY2025,17
BILL-44698E,Item (Revenue/COGS),40391,07/02/2025,44698E,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,40716.25,"($24,67,940.62)",Yes,No,BILLJULY2025,17
BILL-43344,Item (Revenue/COGS),40391,07/03/2025,43344,SR173-5PC,GV,2,3,SupplierInvoice,Imports from SPS ,SR173-5PC-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,20234.4,"($24,88,175.02)",Yes,No,BILLJULY2025,17
BILL-44504B,Item (Revenue/COGS),40391,07/03/2025,44504B,8118121367,GV,2,3,SupplierInvoice,Imports from SPS ,8118121367-SupplierInvoice,GRESDEA,1961,,15801.36,"($25,03,976.38)",Yes,No,BILLJULY2025,17
BILL-45813,Item (Revenue/COGS),40391,07/03/2025,45813,SR173-5PM,GV,2,3,SupplierInvoice,Imports from SPS ,SR173-5PM-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,37963.9,"($25,41,940.28)",Yes,No,BILLJULY2025,17
BILL-45866,Item (Revenue/COGS),40391,07/03/2025,45866,GV2025019-B,GV,2,3,SupplierInvoice,Imports from SPS ,GV2025019-B-SupplierInvoice,"Xiamen Deyuan Panmin Trading Co., LTD",1295,,50,"($25,41,990.28)",Yes,No,BILLJULY2025,17
BILL-40915B,Item (Revenue/COGS),40391,07/09/2025,40915B,SR273-41P2,GV,2,3,SupplierInvoice,Imports from SPS ,SR273-41P2-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,6134.1,"($25,48,124.38)",Yes,No,BILLJULY2025,17
BILL-40918C,Item (Revenue/COGS),40391,07/09/2025,40918C,SR273-41,GV,2,3,SupplierInvoice,Imports from SPS ,SR273-41-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,6160,"($25,54,284.38)",Yes,No,BILLJULY2025,17
BILL-42365B,Item (Revenue/COGS),40391,07/09/2025,42365B,SR382-4P2,GV,2,3,SupplierInvoice,Imports from SPS ,SR382-4P2-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,601,"($25,54,885.38)",Yes,No,BILLJULY2025,17
BILL-42404,Item (Revenue/COGS),40391,07/09/2025,42404,SR382-3,GV,2,3,SupplierInvoice,Imports from SPS ,SR382-3-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,5806.45,"($25,60,691.83)",Yes,No,BILLJULY2025,17
BILL-45049,Item (Revenue/COGS),40391,07/09/2025,45049,SR273-37P2,GV,2,3,SupplierInvoice,Imports from SPS ,SR273-37P2-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,750.11,"($27,09,814.54)",Yes,No,BILLJULY2025,17
BILL-45813B,Item (Revenue/COGS),40391,07/09/2025,45813B,SR173-5PM,GV,2,3,SupplierInvoice,Imports from SPS ,SR173-5PM-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,5869,"($27,15,683.54)",Yes,No,BILLJULY2025,17
BILL-47004,Item (Revenue/COGS),40391,07/09/2025,47004,SR382-3,GV,2,3,SupplierInvoice,Imports from SPS ,SR382-3-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,2610.5,"($27,19,695.24)",Yes,No,BILLJULY2025,17
BILL-36504,Item (Revenue/COGS),40391,07/11/2025,36504,16,GV,2,3,SupplierInvoice,Imports from SPS ,16-SupplierInvoice,Pantarei S.R.L,1280,,45198,"($27,64,893.24)",Yes,No,BILLJULY2025,17
BILL-36502B,Item (Revenue/COGS),40391,07/14/2025,36502B,17,GV,2,3,SupplierInvoice,Imports from SPS ,17-SupplierInvoice,Pantarei S.R.L,1280,,13148.19,"($27,78,041.43)",Yes,No,BILLJULY2025,17
BILL-36504B,Item (Revenue/COGS),40391,07/14/2025,36504B,17,GV,2,3,SupplierInvoice,Imports from SPS ,17-SupplierInvoice,Pantarei S.R.L,1280,,36191.53,"($28,14,232.96)",Yes,No,BILLJULY2025,17
BILL-36503,Item (Revenue/COGS),40391,07/17/2025,36503,18,GV,2,3,SupplierInvoice,Imports from SPS ,18-SupplierInvoice,Pantarei S.R.L,1280,,32084.13,"($28,74,722.72)",Yes,No,BILLJULY2025,17
BILL-46772C,Item (Revenue/COGS),40391,07/17/2025,46772C,"SR273-58,GV048",GV,2,3,SupplierInvoice,Imports from SPS ,"SR273-58,GV048-SupplierInvoice",HARMONY HOSPITALITY CO LTD,2517,,209.13,"($28,74,931.85)",Yes,No,BILLJULY2025,17
BILL-36502C,Item (Revenue/COGS),40391,07/18/2025,36502C,19,GV,2,3,SupplierInvoice,Imports from SPS ,19-SupplierInvoice,Pantarei S.R.L,1280,,10651.2,"($28,85,583.05)",Yes,No,BILLJULY2025,17
BILL-36503B,Item (Revenue/COGS),40391,07/18/2025,36503B,19,GV,2,3,SupplierInvoice,Imports from SPS ,19-SupplierInvoice,Pantarei S.R.L,1280,,26373,"($29,11,956.05)",Yes,No,BILLJULY2025,17
BILL-45908,Item (Revenue/COGS),40391,07/18/2025,45908,ZB202501005USA,GV,2,3,SupplierInvoice,Imports from SPS ,ZB202501005USA-SupplierInvoice,ZBOM Cabinets Corp.,1297,,12065.33,"($29,24,021.38)",Yes,No,BILLJULY2025,17
BILL-44066,Item (Revenue/COGS),40391,07/21/2025,44066,SR350-13,GV,2,3,SupplierInvoice,Imports from SPS ,SR350-13-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,1216.27,"($29,25,237.65)",Yes,No,BILLJULY2025,17
BILL-46023,Item (Revenue/COGS),40391,07/22/2025,46023,ZB202410026USA,GV,2,3,SupplierInvoice,Imports from SPS ,ZB202410026USA-SupplierInvoice,ZBOM Cabinets Corp.,1297,,11075.11,"($30,11,782.80)",Yes,No,BILLJULY2025,17
BILL-36502D,Item (Revenue/COGS),40391,07/23/2025,36502D,21,GV,2,3,SupplierInvoice,Imports from SPS ,21-SupplierInvoice,Pantarei S.R.L,1280,,58714.73,"($30,70,497.53)",Yes,No,BILLJULY2025,17
BILL-36502E,Item (Revenue/COGS),40391,07/24/2025,36502E,22,GV,2,3,SupplierInvoice,Imports from SPS ,22-SupplierInvoice,Pantarei S.R.L,1280,,33567.36,"($44,69,808.66)",Yes,No,BILLJULY2025,17
BILL-35215O,Item (Revenue/COGS),40391,07/25/2025,35215O,25JSF07215,GV,2,3,SupplierInvoice,Imports from SPS ,25JSF07215-SupplierInvoice,"Jasfer Industry Co., Limited",137,,14986.33,"($46,76,853.98)",Yes,No,BILLJULY2025,17
BILL-36334D,Item (Revenue/COGS),40391,07/25/2025,36334D,23JSF12050,GV,2,3,SupplierInvoice,Imports from SPS ,23JSF12050-SupplierInvoice,"Jasfer Industry Co., Limited",137,,732,"($46,77,585.98)",Yes,No,BILLJULY2025,17
BILL-36502F,Item (Revenue/COGS),40391,07/25/2025,36502F,23,GV,2,3,SupplierInvoice,Imports from SPS ,23-SupplierInvoice,Pantarei S.R.L,1280,,27118.94,"($47,04,704.92)",Yes,No,BILLJULY2025,17
BILL-41877,Item (Revenue/COGS),40391,07/25/2025,41877,25AG543GRV-V,GV,2,3,SupplierInvoice,Imports from SPS ,25AG543GRV-V-SupplierInvoice,"Jasfer Industry Co., Limited",137,,5508.45,"($47,10,213.37)",Yes,No,BILLJULY2025,17
BILL-44356B,Item (Revenue/COGS),40391,07/25/2025,44356B,25RT010201,GV,2,3,SupplierInvoice,Imports from SPS ,25RT010201-SupplierInvoice,"Jasfer Industry Co., Limited",137,,27.26,"($47,10,240.63)",Yes,No,BILLJULY2025,17
BILL-45092,Item (Revenue/COGS),40391,07/25/2025,45092,25BL021204,GV,2,3,SupplierInvoice,Imports from SPS ,25BL021204-SupplierInvoice,"Jasfer Industry Co., Limited",137,,2619.09,"($47,16,630.91)",Yes,No,BILLJULY2025,17
BILL-45860,Item (Revenue/COGS),40391,07/25/2025,45860,25JS032704,GV,2,3,SupplierInvoice,Imports from SPS ,25JS032704-SupplierInvoice,"Jasfer Industry Co., Limited",137,,8209.08,"($47,24,839.99)",Yes,No,BILLJULY2025,17
BILL-45869,Item (Revenue/COGS),40391,07/25/2025,45869,25JS051504,GV,2,3,SupplierInvoice,Imports from SPS ,25JS051504-SupplierInvoice,"Jasfer Industry Co., Limited",137,,2454.74,"($47,27,294.73)",Yes,No,BILLJULY2025,17
BILL-45994,Item (Revenue/COGS),40391,07/25/2025,45994,25RT032701,GV,2,3,SupplierInvoice,Imports from SPS ,25RT032701-SupplierInvoice,"Jasfer Industry Co., Limited",137,,11424.26,"($47,38,718.99)",Yes,No,BILLJULY2025,17
BILL-46035,Item (Revenue/COGS),40391,07/25/2025,46035,25BL052802,GV,2,3,SupplierInvoice,Imports from SPS ,25BL052802-SupplierInvoice,"Jasfer Industry Co., Limited",137,,1541.04,"($47,40,260.03)",Yes,No,BILLJULY2025,17
BILL-35230B,Item (Revenue/COGS),40391,07/31/2025,35230B,F18626-2,GV,2,3,SupplierInvoice,Imports from SPS ,F18626-2-SupplierInvoice,Modular Shower Walls,1270,,5960.15,"($47,46,220.18)",Yes,No,BILLJULY2025,17
BILL-36340C,Item (Revenue/COGS),40391,07/31/2025,36340C,23JSF12035-2,GV,2,3,SupplierInvoice,Imports from SPS ,23JSF12035-2-SupplierInvoice,"Jasfer Industry Co., Limited",137,,1129.89,"($47,47,350.07)",Yes,No,BILLJULY2025,17
BILL-36502G,Item (Revenue/COGS),40391,07/31/2025,36502G,24,GV,2,3,SupplierInvoice,Imports from SPS ,24-SupplierInvoice,Pantarei S.R.L,1280,,24720.16,"($47,72,070.23)",Yes,No,BILLJULY2025,17
BILL-36504C,Item (Revenue/COGS),40391,07/31/2025,36504C,24,GV,2,3,SupplierInvoice,Imports from SPS ,24-SupplierInvoice,Pantarei S.R.L,1280,,9524.6,"($47,81,594.83)",Yes,No,BILLJULY2025,17
BILL-39671B,Item (Revenue/COGS),40391,07/31/2025,39671B,20250630-2,GV,2,3,SupplierInvoice,Imports from SPS ,20250630-2-SupplierInvoice,"Jasfer Industry Co., Limited",137,,26745.65,"($48,08,340.48)",Yes,No,BILLJULY2025,17
BILL-40611,Item (Revenue/COGS),40391,07/31/2025,40611,40611,GV,2,3,SupplierInvoice,Imports from SPS ,40611-SupplierInvoice,"Jasfer Industry Co., Limited",137,,7734.9,"($48,16,075.38)",Yes,No,BILLJULY2025,17
BILL-43171B,Item (Revenue/COGS),40391,07/31/2025,43171B,7312025,GV,2,3,SupplierInvoice,Imports from SPS ,7312025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,928.46,"($48,17,003.84)",Yes,No,BILLJULY2025,17
BILL-43376,Item (Revenue/COGS),40391,07/31/2025,43376,7312025,GV,2,3,SupplierInvoice,Imports from SPS ,7312025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,63945.84,"($48,80,949.68)",Yes,No,BILLJULY2025,17
BILL-43376B,Item (Revenue/COGS),40391,07/31/2025,43376B,7312025,GV,2,3,SupplierInvoice,Imports from SPS ,7312025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,12350,"($48,93,299.68)",Yes,No,BILLJULY2025,17
BILL-43426B,Item (Revenue/COGS),40391,07/31/2025,43426B,7312025,GV,2,3,SupplierInvoice,Imports from SPS ,7312025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,226.01,"($48,93,525.69)",Yes,No,BILLJULY2025,17
BILL-43654B,Item (Revenue/COGS),40391,07/31/2025,43654B,7312025,GV,2,3,SupplierInvoice,Imports from SPS ,7312025-SupplierInvoice,"Jasfer Industry Co., Limited",137,,180593.95,"($50,74,119.64)",Yes,No,BILLJULY2025,17
BILL-43759,Item (Revenue/COGS),40391,07/31/2025,43759,S5245695,GV,2,3,SupplierInvoice,Imports from SPS ,S5245695-SupplierInvoice,NEFCO Corporation,2197,,764.38,"($50,74,884.02)",Yes,No,BILLJULY2025,17
BILL-44448,Item (Revenue/COGS),40391,07/31/2025,44448,25JSF01007,GV,2,3,SupplierInvoice,Imports from SPS ,25JSF01007-SupplierInvoice,"Jasfer Industry Co., Limited",137,,2050.57,"($50,76,934.59)",Yes,No,BILLJULY2025,17
BILL-44494B,Item (Revenue/COGS),40391,07/31/2025,44494B,24JSF05101,GV,2,3,SupplierInvoice,Imports from SPS ,24JSF05101-SupplierInvoice,"Jasfer Industry Co., Limited",137,,830.39,"($50,77,764.98)",Yes,No,BILLJULY2025,17
BILL-46091,Item (Revenue/COGS),40391,07/31/2025,46091,25JSF07104,GV,2,3,SupplierInvoice,Imports from SPS ,25JSF07104-SupplierInvoice,"Jasfer Industry Co., Limited",137,,4246.87,"($50,82,011.85)",Yes,No,BILLJULY2025,17
BILL-44698X,Item (Revenue/COGS),40391,08/01/2025,44698X,SR151-10,GV,2,3,SupplierInvoice,Imports from SPS ,SR151-10-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,51252.06,"($51,33,263.91)",Yes,No,BILLJULY2025,17
BILL-47230,Item (Revenue/COGS),40391,08/01/2025,47230,14036,GV,2,3,SupplierInvoice,Imports from SPS ,14036-SupplierInvoice,Atlas Concorde,1232,,367.06,"($51,33,630.97)",Yes,No,BILLJULY2025,17
BILL-47231,Item (Revenue/COGS),40391,08/01/2025,47231,41188101,GV,2,3,SupplierInvoice,Imports from SPS ,41188101-SupplierInvoice,MDC Interior Solutions,1267,,1748.55,"($51,35,379.52)",Yes,No,BILLJULY2025,17
BILL-45054,Item (Revenue/COGS),40391,08/02/2025,45054,SR393-8P3,GV,2,3,SupplierInvoice,Imports from SPS ,SR393-8P3-SupplierInvoice,Richwood Hospitality Co. LTD,1285,,25207.69,"($51,60,587.21)",Yes,No,BILLJULY2025,17
BILL-46024,Item (Revenue/COGS),40391,08/05/2025,46024,SR173-5B2,GV,2,3,SupplierInvoice,Imports from SPS ,SR173-5B2-SupplierInvoice,HARMONY HOSPITALITY CO LTD,2517,,31804.5,"($51,92,391.71)",Yes,No,BILLJULY2025,17
BILL-38723H,Item (Revenue/COGS),40391,08/07/2025,38723H,24,GV,2,3,SupplierInvoice,Imports from SPS ,24-SupplierInvoice,Pantarei S.R.L,1280,,510.14,"($51,92,901.85)",Yes,No,BILLJULY2025,17
