External ID,Item,Item ID,Party Name,vendor ID,Invoice #,length,Invoice Date,New date,Balance Due,Memo,Subsidiary Id,Subsidiary,Account,BIN,BIN ID,LOCATION,serial/lot number
VENDOR_CR_30109,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30109,6,06-16-2025,06/16/2025,473.69,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20001
VENDOR_CR_30110,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30110,6,06-16-2025,06/16/2025,450.83,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20002
VENDOR_CR_30111,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30111,6,06-16-2025,06/16/2025,440,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20003
VENDOR_CR_30112,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30112,6,06-16-2025,06/16/2025,435.98,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20004
VENDOR_CR_30114,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30114,6,06-16-2025,06/16/2025,420.31,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20005
VENDOR_CR_30115,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30115,6,06-16-2025,06/16/2025,400,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20006
VENDOR_CR_30116,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30116,6,06-16-2025,06/16/2025,381.1,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20007
VENDOR_CR_30117,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30117,6,06-16-2025,06/16/2025,371.84,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20008
VENDOR_CR_30118,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30118,6,06-16-2025,06/16/2025,357.91,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20009
VENDOR_CR_30119,cogs,40391,"Jasfer Industry Co., Limited",137,CR_30119,6,06-16-2025,06/16/2025,292.37,W-0616 - Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001,CW-001,17,2,20010
