EXTERNAL ID,Item,Item ID,Party Name,Vendor ID,Invoice #,Length,Invoice Date,Amount,Memo,Subsidiary Id,Subsidiary,Account
OPENVENBILL_10001,freight,40392,911 Trucking LLC,30,BILL_10001,4,06/09/2025,217,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10002,freight,40392,911 Trucking LLC,30,BILL_10002,4,06/09/2025,216,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10003,freight,40392,911 Trucking LLC,30,BILL_10003,4,06/09/2025,217,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10004,freight,40392,911 Trucking LLC,30,BILL_10004,4,06/09/2025,325,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10005,freight,40392,911 Trucking LLC,30,BILL_10005,4,06/09/2025,257,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10006,freight,40392,911 Trucking LLC,30,BILL_10006,4,06/09/2025,257,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10007,freight,40392,911 Trucking LLC,30,BILL_10007,4,06/09/2025,256,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10008,freight,40392,911 Trucking LLC,30,BILL_10008,4,06/09/2025,217,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10009,freight,40392,911 Trucking LLC,30,BILL_10009,4,06/09/2025,325,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10010,freight,40392,911 Trucking LLC,30,BILL_10010,4,06/09/2025,216,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10011,freight,40392,911 Trucking LLC,30,BILL_10011,4,06/09/2025,217,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10012,freight,40392,911 Trucking LLC,30,BILL_10012,4,06/09/2025,325,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10013,freight,40392,911 Trucking LLC,30,BILL_10013,4,06/09/2025,325,6814--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10014,freight,40392,911 Trucking LLC,30,BILL_10014,4,06/16/2025,162,6836--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10015,freight,40392,911 Trucking LLC,30,BILL_10015,4,06/16/2025,163,6836--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10016,freight,40392,911 Trucking LLC,30,BILL_10016,4,06/16/2025,163,6836--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10017,freight,40392,911 Trucking LLC,30,BILL_10017,4,06/16/2025,162,6836--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10018,freight,40392,911 Trucking LLC,30,BILL_10018,4,06/22/2025,650,6862--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10019,freight,40392,911 Trucking LLC,30,BILL_10019,4,06/22/2025,650,6862--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10020,freight,40392,911 Trucking LLC,30,BILL_10020,4,06/22/2025,550,6863--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10021,freight,40392,911 Trucking LLC,30,BILL_10021,4,06/22/2025,550,6863--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10022,freight,40392,911 Trucking LLC,30,BILL_10022,4,06/22/2025,550,6863--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10023,freight,40392,911 Trucking LLC,30,BILL_10023,4,06/22/2025,825,6863--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10024,freight,40392,911 Trucking LLC,30,BILL_10024,4,06/22/2025,1650,6863--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
OPENVENBILL_10025,freight,40392,911 Trucking LLC,30,BILL_10025,4,06/22/2025,825,6863--Import SPS data by Invoice in NetSuite,3,Graniti Vicentia LLC,A20001
