Internal ID,Date,Document Number,Remark,Internal ID,Subsidiary (no hierarchy),Item,Amount,Blue Collar Project,Expense/COGS Account,Intercompany Expense/COGS Account,Amount (Transaction Total),Type,Account,Amount,Date,Created From,Created By,Posting,Period
6759,04-12-2024,43649,delete,6759,Graniti Vicentia LLC,,"24,638.96",,,,"24,638.96",,,0,,,,Yes,
6762,09-12-2024,43733,delete,6762,Graniti Vicentia LLC,,"7,230.80",,,,"7,230.80",,,0,,,,Yes,
6776,31-12-2024,44751,delete,6776,Graniti Vicentia LLC,,"6,390.15",,,,"6,390.15",Vendor Prepayment,10110 GV Truist Bank - 4637,"-6,390.15",22-07-2025,,PITLA SURESH,Yes,Jul-25
6778,13-11-2024,43029,delete,6778,Graniti Vicentia LLC,,"20,195.30",,,,"20,195.30",,,0,,,,Yes,
6779,11-11-2024,42938,delete,6779,Graniti Vicentia LLC,,"20,665.28",,,,"20,665.28",,,0,,,,Yes,
6780,11-11-2024,42940,delete,6780,Graniti Vicentia LLC,,"13,799.83",,,,"13,799.83",,,0,,,,Yes,
6781,11-11-2024,42941,delete,6781,Graniti Vicentia LLC,,"8,892.51",,,,"8,892.51",,,0,,,,Yes,
6782,45622,42941,delete,6782,Graniti Vicentia LLC,,36229.65,,,,36229.65,,,0,,,,Yes,
6783,28-10-2024,42375,delete,6783,Graniti Vicentia LLC,,"7,700.00",,,,"7,700.00",,,0,,,,Yes,
6785,29-10-2024,42526,delete,6785,Graniti Vicentia LLC,,771.6,,,,771.6,,,0,,,,Yes,
6786,18-11-2024,43126,delete,6786,Graniti Vicentia LLC,,"3,240.00",,,,"3,240.00",,,0,,,,Yes,
6811,13-12-2024,43830,delete,6811,Graniti Vicentia LLC,,"97,670.00",,,,"97,670.00",Vendor Prepayment,10110 GV Truist Bank - 4637,-620.58,22-07-2025,,PITLA SURESH,Yes,Jul-25
9811,07-11-2024,42876,Delete,9811,Graniti Vicentia LLC,,"2,309.01",,,,"2,309.01",,,0,,,,Yes,
9818,09-11-2024,42805,Delete,9818,Graniti Vicentia LLC,,"49,651.39",,,,"49,651.39",,,0,,,,Yes,
9819,07-11-2024,42759,Delete,9819,Graniti Vicentia LLC,,"31,399.58",,,,"31,399.58",,,0,,,,Yes,
9855,25-11-2024,43317,Delete,9855,Graniti Vicentia LLC,,"13,440.62",,,,"13,440.62",,,0,,,,Yes,
