External ID,SL no,Debit,Account Internal ID,Credit ,credit,Date,Invoice,Customer/vendor,Entity ID,Description,Debit Amt,Credit Amt
AUGREVENUE-37684/3,1,A11001 - Accounts Receivable (New),950,,#VALUE!,08/01/2025,37684/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,38753.19,
AUGREVENUE-37684/3,1.5,,972,A40001 - Sales Income (New),972,08/01/2025,37684/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,38753.19
AUGREVENUE-35804/4,2,A11001 - Accounts Receivable (New),950,,#VALUE!,08/04/2025,35804/4,Fairfield Townplace East Hartford,3335,Aug 25 product revenue in SPS,17770.83,
AUGREVENUE-35804/4,2.5,,972,A40001 - Sales Income (New),972,08/04/2025,35804/4,Fairfield Townplace East Hartford,3335,Aug 25 product revenue in SPS,,17770.83
AUGREVENUE-38633,3,A11001 - Accounts Receivable (New),950,,#VALUE!,08/04/2025,38633,Classic American Homes & Renovations,2708,Aug 25 product revenue in SPS,1066.07,
AUGREVENUE-38633,3.5,,972,A40001 - Sales Income (New),972,08/04/2025,38633,Classic American Homes & Renovations,2708,Aug 25 product revenue in SPS,,1066.07
AUGREVENUE-38235/6,4,A11001 - Accounts Receivable (New),950,,#VALUE!,08/05/2025,38235/6,Hampton Inn Nashville,3338,Aug 25 product revenue in SPS,11850.06,
AUGREVENUE-38235/6,4.5,,972,A40001 - Sales Income (New),972,08/05/2025,38235/6,Hampton Inn Nashville,3338,Aug 25 product revenue in SPS,,11850.06
AUGREVENUE-38299/3,5,A11001 - Accounts Receivable (New),950,,#VALUE!,08/05/2025,38299/3,"Chesterfield Hospitality, Inc.",1558,Aug 25 product revenue in SPS,13724.09,
AUGREVENUE-38299/3,5.5,,972,A40001 - Sales Income (New),972,08/05/2025,38299/3,"Chesterfield Hospitality, Inc.",1558,Aug 25 product revenue in SPS,,13724.09
AUGREVENUE-38301/4,6,A11001 - Accounts Receivable (New),950,,#VALUE!,08/05/2025,38301/4,"Chesterfield Hospitality, Inc.",1558,Aug 25 product revenue in SPS,8320.26,
AUGREVENUE-38301/4,6.5,,972,A40001 - Sales Income (New),972,08/05/2025,38301/4,"Chesterfield Hospitality, Inc.",1558,Aug 25 product revenue in SPS,,8320.26
AUGREVENUE-38304/3,7,A11001 - Accounts Receivable (New),950,,#VALUE!,08/05/2025,38304/3,"Chesterfield Hospitality, Inc.",1558,Aug 25 product revenue in SPS,1850.00,
AUGREVENUE-38304/3,7.5,,972,A40001 - Sales Income (New),972,08/05/2025,38304/3,"Chesterfield Hospitality, Inc.",1558,Aug 25 product revenue in SPS,,1850.00
AUGREVENUE-37687,8,A11001 - Accounts Receivable (New),950,,#VALUE!,08/07/2025,37687,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,256.00,
AUGREVENUE-37687,8.5,,972,A40001 - Sales Income (New),972,08/07/2025,37687,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,256.00
AUGREVENUE-37697/3,9,A11001 - Accounts Receivable (New),950,,#VALUE!,08/07/2025,37697/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,136.08,
AUGREVENUE-37697/3,9.5,,972,A40001 - Sales Income (New),972,08/07/2025,37697/3,Ascent Residence inn Montgomery,3320,Aug 25 product revenue in SPS,,136.08
AUGREVENUE-38661,10,A11001 - Accounts Receivable (New),950,,#VALUE!,08/07/2025,38661,Comfort suites NC330,2640,Aug 25 product revenue in SPS,5066.00,
AUGREVENUE-38661,10.5,,972,A40001 - Sales Income (New),972,08/07/2025,38661,Comfort suites NC330,2640,Aug 25 product revenue in SPS,,5066.00
AUGREVENUE-36248,11,A11001 - Accounts Receivable (New),950,,#VALUE!,08/08/2025,36248,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,Aug 25 product revenue in SPS,36.36,
AUGREVENUE-36248,11.5,,972,A40001 - Sales Income (New),972,08/08/2025,36248,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,Aug 25 product revenue in SPS,,36.36
AUGREVENUE-36250,12,A11001 - Accounts Receivable (New),950,,#VALUE!,08/08/2025,36250,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,Aug 25 product revenue in SPS,11139.99,
AUGREVENUE-36250,12.5,,972,A40001 - Sales Income (New),972,08/08/2025,36250,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,Aug 25 product revenue in SPS,,11139.99
AUGREVENUE-37412/2,13,A11001 - Accounts Receivable (New),950,,#VALUE!,08/08/2025,37412/2,Ascent Hospitality Element Carmel Indiana,3314,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-37412/2,13.5,,972,A40001 - Sales Income (New),972,08/08/2025,37412/2,Ascent Hospitality Element Carmel Indiana,3314,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-38292,14,A11001 - Accounts Receivable (New),950,,#VALUE!,08/08/2025,38292,Veranda Homes,2275,Aug 25 product revenue in SPS,11678.81,
AUGREVENUE-38292,14.5,,972,A40001 - Sales Income (New),972,08/08/2025,38292,Veranda Homes,2275,Aug 25 product revenue in SPS,,11678.81
AUGREVENUE-38292/2,15,A11001 - Accounts Receivable (New),950,,#VALUE!,08/08/2025,38292/2,Veranda Homes,2275,Aug 25 product revenue in SPS,13696.20,
AUGREVENUE-38292/2,15.5,,972,A40001 - Sales Income (New),972,08/08/2025,38292/2,Veranda Homes,2275,Aug 25 product revenue in SPS,,13696.20
AUGREVENUE-36663/2,16,A11001 - Accounts Receivable (New),950,,#VALUE!,08/11/2025,36663/2,Ascent Hospitality Tribute Carmel Indiana,2628,Aug 25 product revenue in SPS,338.10,
AUGREVENUE-36663/2,16.5,,972,A40001 - Sales Income (New),972,08/11/2025,36663/2,Ascent Hospitality Tribute Carmel Indiana,2628,Aug 25 product revenue in SPS,,338.10
AUGREVENUE-38259,17,A11001 - Accounts Receivable (New),950,,#VALUE!,08/11/2025,38259,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,326.43,
AUGREVENUE-38259,17.5,,972,A40001 - Sales Income (New),972,08/11/2025,38259,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,326.43
AUGREVENUE-38260,18,A11001 - Accounts Receivable (New),950,,#VALUE!,08/11/2025,38260,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,5925.39,
AUGREVENUE-38260,18.5,,972,A40001 - Sales Income (New),972,08/11/2025,38260,HOME2 SOMERSET,3526,Aug 25 product revenue in SPS,,5925.39
AUGREVENUE-38579,19,A11001 - Accounts Receivable (New),950,,#VALUE!,08/11/2025,38579,Mesquite Gaming,1554,Aug 25 product revenue in SPS,1350.00,
AUGREVENUE-38579,19.5,,972,A40001 - Sales Income (New),972,08/11/2025,38579,Mesquite Gaming,1554,Aug 25 product revenue in SPS,,1350.00
AUGREVENUE-36681/10,20,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,36681/10,Ascent Hospitality Tribute Carmel Indiana,2628,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-36681/10,20.5,,972,A40001 - Sales Income (New),972,08/12/2025,36681/10,Ascent Hospitality Tribute Carmel Indiana,2628,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-36681/9,21,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,36681/9,Ascent Hospitality Tribute Carmel Indiana,2628,Aug 25 product revenue in SPS,0.00,
AUGREVENUE-36681/9,21.5,,972,A40001 - Sales Income (New),972,08/12/2025,36681/9,Ascent Hospitality Tribute Carmel Indiana,2628,Aug 25 product revenue in SPS,,0.00
AUGREVENUE-36782/2,22,A11001 - Accounts Receivable (New),950,,#VALUE!,08/12/2025,36782/2,Ascent Home2 Montgomery,2571,Aug 25 product revenue in SPS,0.00,
