External ID,S.No,Debit,Account ID,Credit ,Date,Invoice,,Customer,Entity Internal ID,Description,Debit Amt,Credit Amt
JULYREV-31647,1,A11001 - Accounts Receivable (New),950,,07/01/2025,31647,,CANDLEWOOD LAFAYETTE,3409,July 25 Product revenue in SPS,108.30,
JULYREV-31647,1.5,,972,A40001 - Sales Income (New),07/01/2025,31647,,CANDLEWOOD LAFAYETTE,3409,July 25 Product revenue in SPS,,108.30
JULYREV-33495/7,2,A11001 - Accounts Receivable (New),950,,07/01/2025,33495/7,,Magnolia LXR Dallas TX -,3370,July 25 Product revenue in SPS,1382.35,
JULYREV-33495/7,2.5,,972,A40001 - Sales Income (New),07/01/2025,33495/7,,Magnolia LXR Dallas TX -,3370,July 25 Product revenue in SPS,,1382.35
JULYREV-33555,3,A11001 - Accounts Receivable (New),950,,07/01/2025,33555,,La Quinta Inn & Suites - Seatac Airport - Seattle WA,2328,July 25 Product revenue in SPS,15931.58,
JULYREV-33555,3.5,,972,A40001 - Sales Income (New),07/01/2025,33555,,La Quinta Inn & Suites - Seatac Airport - Seattle WA,2328,July 25 Product revenue in SPS,,15931.58
JULYREV-33565/10,4,A11001 - Accounts Receivable (New),950,,07/01/2025,33565/10,,LA QUINTA ORLANDO,2678,July 25 Product revenue in SPS,1222.00,
JULYREV-33565/10,4.5,,972,A40001 - Sales Income (New),07/01/2025,33565/10,,LA QUINTA ORLANDO,2678,July 25 Product revenue in SPS,,1222.00
JULYREV-33722/5,5,A11001 - Accounts Receivable (New),950,,07/01/2025,33722/5,,LaQuinta/Hawthone - Knoxville TN - AMit,3367,July 25 Product revenue in SPS,0.00,
JULYREV-33722/5,5.5,,972,A40001 - Sales Income (New),07/01/2025,33722/5,,LaQuinta/Hawthone - Knoxville TN - AMit,3367,July 25 Product revenue in SPS,,0.00
JULYREV-33984,6,A11001 - Accounts Receivable (New),950,,07/01/2025,33984,,CANDLEWOOD LAFAYETTE,3409,July 25 Product revenue in SPS,0.00,
JULYREV-33984,6.5,,972,A40001 - Sales Income (New),07/01/2025,33984,,CANDLEWOOD LAFAYETTE,3409,July 25 Product revenue in SPS,,0.00
JULYREV-34076,7,A11001 - Accounts Receivable (New),950,,07/01/2025,34076,,LaQuinta - Naples - FL - Raj Mukkirla,3410,July 25 Product revenue in SPS,0.00,
JULYREV-34076,7.5,,972,A40001 - Sales Income (New),07/01/2025,34076,,LaQuinta - Naples - FL - Raj Mukkirla,3410,July 25 Product revenue in SPS,,0.00
JULYREV-34086/8,8,A11001 - Accounts Receivable (New),950,,07/01/2025,34086/8,,Magnolia LXR Dallas TX -,3370,July 25 Product revenue in SPS,0.00,
JULYREV-34086/8,8.5,,972,A40001 - Sales Income (New),07/01/2025,34086/8,,Magnolia LXR Dallas TX -,3370,July 25 Product revenue in SPS,,0.00
JULYREV-34113/2,9,A11001 - Accounts Receivable (New),950,,07/01/2025,34113/2,,"La Quinta, Anaheim CA",3361,July 25 Product revenue in SPS,545.00,
JULYREV-34113/2,9.5,,972,A40001 - Sales Income (New),07/01/2025,34113/2,,"La Quinta, Anaheim CA",3361,July 25 Product revenue in SPS,,545.00
JULYREV-34289/3,10,A11001 - Accounts Receivable (New),950,,07/01/2025,34289/3,,LaQuinta Yakima WA,2619,July 25 Product revenue in SPS,453.12,
JULYREV-34289/3,10.5,,972,A40001 - Sales Income (New),07/01/2025,34289/3,,LaQuinta Yakima WA,2619,July 25 Product revenue in SPS,,453.12
JULYREV-34967,11,A11001 - Accounts Receivable (New),950,,07/01/2025,34967,,LaQuinta Inn & Suites Oxford AL,2752,July 25 Product revenue in SPS,3736.32,
JULYREV-34967,11.5,,972,A40001 - Sales Income (New),07/01/2025,34967,,LaQuinta Inn & Suites Oxford AL,2752,July 25 Product revenue in SPS,,3736.32
JULYREV-35518,12,A11001 - Accounts Receivable (New),950,,07/01/2025,35518,,Hampton Downtown Montgomery,2761,July 25 Product revenue in SPS,35954.48,
JULYREV-35518,12.5,,972,A40001 - Sales Income (New),07/01/2025,35518,,Hampton Downtown Montgomery,2761,July 25 Product revenue in SPS,,35954.48
JULYREV-36158,13,A11001 - Accounts Receivable (New),950,,07/01/2025,36158,,Graniti Vicentia,1938,July 25 Product revenue in SPS,0.00,
JULYREV-36158,13.5,,972,A40001 - Sales Income (New),07/01/2025,36158,,Graniti Vicentia,1938,July 25 Product revenue in SPS,,0.00
JULYREV-36159/4,14,A11001 - Accounts Receivable (New),950,,07/01/2025,36159/4,,Graniti Vicentia,1938,July 25 Product revenue in SPS,0.00,
JULYREV-36159/4,14.5,,972,A40001 - Sales Income (New),07/01/2025,36159/4,,Graniti Vicentia,1938,July 25 Product revenue in SPS,,0.00
JULYREV-36221,15,A11001 - Accounts Receivable (New),950,,07/01/2025,36221,,CANDLEWOOD EASTRIDGE TN,3323,July 25 Product revenue in SPS,0.00,
JULYREV-36221,15.5,,972,A40001 - Sales Income (New),07/01/2025,36221,,CANDLEWOOD EASTRIDGE TN,3323,July 25 Product revenue in SPS,,0.00
JULYREV-37217,16,A11001 - Accounts Receivable (New),950,,07/01/2025,37217,,Continental Inns of America La Quinta Inn,3153,July 25 Product revenue in SPS,100.00,
JULYREV-37217,16.5,,972,A40001 - Sales Income (New),07/01/2025,37217,,Continental Inns of America La Quinta Inn,3153,July 25 Product revenue in SPS,,100.00
JULYREV-37579/3,17,A11001 - Accounts Receivable (New),950,,07/01/2025,37579/3,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,30424.63,
JULYREV-37579/3,17.5,,972,A40001 - Sales Income (New),07/01/2025,37579/3,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,30424.63
JULYREV-37759/3,18,A11001 - Accounts Receivable (New),950,,07/01/2025,37759/3,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,2591.05,
JULYREV-37759/3,18.5,,972,A40001 - Sales Income (New),07/01/2025,37759/3,,"ELEMENT FORTSMITH, ARKANSAS",3330,July 25 Product revenue in SPS,,2591.05
JULYREV-37959/2,19,A11001 - Accounts Receivable (New),950,,07/01/2025,37959/2,,Monsoon Flower LLC,1720,July 25 Product revenue in SPS,7846.31,
JULYREV-37959/2,19.5,,972,A40001 - Sales Income (New),07/01/2025,37959/2,,Monsoon Flower LLC,1720,July 25 Product revenue in SPS,,7846.31
JULYREV-38130,20,A11001 - Accounts Receivable (New),950,,07/01/2025,38130,,"Pitt-Cran Hospitality, LLC/ Wingate Cranberry",3377,July 25 Product revenue in SPS,1166.85,
JULYREV-38130,20.5,,972,A40001 - Sales Income (New),07/01/2025,38130,,"Pitt-Cran Hospitality, LLC/ Wingate Cranberry",3377,July 25 Product revenue in SPS,,1166.85
JULYREV-35796/2,21,A11001 - Accounts Receivable (New),950,,07/07/2025,35796/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,6661.53,
JULYREV-35796/2,21.5,,972,A40001 - Sales Income (New),07/07/2025,35796/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,6661.53
JULYREV-35807,22,A11001 - Accounts Receivable (New),950,,07/07/2025,35807,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,3871.21,
JULYREV-35807,22.5,,972,A40001 - Sales Income (New),07/07/2025,35807,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,3871.21
JULYREV-35808,23,A11001 - Accounts Receivable (New),950,,07/07/2025,35808,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,10157.98,
JULYREV-35808,23.5,,972,A40001 - Sales Income (New),07/07/2025,35808,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,10157.98
JULYREV-35812,24,A11001 - Accounts Receivable (New),950,,07/07/2025,35812,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,34749.29,
JULYREV-35812,24.5,,972,A40001 - Sales Income (New),07/07/2025,35812,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,34749.29
JULYREV-37579/2,25,A11001 - Accounts Receivable (New),950,,07/07/2025,37579/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,419.36,
JULYREV-37579/2,25.5,,972,A40001 - Sales Income (New),07/07/2025,37579/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,419.36
JULYREV-38235/4,26,A11001 - Accounts Receivable (New),950,,07/07/2025,38235/4,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,4176.01,
JULYREV-38235/4,26.5,,972,A40001 - Sales Income (New),07/07/2025,38235/4,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,,4176.01
JULYREV-38382/3,27,A11001 - Accounts Receivable (New),950,,07/07/2025,38382/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,194.28,
JULYREV-38382/3,27.5,,972,A40001 - Sales Income (New),07/07/2025,38382/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,194.28
JULYREV-38403/2,28,A11001 - Accounts Receivable (New),950,,07/07/2025,38403/2,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,0.00,
JULYREV-38403/2,28.5,,972,A40001 - Sales Income (New),07/07/2025,38403/2,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,0.00
JULYREV-38403/3,29,A11001 - Accounts Receivable (New),950,,07/07/2025,38403/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,0.00,
JULYREV-38403/3,29.5,,972,A40001 - Sales Income (New),07/07/2025,38403/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,0.00
JULYREV-38403/4,30,A11001 - Accounts Receivable (New),950,,07/07/2025,38403/4,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,4894.38,
JULYREV-38403/4,30.5,,972,A40001 - Sales Income (New),07/07/2025,38403/4,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,4894.38
JULYREV-38738,31,A11001 - Accounts Receivable (New),950,,07/07/2025,38738,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,0.00,
JULYREV-38738,31.5,,972,A40001 - Sales Income (New),07/07/2025,38738,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,0.00
JULYREV-38187,32,A11001 - Accounts Receivable (New),950,,07/08/2025,38187,,LQ Hawthorne Leavenworth,3412,July 25 Product revenue in SPS,10341.06,
JULYREV-38187,32.5,,972,A40001 - Sales Income (New),07/08/2025,38187,,LQ Hawthorne Leavenworth,3412,July 25 Product revenue in SPS,,10341.06
JULYREV-38196,33,A11001 - Accounts Receivable (New),950,,07/08/2025,38196,,LQ Hawthorne Leavenworth,3412,July 25 Product revenue in SPS,22465.59,
JULYREV-38196,33.5,,972,A40001 - Sales Income (New),07/08/2025,38196,,LQ Hawthorne Leavenworth,3412,July 25 Product revenue in SPS,,22465.59
JULYREV-38394/3,34,A11001 - Accounts Receivable (New),950,,07/08/2025,38394/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,6359.54,
JULYREV-38394/3,34.5,,972,A40001 - Sales Income (New),07/08/2025,38394/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,6359.54
JULYREV-38396,35,A11001 - Accounts Receivable (New),950,,07/08/2025,38396,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,851.45,
JULYREV-38396,35.5,,972,A40001 - Sales Income (New),07/08/2025,38396,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,851.45
JULYREV-38637,36,A11001 - Accounts Receivable (New),950,,07/08/2025,38637,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,24916.34,
JULYREV-38637,36.5,,972,A40001 - Sales Income (New),07/08/2025,38637,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,,24916.34
JULYREV-35797/2,37,A11001 - Accounts Receivable (New),950,,07/09/2025,35797/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,60472.41,
JULYREV-35797/2,37.5,,972,A40001 - Sales Income (New),07/09/2025,35797/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,60472.41
JULYREV-35809/2,38,A11001 - Accounts Receivable (New),950,,07/09/2025,35809/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,56713.20,
JULYREV-35809/2,38.5,,972,A40001 - Sales Income (New),07/09/2025,35809/2,,Fairfield Townplace East Hartford,3335,July 25 Product revenue in SPS,,56713.20
JULYREV-37676/2,39,A11001 - Accounts Receivable (New),950,,07/09/2025,37676/2,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,210339.71,
JULYREV-37676/2,39.5,,972,A40001 - Sales Income (New),07/09/2025,37676/2,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,,210339.71
JULYREV-37683/7,40,A11001 - Accounts Receivable (New),950,,07/09/2025,37683/7,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,0.00,
JULYREV-37683/7,40.5,,972,A40001 - Sales Income (New),07/09/2025,37683/7,,Ascent Residence inn Montgomery,3320,July 25 Product revenue in SPS,,0.00
JULYREV-38525/2,41,A11001 - Accounts Receivable (New),950,,07/10/2025,38525/2,,Interior Dezyn,3413,July 25 Product revenue in SPS,1407.79,
JULYREV-38525/2,41.5,,972,A40001 - Sales Income (New),07/10/2025,38525/2,,Interior Dezyn,3413,July 25 Product revenue in SPS,,1407.79
JULYREV-35431/7,42,A11001 - Accounts Receivable (New),950,,07/11/2025,35431/7,,"Jay Sun Hospitality LLC / La Quinta La Habra,CA",3351,July 25 Product revenue in SPS,0.00,
JULYREV-35431/7,42.5,,972,A40001 - Sales Income (New),07/11/2025,35431/7,,"Jay Sun Hospitality LLC / La Quinta La Habra,CA",3351,July 25 Product revenue in SPS,,0.00
JULYREV-36783/5,43,A11001 - Accounts Receivable (New),950,,07/11/2025,36783/5,,Ascent Home2 Montgomery,2571,July 25 Product revenue in SPS,8535.04,
JULYREV-36783/5,43.5,,972,A40001 - Sales Income (New),07/11/2025,36783/5,,Ascent Home2 Montgomery,2571,July 25 Product revenue in SPS,,8535.04
JULYREV-37061/6,44,A11001 - Accounts Receivable (New),950,,07/11/2025,37061/6,,DFW Joseph Investments LLC,1708,July 25 Product revenue in SPS,66357.13,
JULYREV-37061/6,44.5,,972,A40001 - Sales Income (New),07/11/2025,37061/6,,DFW Joseph Investments LLC,1708,July 25 Product revenue in SPS,,66357.13
JULYREV-37271/12,45,A11001 - Accounts Receivable (New),950,,07/11/2025,37271/12,,Northlake Innkeepers I Ltd.,3375,July 25 Product revenue in SPS,2292.51,
JULYREV-37271/12,45.5,,972,A40001 - Sales Income (New),07/11/2025,37271/12,,Northlake Innkeepers I Ltd.,3375,July 25 Product revenue in SPS,,2292.51
JULYREV-37288/5,46,A11001 - Accounts Receivable (New),950,,07/11/2025,37288/5,,Northlake Innkeepers I Ltd.,3375,July 25 Product revenue in SPS,2334.51,
JULYREV-37288/5,46.5,,972,A40001 - Sales Income (New),07/11/2025,37288/5,,Northlake Innkeepers I Ltd.,3375,July 25 Product revenue in SPS,,2334.51
JULYREV-37288/6,47,A11001 - Accounts Receivable (New),950,,07/11/2025,37288/6,,Northlake Innkeepers I Ltd.,3375,July 25 Product revenue in SPS,1212.00,
JULYREV-37288/6,47.5,,972,A40001 - Sales Income (New),07/11/2025,37288/6,,Northlake Innkeepers I Ltd.,3375,July 25 Product revenue in SPS,,1212.00
JULYREV-37762/3,48,A11001 - Accounts Receivable (New),950,,07/11/2025,37762/3,,DFW Joseph Investments LLC,1708,July 25 Product revenue in SPS,0.00,
JULYREV-37762/3,48.5,,972,A40001 - Sales Income (New),07/11/2025,37762/3,,DFW Joseph Investments LLC,1708,July 25 Product revenue in SPS,,0.00
JULYREV-36569/2,49,A11001 - Accounts Receivable (New),950,,07/14/2025,36569/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,5237.20,
JULYREV-36569/2,49.5,,972,A40001 - Sales Income (New),07/14/2025,36569/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,5237.20
JULYREV-36576/2,50,A11001 - Accounts Receivable (New),950,,07/14/2025,36576/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,18562.18,
JULYREV-36576/2,50.5,,972,A40001 - Sales Income (New),07/14/2025,36576/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,18562.18
JULYREV-36580/2,51,A11001 - Accounts Receivable (New),950,,07/14/2025,36580/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,359.36,
JULYREV-36580/2,51.5,,972,A40001 - Sales Income (New),07/14/2025,36580/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,359.36
JULYREV-36582/2,52,A11001 - Accounts Receivable (New),950,,07/14/2025,36582/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,15292.17,
JULYREV-36582/2,52.5,,972,A40001 - Sales Income (New),07/14/2025,36582/2,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,15292.17
JULYREV-36583/4,53,A11001 - Accounts Receivable (New),950,,07/14/2025,36583/4,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,2271.24,
JULYREV-36583/4,53.5,,972,A40001 - Sales Income (New),07/14/2025,36583/4,,Prince Preferred Hotels,649,July 25 Product revenue in SPS,,2271.24
JULYREV-38388/2,54,A11001 - Accounts Receivable (New),950,,07/14/2025,38388/2,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,132628.29,
JULYREV-38388/2,54.5,,972,A40001 - Sales Income (New),07/14/2025,38388/2,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,132628.29
JULYREV-38386/3,55,A11001 - Accounts Receivable (New),950,,07/16/2025,38386/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,39906.35,
JULYREV-38386/3,55.5,,972,A40001 - Sales Income (New),07/16/2025,38386/3,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,39906.35
JULYREV-38394/2,56,A11001 - Accounts Receivable (New),950,,07/16/2025,38394/2,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,7066.78,
JULYREV-38394/2,56.5,,972,A40001 - Sales Income (New),07/16/2025,38394/2,,Auburn Hospitality Group,1548,July 25 Product revenue in SPS,,7066.78
JULYREV-38213/6,57,A11001 - Accounts Receivable (New),950,,07/18/2025,38213/6,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,49890.80,
JULYREV-38213/6,57.5,,972,A40001 - Sales Income (New),07/18/2025,38213/6,,Hampton Inn Nashville,3338,July 25 Product revenue in SPS,,49890.80
JULYREV-36849/10,58,A11001 - Accounts Receivable (New),950,,07/21/2025,36849/10,,Imagine Porcelain Co. IPC.,567,July 25 Product revenue in SPS,1980.00,
JULYREV-36849/10,58.5,,972,A40001 - Sales Income (New),07/21/2025,36849/10,,Imagine Porcelain Co. IPC.,567,July 25 Product revenue in SPS,,1980.00
JULYREV-37090/2,59,A11001 - Accounts Receivable (New),950,,07/23/2025,37090/2,,Ascent Home2 Montgomery,2571,July 25 Product revenue in SPS,0.00,
JULYREV-37090/2,59.5,,972,A40001 - Sales Income (New),07/23/2025,37090/2,,Ascent Home2 Montgomery,2571,July 25 Product revenue in SPS,,0.00
