External ID,Document Number,Internal ID,Name,Main Line Name,Vendor internal ID,Subsidiary (no hierarchy),Subsidiary ID,Date,Line Description,Location,Loaction ID,Currency,Exchange Rate,Approval Status,Line #,Item,Blue Collar Project,Cost Code,Item Internal ID,Description,Custom UOM,Quantity,Units,Amount
PO570,PO570,3014,,ZBOM Cabinets Corp.,1297,Graniti Vicentia LLC,3,03/11/2025,Samples from Zbom,Houston (GV LLC),2,US Dollar,1,Approved,1,Contract Item - LS,,,11170,,,1,Lump Sum,1330.00
PO570,PO570,3014,,ZBOM Cabinets Corp.,1297,Graniti Vicentia LLC,3,03/11/2025,CC Fee,Houston (GV LLC),2,US Dollar,1,Approved,2,Other Charges,,,6153,,,1,Lump Sum,90.53
PO570,PO570,3014,,ZBOM Cabinets Corp.,1297,Graniti Vicentia LLC,3,03/11/2025,Air Freight,Houston (GV LLC),2,US Dollar,1,Approved,3,Delivery Charges,,,6152,,,1,Lump Sum,1470.00
PO575,PO575,3286,,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-202.C 4 Seater Dining table Base @ Breakfast Area(Quartz Sold Separately),Houston (GV LLC),2,US Dollar,1,Approved,6,Contract Item-EA,LQ Brownsville,Casegoods,11164,,,4,Each,1280.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-201 Cocktail Table Base @ Entry (Quartz Sold Separately),Houston (GV LLC),2,US Dollar,1,Approved,5,BCDND_GV-CG-31D-CAL-169,LQ Brownsville,Casegoods,3695,Cocktail Table,,1,Each,414.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-202 4 Seater Dining table Base @ Breakfast Area(Quartz Sold Separately),Houston (GV LLC),2,US Dollar,1,Approved,9,BCDND_GV-CG-36D-CAL-170,LQ Brownsville,Casegoods,3697,4 Seating Dining Table,,2,Each,640.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-203 2 Seater Dining Table Base @ Breakfast Area (Quartz Sold Separately),Houston (GV LLC),2,US Dollar,1,Approved,11,BCDND_GV-CG-24W-CAL-171,LQ Brownsville,Casegoods,3698,2 Seater Dining Table W/ Quartz Top,,4,Each,696.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-204 End Table Base @ Modular Sofa (Quartz Sold Separately),Houston (GV LLC),2,US Dollar,1,Approved,13,BCDND_GV-CG-19H-QUA-172,LQ Brownsville,Casegoods,3699,End Tables,,2,Each,302.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-600 Lounge Chair @ Entry Lounge,Houston (GV LLC),2,US Dollar,1,Approved,22,BCDND_GV-SG-311-18-MET-112,LQ Brownsville,Seating,4464,Lounge Chair,,2,Each,498.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-600.F1 Vinyl @ Lounge Chair - Overall (5 yds each),Houston (GV LLC),2,US Dollar,1,Approved,23,GV-SGF-GRA-100-61,LQ Brownsville,Seating,6209,Gray KA3350-73 Fabric,,9,Yard,99.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-601 Armless Dining Chair @ Dining Table,Houston (GV LLC),2,US Dollar,1,Approved,24,BCDND_GV-SG-20W-18-MET-334,LQ Brownsville,Seating,4465,Dining Chair,,32,Each,5312.00
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-601.F1 Vinyl @ Armless Dining Chair (3 yd each),Houston (GV LLC),2,US Dollar,1,Approved,25,GV-SGF-CHA-100-62,LQ Brownsville,Seating,6210,Champagne KANE04-07 Fabric,,96,Yard,825.60
PO575,PO575,3286,LQ Brownsville,HARMONY HOSPITALITY CO LTD,2517,Graniti Vicentia LLC,3,03/19/2025,GRT-602 Counter Height Stool @ Communal Table,Houston (GV LLC),2,US Dollar,1,Approved,28,BCDND_GV-SG-223-23-BLA-457,LQ Brownsville,Seating,4628,Counter Height Stool,,6,Each,1170.00
