External ID,Document Number,Internal ID,Name,Main Line Name,Vendor internal ID,Subsidiary (no hierarchy),Subsidiary ID,Date,Location,Loaction ID,Currency,Exchange Rate,Approval Status,Line #,Expense Amount,Account,Account internal ID,Line description
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,1,99.49,60200 Sales Expense : Marketing & Advertisement,257,GR-317-CG Queen Headboard w/LED Uplight
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,2,22.5,60200 Sales Expense : Marketing & Advertisement,257,GR-317.F1-CGF Vinyl @ Queen Headboard --- 3 Yards @ 7.50
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,3,30,60200 Sales Expense : Marketing & Advertisement,257,GR-003-ACC LED Uplight @ Queen Headboard
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,4,117.23,60200 Sales Expense : Marketing & Advertisement,257,GR-301.1-CG Nightstand and Panel w/ Power
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,5,7.5,60200 Sales Expense : Marketing & Advertisement,257,GR-002-ACC Guest Convenience Outlet - No Switch
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,6,117.23,60200 Sales Expense : Marketing & Advertisement,257,GR-301.2 Nightstand and Panel w/Power (Switch for LED included)
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,7,18.5,60200 Sales Expense : Marketing & Advertisement,257,GR-001-Acc Guest Convenience Outlet - w/switch
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,8,370.03,60200 Sales Expense : Marketing & Advertisement,257,"GR-308L-CG 42"" Bathroom Vanity @ King Suite"
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,9,0,60200 Sales Expense : Marketing & Advertisement,257,GR-018-ACC Tissue Paper Holder @ Vanity
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,10,150.96,60200 Sales Expense : Marketing & Advertisement,257,GR-306-CG Shelves with Brackets @ Kitchen -- 2 each @
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,11,39.87,60200 Sales Expense : Marketing & Advertisement,257,GR-307-CG Spice Rack -- 1 each
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,12,360,60200 Sales Expense : Marketing & Advertisement,257,Crating Charge
PO585,PO585,3469,,Richwood Hospitality Co. LTD,1285,Graniti Vicentia LLC,3,03/21/2025,Houston (GV LLC),2,US Dollar,1,Approved,13,0,60200 Sales Expense : Marketing & Advertisement,257,Expedited Shipping
PO594,PO594,6318,,Tarkett Hospitality,1288,Graniti Vicentia LLC,3,03/27/2025,Houston (GV LLC),2,US Dollar,1,Approved,1,340.2,60200 Sales Expense : Marketing & Advertisement,257,GR-901-AR Area Rug @ King Studio & 1 Bedroom Suite - 2 each per Specification@ $170.10 ea
PO594,PO594,6318,,Tarkett Hospitality,1288,Graniti Vicentia LLC,3,03/27/2025,Houston (GV LLC),2,US Dollar,1,Approved,2,159.96,60200 Sales Expense : Marketing & Advertisement,257,Freight SHIPPING CHARGES
