External ID,Internal ID,Number,Sub record of ,Account,Type
SALESTAX0001,210,A23001,926,Sales Taxes Payable AL,Other Current Liability
SALESTAX0002,566,A23002,926,Sales Taxes Payable AK,Other Current Liability
SALESTAX0003,567,A23003,926,Sales Taxes Payable AZ,Other Current Liability
SALESTAX0004,568,A23004,926,Sales Taxes Payable AR,Other Current Liability
SALESTAX0005,569,A23005,926,Sales Taxes Payable CA,Other Current Liability
SALESTAX0006,570,A23006,926,Sales Taxes Payable CO,Other Current Liability
SALESTAX0007,571,A23007,926,Sales Taxes Payable CT,Other Current Liability
SALESTAX0008,572,A23008,926,Sales Taxes Payable DE,Other Current Liability
SALESTAX0009,574,A23009,926,Sales Taxes Payable FL,Other Current Liability
SALESTAX0010,575,A23010,926,Sales Taxes Payable GA,Other Current Liability
SALESTAX0011,576,A23011,926,Sales Taxes Payable HI,Other Current Liability
SALESTAX0012,577,A23012,926,Sales Taxes Payable ID,Other Current Liability
SALESTAX0013,578,A23013,926,Sales Taxes Payable IL,Other Current Liability
SALESTAX0014,579,A23014,926,Sales Taxes Payable IN,Other Current Liability
SALESTAX0015,580,A23015,926,Sales Taxes Payable IA,Other Current Liability
SALESTAX0016,581,A23016,926,Sales Taxes Payable KS,Other Current Liability
SALESTAX0017,582,A23017,926,Sales Taxes Payable KY,Other Current Liability
SALESTAX0018,583,A23018,926,Sales Taxes Payable LA,Other Current Liability
SALESTAX0019,584,A23019,926,Sales Taxes Payable ME,Other Current Liability
SALESTAX0020,585,A23020,926,Sales Taxes Payable MD,Other Current Liability
SALESTAX0021,586,A23021,926,Sales Taxes Payable MA,Other Current Liability
SALESTAX0022,587,A23022,926,Sales Taxes Payable MI,Other Current Liability
SALESTAX0023,588,A23023,926,Sales Taxes Payable MN,Other Current Liability
SALESTAX0024,589,A23024,926,Sales Taxes Payable MS,Other Current Liability
SALESTAX0025,590,A23025,926,Sales Taxes Payable MO,Other Current Liability
SALESTAX0026,591,A23026,926,Sales Taxes Payable MT,Other Current Liability
SALESTAX0027,592,A23027,926,Sales Taxes Payable NE,Other Current Liability
SALESTAX0028,593,A23028,926,Sales Taxes Payable NV,Other Current Liability
SALESTAX0029,594,A23029,926,Sales Taxes Payable NH,Other Current Liability
SALESTAX0030,595,A23030,926,Sales Taxes Payable NJ,Other Current Liability
SALESTAX0031,596,A23031,926,Sales Taxes Payable NM,Other Current Liability
SALESTAX0032,597,A23032,926,Sales Taxes Payable NY,Other Current Liability
SALESTAX0033,598,A23033,926,Sales Taxes Payable NC,Other Current Liability
SALESTAX0034,599,A23034,926,Sales Taxes Payable ND,Other Current Liability
SALESTAX0035,600,A23035,926,Sales Taxes Payable OH,Other Current Liability
SALESTAX0036,601,A23036,926,Sales Taxes Payable OK,Other Current Liability
SALESTAX0037,602,A23037,926,Sales Taxes Payable OR,Other Current Liability
SALESTAX0038,603,A23038,926,Sales Taxes Payable PA,Other Current Liability
SALESTAX0039,605,A23039,926,Sales Taxes Payable RI,Other Current Liability
SALESTAX0040,606,A23040,926,Sales Taxes Payable SC,Other Current Liability
SALESTAX0041,607,A23041,926,Sales Taxes Payable SD,Other Current Liability
SALESTAX0042,608,A23042,926,Sales Taxes Payable TN,Other Current Liability
SALESTAX0043,215,A23043,926,Sales Taxes Payable TX,Other Current Liability
SALESTAX0044,609,A23044,926,Sales Taxes Payable UT,Other Current Liability
SALESTAX0045,610,A23045,926,Sales Taxes Payable VT,Other Current Liability
SALESTAX0046,611,A23046,926,Sales Taxes Payable VA,Other Current Liability
SALESTAX0047,612,A23047,926,Sales Taxes Payable WA,Other Current Liability
SALESTAX0048,613,A23048,926,Sales Taxes Payable WV,Other Current Liability
SALESTAX0049,614,A23049,926,Sales Taxes Payable WI,Other Current Liability
SALESTAX0050,615,A23050,926,Sales Taxes Payable WY,Other Current Liability
