External ID,SL No., Acount Internal id,Date,Transaction#,Invoice#,Location,Type,Description,Memo,Party,Entity ID,Debit Amt,Credit Amt
SALES_TAX_PAYABLE_AUG25-38633,1,215,08/04/2025,38633,38633,GV,Invoice,TX,Sale Tax Payable Aug-2025,Classic American Homes & Renovations,2708,,109.16
SALES_TAX_PAYABLE_AUG25-38633,1.5,950,08/04/2025,38633,38633,GV,Invoice,TX,Sale Tax Payable Aug-2026,Classic American Homes & Renovations,2708,109.16,
SALES_TAX_PAYABLE_AUG25-38235/6,2,608,08/05/2025,38235/6,38235/6,GV,Invoice,TN,Sale Tax Payable Aug-2027,Hampton Inn Nashville,3338,,1131.68
SALES_TAX_PAYABLE_AUG25-38235/6,2.5,950,08/05/2025,38235/6,38235/6,GV,Invoice,TN,Sale Tax Payable Aug-2028,Hampton Inn Nashville,3338,1131.68,
SALES_TAX_PAYABLE_AUG25-36248,3,575,08/08/2025,36248,36248,GV,Invoice,GA,Sale Tax Payable Aug-2029,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,,2.55
SALES_TAX_PAYABLE_AUG25-36248,3.5,950,08/08/2025,36248,36248,GV,Invoice,GA,Sale Tax Payable Aug-2030,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,2.55,
SALES_TAX_PAYABLE_AUG25-36250,4,575,08/08/2025,36250,36250,GV,Invoice,GA,Sale Tax Payable Aug-2031,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,,779.80
SALES_TAX_PAYABLE_AUG25-36250,4.5,950,08/08/2025,36250,36250,GV,Invoice,GA,Sale Tax Payable Aug-2032,Kings Bay Coastal Hotel Management LLC / Wingate Kingsland,3354,779.80,
SALES_TAX_PAYABLE_AUG25-38292,5,215,08/08/2025,38292,38292,GV,Invoice,TX,Sale Tax Payable Aug-2033,Veranda Homes,2275,,963.50
SALES_TAX_PAYABLE_AUG25-38292,5.5,950,08/08/2025,38292,38292,GV,Invoice,TX,Sale Tax Payable Aug-2034,Veranda Homes,2275,963.50,
SALES_TAX_PAYABLE_AUG25-38292/2,6,215,08/08/2025,38292/2,38292/2,GV,Invoice,TX,Sale Tax Payable Aug-2035,Veranda Homes,2275,,1139.84
SALES_TAX_PAYABLE_AUG25-38292/2,6.5,950,08/08/2025,38292/2,38292/2,GV,Invoice,TX,Sale Tax Payable Aug-2036,Veranda Homes,2275,1139.84,
SALES_TAX_PAYABLE_AUG25-38259,7,582,08/11/2025,38259,38259,GV,Invoice,KY,Sale Tax Payable Aug-2037,HOME2 SOMERSET,3526,,19.59
SALES_TAX_PAYABLE_AUG25-38259,7.5,950,08/11/2025,38259,38259,GV,Invoice,KY,Sale Tax Payable Aug-2038,HOME2 SOMERSET,3526,19.59,
SALES_TAX_PAYABLE_AUG25-38260,8,582,08/11/2025,38260,38260,GV,Invoice,KY,Sale Tax Payable Aug-2039,HOME2 SOMERSET,3526,,355.52
SALES_TAX_PAYABLE_AUG25-38260,8.5,950,08/11/2025,38260,38260,GV,Invoice,KY,Sale Tax Payable Aug-2040,HOME2 SOMERSET,3526,355.52,
SALES_TAX_PAYABLE_AUG25-38579,9,593,08/11/2025,38579,38579,GV,Invoice,NV,Sale Tax Payable Aug-2041,Mesquite Gaming,1554,,113.06
SALES_TAX_PAYABLE_AUG25-38579,9.5,950,08/11/2025,38579,38579,GV,Invoice,NV,Sale Tax Payable Aug-2042,Mesquite Gaming,1554,113.06,
SALES_TAX_PAYABLE_AUG25-38251/3,10,582,08/12/2025,38251/3,38251/3,GV,Invoice,KY,Sale Tax Payable Aug-2043,HOME2 SOMERSET,3526,,534.31
SALES_TAX_PAYABLE_AUG25-38251/3,10.5,950,08/12/2025,38251/3,38251/3,GV,Invoice,KY,Sale Tax Payable Aug-2044,HOME2 SOMERSET,3526,534.31,
SALES_TAX_PAYABLE_AUG25-38251/5,11,582,08/12/2025,38251/5,38251/5,GV,Invoice,KY,Sale Tax Payable Aug-2045,HOME2 SOMERSET,3526,,10.63
SALES_TAX_PAYABLE_AUG25-38251/5,11.5,950,08/12/2025,38251/5,38251/5,GV,Invoice,KY,Sale Tax Payable Aug-2046,HOME2 SOMERSET,3526,10.63,
SALES_TAX_PAYABLE_AUG25-38252/2,12,582,08/12/2025,38252/2,38252/2,GV,Invoice,KY,Sale Tax Payable Aug-2047,HOME2 SOMERSET,3526,,333.69
SALES_TAX_PAYABLE_AUG25-38252/2,12.5,950,08/12/2025,38252/2,38252/2,GV,Invoice,KY,Sale Tax Payable Aug-2048,HOME2 SOMERSET,3526,333.69,
SALES_TAX_PAYABLE_AUG25-38253/2,13,582,08/12/2025,38253/2,38253/2,GV,Invoice,KY,Sale Tax Payable Aug-2049,HOME2 SOMERSET,3526,,1363.80
SALES_TAX_PAYABLE_AUG25-38253/2,13.5,950,08/12/2025,38253/2,38253/2,GV,Invoice,KY,Sale Tax Payable Aug-2050,HOME2 SOMERSET,3526,1363.80,
SALES_TAX_PAYABLE_AUG25-38256,14,582,08/12/2025,38256,38256,GV,Invoice,KY,Sale Tax Payable Aug-2051,HOME2 SOMERSET,3526,,488.04
SALES_TAX_PAYABLE_AUG25-38256,14.5,950,08/12/2025,38256,38256,GV,Invoice,KY,Sale Tax Payable Aug-2052,HOME2 SOMERSET,3526,488.04,
SALES_TAX_PAYABLE_AUG25-38257,15,582,08/12/2025,38257,38257,GV,Invoice,KY,Sale Tax Payable Aug-2053,HOME2 SOMERSET,3526,,262.41
